dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,AlbertForMaskedLM,2,1.454692,4.994785
cuda,AlbertForQuestionAnswering,2,1.528870,4.942641
cuda,BartForCausalLM,2,1.525416,4.295176
cuda,BartForConditionalGeneration,1,3.863419,12.026527
cuda,BertForMaskedLM,64,1.760951,4.406009
cuda,BertForQuestionAnswering,64,1.765563,4.411257
cuda,BlenderbotSmallForCausalLM,64,1.097088,2.856488
cuda,BlenderbotSmallForConditionalGeneration,32,2.594165,7.929181
cuda,CamemBert,1,1.776417,4.392570
cuda,DistilBertForMaskedLM,16,0.796873,2.245365
cuda,DistilBertForQuestionAnswering,32,0.799803,2.202153
cuda,DistillGPT2,1,1.049489,1.921887
cuda,ElectraForCausalLM,1,1.740363,4.264803
cuda,ElectraForQuestionAnswering,64,1.766285,4.396570
cuda,GPT2ForSequenceClassification,4,1.904336,4.011281
cuda,LayoutLMForMaskedLM,16,1.918663,4.507407
cuda,LayoutLMForSequenceClassification,16,1.896601,4.488113
cuda,M2M100ForConditionalGeneration,2,3.742544,11.958072
cuda,MBartForCausalLM,16,1.505030,4.240369
cuda,MBartForConditionalGeneration,8,4.064677,12.524950
cuda,MT5ForConditionalGeneration,2,3.790810,9.985173
cuda,MegatronBertForCausalLM,2,3.724270,9.335768
cuda,MegatronBertForQuestionAnswering,8,3.505127,8.845798
cuda,MobileBertForMaskedLM,16,8.444805,24.158630
cuda,MobileBertForQuestionAnswering,32,8.599387,24.224826
cuda,OPTForCausalLM,4,1.637551,4.472445
cuda,PLBartForCausalLM,16,0.870524,2.211784
cuda,PLBartForConditionalGeneration,8,1.981417,5.791142
cuda,PegasusForCausalLM,8,1.610042,4.434540
cuda,PegasusForConditionalGeneration,4,3.741053,11.843371
cuda,RobertaForCausalLM,4,1.799610,4.472326
cuda,RobertaForQuestionAnswering,64,1.763467,4.305110
cuda,Speech2Text2ForCausalLM,64,0.906679,2.234869
cuda,T5ForConditionalGeneration,4,2.554980,6.260076
cuda,T5Small,1,2.459819,6.084163
cuda,TrOCRForCausalLM,8,1.538093,4.331782
cuda,XGLMForCausalLM,1,3.058574,9.009813
cuda,XLNetLMHeadModel,4,4.370722,16.952929
cuda,YituTechConvBert,1,2.555020,7.529509
