dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,adv_inception_v3,128,2.012522
cuda,beit_base_patch16_224,64,1.832296
cuda,botnet26t_256,128,1.620302
cuda,cait_m36_384,2,4.890979
cuda,coat_lite_mini,128,1.841955
cuda,convit_base,32,3.491073
cuda,convmixer_768_32,32,1.862936
cuda,convnext_base,32,2.310099
cuda,crossvit_9_240,64,2.187447
cuda,cspdarknet53,64,2.283610
cuda,deit_base_distilled_patch16_224,64,1.554989
cuda,densenet121,64,3.775379
cuda,dla102,64,2.379505
cuda,dm_nfnet_f0,128,2.769588
cuda,dpn107,32,4.066883
cuda,eca_botnext26ts_256,64,1.699110
cuda,eca_halonext26ts,64,1.711045
cuda,ecaresnet101d,64,3.238185
cuda,ese_vovnet19b_dw,128,1.210094
cuda,fbnetc_100,128,2.030020
cuda,fbnetv3_b,128,3.317786
cuda,gernet_l,128,2.142555
cuda,ghostnet_100,128,1.989998
cuda,gluon_inception_v3,128,2.019954
cuda,gluon_senet154,32,5.235897
cuda,gluon_xception65,32,2.494546
cuda,gmixer_24_224,64,2.121101
cuda,gmlp_s16_224,64,1.919494
cuda,hardcorenas_a,128,1.508708
cuda,hrnet_w18,2,7.976328
cuda,inception_v3,128,2.031376
cuda,jx_nest_base,32,2.533473
cuda,lcnet_050,128,1.091606
cuda,legacy_senet154,32,4.674224
cuda,mixer_b16_224,64,1.245541
cuda,mixnet_l,64,4.972546
cuda,mnasnet_100,128,1.650440
cuda,mobilenetv2_100,128,1.654631
cuda,mobilenetv3_large_100,128,1.673234
cuda,mobilevit_s,32,2.133110
cuda,nasnetalarge,16,8.341307
cuda,nfnet_l0,64,2.389094
cuda,pit_b_224,64,1.737321
cuda,pnasnet5large,16,6.573636
cuda,poolformer_m36,64,3.315908
cuda,regnety_002,128,1.810397
cuda,repvgg_a2,128,2.009230
cuda,res2net101_26w_4s,64,3.730595
cuda,res2net50_14w_8s,2,3.293135
cuda,res2next50,2,1.900048
cuda,resmlp_12_224,128,1.047697
cuda,resnest101e,32,4.599540
cuda,resnet18,128,0.807176
cuda,rexnet_100,128,2.118898
cuda,sebotnet33ts_256,64,1.990456
cuda,selecsls42b,128,1.124213
cuda,spnasnet_100,128,1.997616
cuda,swin_base_patch4_window7_224,64,4.024581
cuda,swsl_resnext101_32x16d,32,2.582913
cuda,tf_efficientnet_b0,128,2.061316
cuda,tf_mixnet_l,64,5.232970
cuda,tinynet_a,128,2.324990
cuda,tnt_s_patch16_224,64,2.968223
cuda,twins_pcpvt_base,32,3.795094
cuda,visformer_small,128,1.593184
cuda,vit_base_patch16_224,64,1.531775
cuda,volo_d1_224,64,2.318178
cuda,xcit_large_24_p8_224,5,4.430992
