dev,name,batch_size,speedup,start_latency,peak_memory
cuda,adv_inception_v3,128,0.8563,11.3339,23.1706
cuda,beit_base_patch16_224,0,0.0000
cuda,botnet26t_256,128,0.8331,5.5359,20.1637
cuda,cait_m36_384,2,1.0124,36.9760,35.7310
cuda,coat_lite_mini,0,0.0000
cuda,convit_base,0,0.0000
cuda,convmixer_768_32,32,0.9262,9.1143,21.2772
cuda,convnext_base,32,0.8510,12.5331,18.9356
cuda,crossvit_9_240,64,0.8710,12.1418,9.7974
cuda,cspdarknet53,64,0.8118,8.4948,18.7633
cuda,deit_base_distilled_patch16_224,64,0.7971,7.0381,26.0145
cuda,densenet121,64,1.0203,18.4986,13.7287
cuda,dla102,64,0.8401,12.8140,16.5388
cuda,dm_nfnet_f0,128,0.8798,11.4208,25.0159
cuda,dpn107,32,0.8286,16.4668,22.3344
cuda,eca_botnext26ts_256,64,0.6843,6.1176,16.7807
cuda,eca_halonext26ts,64,0.6899,6.7942,16.8071
cuda,ecaresnet101d,64,0.8170,17.3469,22.6068
cuda,ese_vovnet19b_dw,128,0.7965,4.3024,16.3068
cuda,fbnetc_100,128,0.8518,7.6159,11.4323
cuda,fbnetv3_b,128,0.8484,13.4502,18.6817
cuda,gernet_l,128,0.8338,7.0759,14.9121
cuda,ghostnet_100,128,0.9532,10.9497,8.7826
cuda,gluon_inception_v3,128,0.8561,11.6629,23.1710
cuda,gluon_senet154,32,1.0013,32.2138,26.1943
cuda,gluon_xception65,32,0.7606,14.5631,23.8730
cuda,gmixer_24_224,64,0.7160,13.0991,16.2641
cuda,gmlp_s16_224,64,0.7806,11.5488,18.2556
cuda,hardcorenas_a,128,0.8487,5.6489,9.9307
cuda,hrnet_w18,2,2.4613,52.0590,1.9953
cuda,inception_v3,128,0.8492,11.8858,23.1732
cuda,jx_nest_base,0,0.0000
cuda,lcnet_050,128,0.9756,3.6391,3.7411
cuda,legacy_senet154,32,1.0101,32.2734,26.2112
cuda,mixer_b16_224,64,0.8021,5.5098,17.4469
cuda,mixnet_l,64,0.8330,16.6252,14.7486
cuda,mnasnet_100,128,0.8478,6.2176,9.5206
cuda,mobilenetv2_100,128,0.7733,6.0720,17.1624
cuda,mobilenetv3_large_100,128,0.8655,6.6225,9.7015
cuda,mobilevit_s,0,0.0000
cuda,nasnetalarge,16,0.8765,59.5470,29.6210
cuda,nfnet_l0,64,0.7868,10.9884,13.9306
cuda,pit_b_224,0,0.0000
cuda,pnasnet5large,16,0.8137,41.1691,33.8470
cuda,poolformer_m36,64,0.8077,13.5692,34.6343
cuda,regnety_002,128,1.2236,7.3847,4.3811
cuda,repvgg_a2,128,0.8790,5.9811,10.4485
cuda,res2net101_26w_4s,64,0.9522,25.2733,20.3430
cuda,res2net50_14w_8s,2,2.3591,21.1755,2.2740
cuda,res2next50,2,2.2517,10.4264,2.2303
cuda,resmlp_12_224,128,0.7817,4.9140,17.4511
cuda,resnest101e,32,1.0610,25.4848,17.0416
cuda,resnet18,128,0.8481,2.6538,6.1181
cuda,rexnet_100,128,0.7240,9.3478,21.9330
cuda,sebotnet33ts_256,64,0.7056,8.0755,22.3840
cuda,selecsls42b,128,0.8457,4.9890,11.5934
cuda,spnasnet_100,128,0.8421,7.6176,10.4237
cuda,swin_base_patch4_window7_224,0,0.0000
cuda,swsl_resnext101_32x16d,32,0.8215,12.2745,34.1925
cuda,tf_efficientnet_b0,128,0.6912,9.6314,22.7589
cuda,tf_mixnet_l,64,0.8266,16.9741,15.2431
cuda,tinynet_a,128,0.6971,10.9126,18.3338
cuda,tnt_s_patch16_224,64,0.8737,18.7050,22.1476
cuda,twins_pcpvt_base,0,0.0000
cuda,visformer_small,128,0.8406,6.6818,22.1508
cuda,vit_base_patch16_224,64,0.8381,7.0496,25.7840
cuda,volo_d1_224,64,0.8465,12.6538,23.2685
cuda,xcit_large_24_p8_224,5,0.8659,32.4198,24.8661
