dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,BERT_pytorch,16,1.929384,5.274984
cuda,Background_Matting,4,0.866811,3.421555
cuda,LearningToPaint,96,0.562667,0.961771
cuda,Super_SloMo,6,1.111947,3.094975
cuda,alexnet,128,0.351944,0.310564
cuda,attention_is_all_you_need_pytorch,256,1.674484,5.650407
cuda,dcgan,32,0.339936,0.205629
cuda,demucs,4,0.653515
cuda,densenet121,4,1.996756,8.336725
cuda,dlrm,2048,0.587982,0.337011
cuda,drq,1,0.387026,0.329144
cuda,fastNLP_Bert,6,1.816401,4.616723
cuda,hf_Albert,8,1.428113,4.863775
cuda,hf_Bart,4,1.986903,5.897200
cuda,hf_Bert,4,1.758386,4.368819
cuda,hf_DistilBert,8,0.864671,2.211633
cuda,hf_GPT2,4,1.750403,4.037032
cuda,hf_T5,8,2.517902,6.599962
cuda,mnasnet1_0,32,0.844578,2.484192
cuda,mobilenet_v2,96,0.876405,2.337761
cuda,mobilenet_v3_large,32,0.953056,2.789644
cuda,moco,32,2.006305,0.032758
cuda,nvidia_deeprecommender,256,0.373973,0.157568
cuda,pytorch_CycleGAN_and_pix2pix,1,0.575623,1.784200
cuda,pytorch_stargan,16,0.573159,1.530580
cuda,pytorch_struct,200,0.441831,0.528900
cuda,pytorch_unet,1,0.609471,1.107792
cuda,resnet18,16,0.537457,1.015949
cuda,resnet50,32,0.912716,2.819621
cuda,resnext50_32x4d,8,0.916249,2.744992
cuda,shufflenet_v2_x1_0,128,1.016918,2.987435
cuda,soft_actor_critic,256,0.308109,0.122716
cuda,squeezenet1_1,32,0.522835,1.058267
cuda,timm_efficientdet,1,13.000485,17.623890
cuda,timm_efficientnet,32,1.469051,4.009732
cuda,timm_nfnet,128,2.209611,5.014797
cuda,timm_regnet,32,1.870144,5.026715
cuda,timm_resnest,32,0.631841,1.570423
cuda,timm_vision_transformer,8,1.068960,3.158083
cuda,timm_vovnet,32,1.025774,2.048368
cuda,tts_angular,64,0.506115,0.046356
cuda,vgg16,64,0.442952,0.632212
cuda,yolov3,16,6.235878,4.873489
