dev,name,batch_size,speedup,start_latency,peak_memory
cuda,AlbertForMaskedLM,2,1.0005,1.7126,19.6382
cuda,AlbertForQuestionAnswering,2,1.0001,1.6625,19.0978
cuda,AllenaiLongformerBase,1,0.9798,1.6870,10.3393
cuda,BartForCausalLM,2,0.9991,1.4702,19.8393
cuda,BartForConditionalGeneration,1,1.0136,3.3087,30.3063
cuda,BertForMaskedLM,64,0.9999,1.6761,16.9870
cuda,BertForQuestionAnswering,64,0.9986,1.6058,10.4527
cuda,BigBird,1,0.9878,7.2542,10.5337
cuda,BlenderbotSmallForCausalLM,64,1.0020,1.1128,16.9924
cuda,BlenderbotSmallForConditionalGeneration,32,1.0106,2.2266,15.2741
cuda,CamemBert,1,1.0439,1.4888,7.4206
cuda,DebertaForMaskedLM,4,0.9594,3.3968,11.9023
cuda,DebertaForQuestionAnswering,4,0.9673,3.4978,9.1991
cuda,DistilBertForMaskedLM,16,1.0282,0.7428,6.1026
cuda,DistilBertForQuestionAnswering,32,1.0366,0.7507,4.9374
cuda,DistillGPT2,1,1.0332,0.8417,6.0303
cuda,ElectraForCausalLM,1,1.0400,1.5619,1.3342
cuda,ElectraForQuestionAnswering,64,0.9999,1.8115,10.1032
cuda,GPT2ForSequenceClassification,4,1.0004,1.7756,16.0480
cuda,LayoutLMForMaskedLM,16,0.9994,1.9330,19.8870
cuda,LayoutLMForSequenceClassification,16,0.9996,1.8844,13.6313
cuda,M2M100ForConditionalGeneration,2,1.0096,3.2555,31.7861
cuda,MBartForCausalLM,16,1.0076,1.3838,17.7341
cuda,MBartForConditionalGeneration,8,1.0142,3.2817,27.2636
cuda,MT5ForConditionalGeneration,2,1.0215,3.4820,21.0459
cuda,MegatronBertForCausalLM,2,1.0333,3.4257,21.4824
cuda,MegatronBertForQuestionAnswering,8,1.0352,3.3169,21.2944
cuda,MobileBertForMaskedLM,16,1.0164,7.7264,4.7211
cuda,MobileBertForQuestionAnswering,32,1.0151,7.6621,3.2588
cuda,OPTForCausalLM,4,1.0184,1.3906,8.7240
cuda,PLBartForCausalLM,16,1.0117,0.7869,8.5888
cuda,PLBartForConditionalGeneration,8,1.0125,1.7599,11.0339
cuda,PegasusForCausalLM,8,1.0146,1.3886,15.6351
cuda,PegasusForConditionalGeneration,4,1.0127,3.0897,26.5574
cuda,RobertaForCausalLM,4,1.0324,1.5915,7.3388
cuda,RobertaForQuestionAnswering,64,0.9983,1.6587,10.4552
cuda,Speech2Text2ForCausalLM,64,1.0043,0.8487,3.7998
cuda,T5ForConditionalGeneration,4,0.9978,2.4475,12.7538
cuda,T5Small,1,1.0229,2.2799,5.8129
cuda,TrOCRForCausalLM,8,1.0120,1.3422,15.2368
cuda,XGLMForCausalLM,1,1.0197,2.5450,38.6175
cuda,XLNetLMHeadModel,4,1.0012,4.1385,28.7051
cuda,YituTechConvBert,1,1.0280,2.1988,7.2687
