dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,BERT_pytorch,16,1.731302,4.643427
cuda,Background_Matting,4,0.829709,3.547135
cuda,LearningToPaint,96,0.540038,0.926807
cuda,Super_SloMo,6,0.993508,2.890848
cuda,alexnet,128,0.340226,0.261884
cuda,attention_is_all_you_need_pytorch,256,1.520402,5.263278
cuda,dcgan,32,0.331459,0.193024
cuda,densenet121,4,1.973674,8.671370
cuda,drq,1,0.376636,0.266640
cuda,fastNLP_Bert,6,1.658293,3.998546
cuda,hf_Albert,8,1.308653,4.272117
cuda,hf_Bart,4,2.532137,4.553661
cuda,hf_Bert,4,1.553968,3.638786
cuda,hf_DistilBert,8,0.771508,1.874397
cuda,hf_GPT2,4,1.655290,3.789212
cuda,mnasnet1_0,32,0.827414,2.469947
cuda,mobilenet_v2,96,0.850753,2.329206
cuda,mobilenet_v3_large,32,0.909996,2.683133
cuda,moco,32,1.831581,0.016608
cuda,nvidia_deeprecommender,256,0.348514,0.110884
cuda,pytorch_CycleGAN_and_pix2pix,1,0.525286,1.703099
cuda,pytorch_stargan,16,0.562845,1.517768
cuda,pytorch_struct,200,0.405399,0.424966
cuda,pytorch_unet,1,0.574319,1.005454
cuda,resnet18,16,0.521198,0.989709
cuda,resnet50,32,0.883457,2.683786
cuda,resnext50_32x4d,8,0.895789,2.679348
cuda,shufflenet_v2_x1_0,128,0.987169,2.989567
cuda,soft_actor_critic,256,0.301132,0.093943
cuda,squeezenet1_1,32,0.466099,0.902993
cuda,timm_efficientdet,1,12.707194,19.290932
cuda,timm_efficientnet,32,1.396456,3.792080
cuda,timm_nfnet,128,2.027795,5.016278
cuda,timm_regnet,32,1.806171,4.823478
cuda,timm_resnest,32,0.601488,1.471012
cuda,timm_vision_transformer,8,0.954247,2.797250
cuda,timm_vovnet,32,1.016769,2.032165
cuda,tts_angular,64,0.458469,0.043813
cuda,vgg16,64,0.398508,0.518697
cuda,yolov3,16,6.154351,5.116372
