dev,name,batch_size,speedup,start_latency,peak_memory
cuda,BERT_pytorch,16,1.0097,1.6049,5.0859
cuda,Background_Matting,4,0.9994,1.0332,6.4181
cuda,LearningToPaint,96,1.0040,0.5106,0.8543
cuda,Super_SloMo,6,0.9993,1.0434,4.8927
cuda,alexnet,128,0.9984,0.3526,3.0308
cuda,attention_is_all_you_need_pytorch,256,1.0118,1.3304,5.4078
cuda,dcgan,32,0.9890,0.3352,0.1387
cuda,densenet121,4,1.0019,1.6823,0.5945
cuda,dlrm,2048,1.0017,0.6053,11.1844
cuda,drq,1,1.0319,0.3644,0.1529
cuda,fastNLP_Bert,6,0.9992,1.5323,5.9169
cuda,hf_Albert,8,1.0013,1.2653,5.4169
cuda,hf_Bart,4,1.0028,2.1054,9.3908
cuda,hf_Bert,4,1.0497,1.4144,6.6108
cuda,hf_BigBird,2,0.9940,7.1087,9.2855
cuda,hf_DistilBert,8,1.0057,0.7025,5.9727
cuda,hf_GPT2,4,1.0294,1.4533,9.2721
cuda,hf_Longformer,2,0.9868,1.7291,9.4080
cuda,hf_Reformer,4,0.9989,1.7135,1.0546
cuda,hf_T5,8,0.9916,4.0350,18.6488
cuda,mnasnet1_0,32,0.9984,0.7261,0.9185
cuda,mobilenet_v2,96,0.9997,0.7767,3.9777
cuda,mobilenet_v3_large,32,1.0045,0.8217,0.9861
cuda,moco,32,0.9933,1.8228,3.1183
cuda,nvidia_deeprecommender,256,0.9985,0.3593,10.5303
cuda,pytorch_CycleGAN_and_pix2pix,1,0.9933,0.5040,0.7165
cuda,pytorch_stargan,16,0.9970,0.5145,0.9276
cuda,pytorch_struct,200,0.9649,0.4036,0.4513
cuda,pytorch_unet,1,0.9989,0.5770,2.4971
cuda,resnet18,16,1.0002,0.5012,0.7124
cuda,resnet50,32,1.0008,0.8094,2.5026
cuda,resnext50_32x4d,8,0.9942,0.8102,1.4997
cuda,shufflenet_v2_x1_0,128,1.0008,0.8344,1.5320
cuda,soft_actor_critic,256,0.9851,0.3093,0.0549
cuda,speech_transformer,32,1.0056,1.7057,2.1358
cuda,squeezenet1_1,32,1.0010,0.4633,0.4677
cuda,tacotron2,64,0.9795,23.0623,9.4027
cuda,timm_efficientdet,1,1.0185,13.6773,1.1471
cuda,timm_efficientnet,32,1.0135,1.2633,1.6658
cuda,timm_nfnet,128,0.9988,2.0503,9.8391
cuda,timm_regnet,32,1.0168,1.6730,5.1821
cuda,timm_resnest,32,1.0027,0.5625,1.4894
cuda,timm_vision_transformer,8,0.9974,0.8462,1.2175
cuda,timm_vovnet,32,1.0182,0.9734,2.2148
cuda,tts_angular,64,0.9796,0.4515,0.6152
cuda,vgg16,64,0.9994,0.4468,8.6296
cuda,vision_maskrcnn,4,0.9876,6.2659,4.4792
cuda,yolov3,16,0.9991,5.9952,7.6806
