dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,1.177860,8.158206,2.159916,1.298610,4.688620,2.969648,1.284229,0.158284,8.617841,12.548138
cuda,Background_Matting,4,0.478866,7.316511,1.703007,0.868520,5.213909,3.481345,1.317391,0.086476,0.000007,4.454351
cuda,LearningToPaint,96,0.259417,2.333125,0.439281,0.344827,1.191375,0.663228,0.278622,0.034628,22.941175,24.070579
cuda,Super_SloMo,6,0.624011,9.662680,4.790413,1.375328,5.171868,3.386354,1.288670,0.079539,25.399496,27.228132
cuda,alexnet,128,0.144629,0.787674,0.450538,0.106412,0.609674,0.332870,0.154382,0.011361,4.774972,5.045858
cuda,attention_is_all_you_need_pytorch,256,0.940645,9.335513,2.689668,1.709753,4.839185,2.774285,1.570462,0.191346,25.569411,29.543128
cuda,dcgan,32,0.146069,0.567761,0.186080,0.086777,0.264168,0.112261,0.048165,0.007718,4.755919,4.927568
cuda,densenet121,4,1.188625,21.667686,6.350087,2.462407,15.972604,9.889262,4.342909,0.209090,0.000007,12.313241
cuda,dlrm,2048,0.415825,0.759381,0.372901,0.272118,0.577324,0.355561,0.092543,0.014053,8.995990,9.480102
cuda,fastNLP_Bert,6,1.172494,7.452868,2.033261,1.210693,3.850110,2.426177,1.062789,0.155143,2.194803,5.320210
cuda,hf_Albert,8,0.969243,7.330898,1.983203,1.189736,3.677817,2.468494,0.868435,0.119368,20.243607,23.215509
cuda,hf_Bart,4,1.772438,9.039932,2.389834,1.551096,4.581206,2.873582,1.274908,0.212587,11.481411,15.357178
cuda,hf_Bert,4,1.127102,7.931496,2.170343,1.227127,3.774063,2.512413,0.925307,0.152105,5.471287,8.402254
cuda,hf_BigBird,2,6.327639,27.592593,12.145996,2.543186,11.624056,7.694216,3.356470,0.294332,18.794578,21.017033
cuda,hf_DistilBert,8,0.445500,4.347007,1.425283,0.747037,2.488286,1.615610,0.606499,0.086702,17.997480,19.859852
cuda,hf_GPT2,4,1.150769,6.744773,2.149826,1.083111,3.624279,2.332684,0.936720,0.133660,7.578439,10.217438
cuda,mnasnet1_0,32,0.427605,5.805610,0.930627,0.794027,3.398305,2.117643,0.827003,0.087152,46.613814,49.952741
cuda,mobilenet_v2,96,0.424878,6.451429,1.433971,0.912915,3.892074,2.410352,1.069293,0.094579,42.307056,45.761196
cuda,mobilenet_v3_large,32,0.491043,6.889532,1.631613,0.929940,4.209082,2.699031,0.936806,0.108122,54.650900,58.243237
cuda,nvidia_deeprecommender,256,0.150229,0.374521,0.128016,0.069943,0.209094,0.088552,0.037250,0.007794,5.658549,5.815578
cuda,pytorch_CycleGAN_and_pix2pix,1,0.258854,4.216489,1.348516,0.548277,2.481662,1.594329,0.659697,0.058549,9.588771,11.315351
cuda,pytorch_stargan,16,0.260495,2.872044,0.604823,0.332995,0.942494,0.534005,0.230173,0.036237,31.995329,32.700016
cuda,pytorch_struct,200,0.179199,0.812425,0.259522,0.131005,0.348314,0.148142,0.076348,0.017655,12.163693,12.393806
cuda,pytorch_unet,1,0.273667,2.908239,0.862401,0.396357,1.807945,1.178944,0.402403,0.039221,13.003993,14.380252
cuda,resnet18,16,0.252464,2.485888,0.697990,0.359561,1.620517,0.999681,0.378687,0.033531,20.122280,21.549007
cuda,resnet50,32,0.474899,6.214271,1.025264,0.781684,3.053324,1.731029,0.962683,0.081383,25.905742,28.795894
cuda,resnext50_32x4d,8,0.472590,6.129705,1.017485,0.734923,2.772351,1.504206,0.876556,0.080450,28.867716,31.438705
cuda,shufflenet_v2_x1_0,128,0.545225,7.318464,1.757049,1.097989,4.456454,2.937304,1.085863,0.097796,0.000005,3.886257
cuda,squeezenet1_1,32,0.217036,1.859121,0.722168,0.174549,1.004530,0.546187,0.284405,0.029546,9.057329,9.528628
cuda,timm_efficientnet,32,0.959802,7.873056,1.763969,1.050653,4.709687,3.032560,1.102074,0.124090,48.294549,52.388744
cuda,timm_nfnet,128,1.477057,16.196152,4.773129,2.337084,7.265738,5.269212,1.322448,0.204746,34.328768,39.352160
cuda,timm_regnet,32,1.296777,9.620020,1.481403,1.008839,3.752243,2.348229,0.907797,0.134083,32.218338,35.615129
cuda,timm_resnest,32,0.345182,3.940376,1.371195,0.625285,3.770035,2.239048,1.137360,0.054441,45.645147,48.712788
cuda,timm_vision_transformer,8,0.576565,6.558971,2.064496,1.376819,3.574750,2.258057,0.951036,0.128025,0.000004,2.970729
cuda,timm_vovnet,32,0.727489,5.687121,1.663320,0.714635,4.528594,2.637511,1.347545,0.070792,0.000005,3.641355
cuda,vgg16,64,0.168572,1.211830,0.580242,0.129945,0.899429,0.575358,0.188963,0.018127,7.426111,7.884550
