dev,name,batch_size,speedup,start_latency,peak_memory
cuda,adv_inception_v3,128,0.9992,1.5107,8.4632
cuda,beit_base_patch16_224,64,0.9998,1.5562,12.1668
cuda,botnet26t_256,128,0.9995,1.2286,7.0239
cuda,cait_m36_384,2,0.9965,3.4022,21.1550
cuda,coat_lite_mini,128,0.9998,1.5057,7.5603
cuda,convit_base,32,0.9904,2.4271,8.4533
cuda,convmixer_768_32,32,0.9997,1.7752,7.9666
cuda,convnext_base,32,0.9982,1.5729,9.3367
cuda,crossvit_9_240,64,1.0049,1.5198,3.5519
cuda,cspdarknet53,64,0.9988,1.6305,6.9118
cuda,deit_base_distilled_patch16_224,64,1.0000,1.2463,11.7864
cuda,densenet121,64,1.0160,2.6905,4.8159
cuda,dla102,64,0.9990,1.4438,6.9473
cuda,dm_nfnet_f0,128,0.9986,2.2367,11.1158
cuda,dpn107,32,0.9992,2.7877,10.4026
cuda,eca_botnext26ts_256,64,0.9990,1.0859,4.8570
cuda,eca_halonext26ts,64,0.9989,1.1455,4.8759
cuda,ese_vovnet19b_dw,128,0.9991,0.8853,5.5186
cuda,fbnetc_100,128,0.9993,1.4746,3.9347
cuda,fbnetv3_b,128,1.0100,2.2796,6.1377
cuda,gernet_l,128,0.9987,1.4553,6.0313
cuda,ghostnet_100,128,1.0032,1.2864,3.0985
cuda,gluon_inception_v3,128,0.9995,1.5138,8.6005
cuda,gluon_senet154,32,1.0035,3.1276,12.6993
cuda,gluon_xception65,32,0.9990,1.4812,9.1571
cuda,gmixer_24_224,64,0.9987,1.4316,5.8548
cuda,gmlp_s16_224,64,0.9988,1.4105,7.0911
cuda,hrnet_w18,2,1.0031,4.6398,1.4173
cuda,inception_v3,128,0.9996,1.5352,8.4632
cuda,jx_nest_base,32,0.9991,1.9454,12.0866
cuda,lcnet_050,128,1.0095,0.8172,1.2982
cuda,mixer_b16_224,64,0.9998,1.0206,7.9385
cuda,mixnet_l,64,1.0092,3.9294,4.2715
cuda,mnasnet_100,128,0.9991,1.1490,3.3826
cuda,mobilenetv2_100,128,0.9993,1.1499,5.5008
cuda,mobilenetv3_large_100,128,1.0070,1.1961,3.4327
cuda,mobilevit_s,32,1.0099,1.4323,3.8402
cuda,nfnet_l0,64,1.0078,1.7581,4.9958
cuda,pit_b_224,64,0.9994,1.5079,14.3134
cuda,pnasnet5large,16,1.0051,3.9798,14.1825
cuda,poolformer_m36,64,0.9997,2.1631,13.4766
cuda,regnety_002,128,1.0168,1.2301,1.5734
cuda,repvgg_a2,128,0.9996,1.4054,4.4528
cuda,res2net101_26w_4s,64,1.0013,2.4364,8.1685
cuda,res2net50_14w_8s,2,0.9997,2.0701,1.6420
cuda,res2next50,2,1.0030,1.2108,1.6018
cuda,resmlp_12_224,128,0.9989,0.9306,5.1285
cuda,resnest101e,32,1.0016,2.8340,7.0115
cuda,resnet18,128,0.9992,0.5546,2.4074
cuda,rexnet_100,128,0.9989,1.4874,6.3815
cuda,sebotnet33ts_256,64,0.9991,1.3717,7.7018
cuda,selecsls42b,128,0.9991,0.7967,5.0325
cuda,spnasnet_100,128,0.9987,1.4239,3.6028
cuda,swin_base_patch4_window7_224,64,0.9992,2.8129,14.8298
cuda,swsl_resnext101_32x16d,32,0.9989,1.5334,17.9876
cuda,tf_efficientnet_b0,128,0.9991,1.4596,6.2036
cuda,tf_mixnet_l,64,1.0106,4.1484,4.6391
cuda,tinynet_a,128,1.0058,1.5581,5.2556
cuda,tnt_s_patch16_224,64,0.9990,2.2470,8.3047
cuda,twins_pcpvt_base,32,1.0029,2.7545,6.2093
cuda,visformer_small,128,0.9994,1.1349,8.9263
cuda,vit_base_patch16_224,64,0.9997,1.2493,11.7208
cuda,volo_d1_224,64,0.9995,1.7390,8.7490
cuda,xcit_large_24_p8_224,5,0.9985,3.2520,11.3357
