dev,name,batch_size,speedup,start_latency,peak_memory
cuda,AlbertForMaskedLM,2,0.7796,7.8154,33.2617
cuda,AlbertForQuestionAnswering,2,0.7817,7.5778,32.3386
cuda,AllenaiLongformerBase,0,0.0000
cuda,BartForCausalLM,2,0.7646,6.6083,20.1563
cuda,BartForConditionalGeneration,1,0.9662,24.6381,28.3767
cuda,BertForMaskedLM,64,0.7274,7.5703,22.7808
cuda,BertForQuestionAnswering,64,0.7418,7.2503,14.9537
cuda,BigBird,0,0.0000
cuda,BlenderbotSmallForCausalLM,64,0.7413,4.7535,21.4273
cuda,BlenderbotSmallForConditionalGeneration,32,0.9076,15.2214,15.6735
cuda,CamemBert,1,1.6702,6.8058,7.1550
cuda,DebertaForMaskedLM,4,0.9362,49.7502,15.4003
cuda,DebertaForQuestionAnswering,0,0.0000
cuda,DistilBertForMaskedLM,16,1.0043,4.0285,6.6662
cuda,DistilBertForQuestionAnswering,32,0.9087,4.4066,5.9557
cuda,DistillGPT2,1,1.3388,3.3227,5.6819
cuda,ElectraForCausalLM,1,1.9245,6.6826,1.4292
cuda,ElectraForQuestionAnswering,64,0.7350,7.6334,19.7070
cuda,GPT2ForSequenceClassification,0,0.0000
cuda,LayoutLMForMaskedLM,16,0.7351,8.2401,27.4561
cuda,LayoutLMForSequenceClassification,16,0.7430,8.7253,19.6883
cuda,M2M100ForConditionalGeneration,2,1.6311,26.7584,26.3187
cuda,MBartForCausalLM,16,0.8310,6.6677,18.0514
cuda,MBartForConditionalGeneration,0,0.0000
cuda,MT5ForConditionalGeneration,2,1.9843,41.2094,16.7875
cuda,MegatronBertForCausalLM,2,1.9053,14.8663,17.7987
cuda,MegatronBertForQuestionAnswering,8,1.4496,14.9303,19.5882
cuda,MobileBertForMaskedLM,16,1.9732,44.0330,6.2416
cuda,MobileBertForQuestionAnswering,32,1.7802,44.2115,6.1089
cuda,OPTForCausalLM,4,1.6103,9.1854,8.1234
cuda,PLBartForCausalLM,16,0.9047,3.3130,8.9286
cuda,PLBartForConditionalGeneration,0,0.0000
cuda,PegasusForCausalLM,8,1.1888,7.2266,14.1856
cuda,PegasusForConditionalGeneration,4,1.7791,25.6904,22.5539
cuda,RobertaForCausalLM,4,1.8490,6.7527,6.7746
cuda,RobertaForQuestionAnswering,64,0.7440,7.4311,14.9591
cuda,Speech2Text2ForCausalLM,64,0.9000,3.8452,5.2202
cuda,T5ForConditionalGeneration,4,0.8180,26.5230,25.8267
cuda,T5Small,1,1.1440,25.7885,8.7411
cuda,TrOCRForCausalLM,8,1.0828,6.2669,14.0935
cuda,XGLMForCausalLM,1,1.5543,15.4490,29.8981
cuda,XLNetLMHeadModel,4,0.8035,29.1970,31.6542
cuda,YituTechConvBert,1,2.2540,11.7345,6.8730
