dev,name,batch_size,speedup,start_latency,peak_memory
cuda,BERT_pytorch,16,0.8710,6.1659,5.2909
cuda,Background_Matting,4,1.0178,4.3465,6.7315
cuda,LearningToPaint,96,0.9934,1.4654,1.0439
cuda,Super_SloMo,6,0.9986,3.8525,4.9608
cuda,alexnet,128,0.9937,0.6220,3.1132
cuda,attention_is_all_you_need_pytorch,256,0.9551,6.2394,5.6699
cuda,dcgan,32,0.9169,0.5378,0.1461
cuda,densenet121,4,0.9517,10.2275,0.6351
cuda,dlrm,2048,0.9661,0.8974,11.1852
cuda,drq,1,0.8353,0.6493,0.1529
cuda,fastNLP_Bert,6,0.9125,5.3940,6.1944
cuda,hf_Albert,8,0.9974,5.1605,5.5978
cuda,hf_Bart,4,0.8294,6.9248,9.4725
cuda,hf_Bert,4,0.9129,4.9612,6.8687
cuda,hf_BigBird,2,0.7980,11.7919,9.4130
cuda,hf_DistilBert,8,0.9553,2.5138,6.2190
cuda,hf_GPT2,4,0.9797,5.2830,9.6054
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,0,0.0000
cuda,hf_T5,8,0.9633,10.2508,18.8159
cuda,mnasnet1_0,32,1.0158,3.1473,1.0212
cuda,mobilenet_v2,96,1.0104,2.9585,5.1574
cuda,mobilenet_v3_large,32,1.0210,3.4349,1.1045
cuda,moco,32,0.9947,2.3151,3.1183
cuda,nvidia_deeprecommender,256,0.9848,0.4780,10.4289
cuda,pytorch_CycleGAN_and_pix2pix,1,0.9315,2.2055,0.7438
cuda,pytorch_stargan,16,1.0489,2.0578,0.9240
cuda,pytorch_struct,200,0.8138,0.8174,0.7913
cuda,pytorch_unet,1,0.9955,1.5991,2.8103
cuda,resnet18,16,1.0098,1.4322,0.7916
cuda,resnet50,32,1.0218,3.4611,2.7222
cuda,resnext50_32x4d,8,0.9877,3.5199,1.5731
cuda,shufflenet_v2_x1_0,128,1.0120,3.7613,1.7670
cuda,soft_actor_critic,256,0.7816,0.4012,0.0549
cuda,speech_transformer,0,0.0000
cuda,squeezenet1_1,32,0.9845,1.3822,0.5698
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,1,0.8933,29.2743,1.3483
cuda,timm_efficientnet,32,0.8777,4.9968,2.1048
cuda,timm_nfnet,128,0.9979,6.8343,10.4464
cuda,timm_regnet,32,1.0237,6.4656,5.7420
cuda,timm_resnest,32,1.0122,2.0618,1.7044
cuda,timm_vision_transformer,8,0.8887,3.5740,1.2704
cuda,timm_vovnet,32,1.0172,3.0687,2.6459
cuda,tts_angular,64,0.9303,0.5395,0.6152
cuda,vgg16,64,0.9987,0.9925,10.2367
cuda,vision_maskrcnn,0,0.0000
cuda,yolov3,16,0.9710,11.0909,7.9268
