dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,BERT_pytorch,16,1.765810,4.209795
cuda,Background_Matting,4,0.839154,3.089760
cuda,LearningToPaint,96,0.552780,0.838893
cuda,Super_SloMo,6,1.011392,2.552847
cuda,alexnet,128,0.346113,0.246625
cuda,attention_is_all_you_need_pytorch,256,1.515061,4.489759
cuda,dcgan,32,0.333225,0.181515
cuda,densenet121,4,1.963863,7.585907
cuda,dlrm,2048,0.576100,0.273378
cuda,drq,1,0.373237,0.249233
cuda,fastNLP_Bert,6,1.692595,3.532408
cuda,hf_Albert,8,1.322658,3.750990
cuda,hf_Bart,4,2.367404,4.483727
cuda,hf_Bert,4,1.587998,3.222351
cuda,hf_BigBird,2,8.059747,2.891347
cuda,hf_DistilBert,8,0.773340,1.676107
cuda,hf_GPT2,4,1.630482,3.216109
cuda,hf_Reformer,4,1.661702,0.094483
cuda,hf_T5,8,3.771053,6.080533
cuda,mnasnet1_0,32,0.832353,2.204865
cuda,mobilenet_v2,96,0.850035,1.937051
cuda,mobilenet_v3_large,32,0.916445,2.386268
cuda,moco,32,1.857257,0.033294
cuda,nvidia_deeprecommender,256,0.347310,0.100658
cuda,pytorch_CycleGAN_and_pix2pix,1,0.527501,1.612942
cuda,pytorch_stargan,16,0.561868,1.428938
cuda,pytorch_struct,200,0.408112,0.390809
cuda,pytorch_unet,1,0.577995,0.914816
cuda,resnet18,16,0.533917,0.840580
cuda,resnet50,32,0.896593,2.397625
cuda,resnext50_32x4d,8,0.898628,2.411221
cuda,shufflenet_v2_x1_0,128,0.978567,2.704777
cuda,soft_actor_critic,256,0.297285,0.087952
cuda,squeezenet1_1,32,0.469353,0.854625
cuda,timm_efficientdet,1,12.899156,14.473635
cuda,timm_efficientnet,32,1.392785,3.381148
cuda,timm_nfnet,128,2.023728,4.216077
cuda,timm_regnet,32,1.817589,4.333897
cuda,timm_resnest,32,0.605867,1.353640
cuda,timm_vision_transformer,8,0.971843,2.479935
cuda,timm_vovnet,32,1.034748,1.844895
cuda,tts_angular,64,0.447074,0.040090
cuda,vgg16,64,0.397856,0.495703
cuda,yolov3,16,6.303737,4.427390
