dev,name,batch_size,speedup,start_latency,peak_memory
cuda,AlbertForMaskedLM,2,1.1774,7.8723,13.4976
cuda,AlbertForQuestionAnswering,2,1.1761,6.5462,12.9734
cuda,AllenaiLongformerBase,1,0.9743,7.5166,9.3540
cuda,BartForCausalLM,2,1.0218,3.5226,15.7391
cuda,BartForConditionalGeneration,1,1.0472,7.8513,20.8203
cuda,BertForMaskedLM,64,1.0722,7.2865,19.7940
cuda,BertForQuestionAnswering,64,1.0913,6.1620,7.6390
cuda,BigBird,0,0.0000
cuda,BlenderbotSmallForCausalLM,64,1.0438,3.6496,28.8108
cuda,BlenderbotSmallForConditionalGeneration,32,1.0534,7.8966,17.7314
cuda,CamemBert,1,1.1547,7.2134,5.3487
cuda,DebertaForMaskedLM,0,0.0000
cuda,DebertaForQuestionAnswering,0,0.0000
cuda,DistilBertForMaskedLM,16,1.0749,5.1414,6.4896
cuda,DistilBertForQuestionAnswering,32,1.0699,4.2326,3.4863
cuda,DistillGPT2,1,1.3506,4.9799,4.8851
cuda,ElectraForCausalLM,1,1.1336,7.1251,1.4910
cuda,ElectraForQuestionAnswering,64,1.3392,6.2570,7.2283
cuda,GPT2ForSequenceClassification,4,1.5519,6.8351,11.5807
cuda,LayoutLMForMaskedLM,16,1.1632,7.9355,19.9252
cuda,LayoutLMForSequenceClassification,16,1.2012,6.3875,9.6661
cuda,M2M100ForConditionalGeneration,2,1.0646,8.6178,22.2819
cuda,MBartForCausalLM,16,1.0872,4.3015,15.7386
cuda,MBartForConditionalGeneration,8,1.0630,8.6277,19.7677
cuda,MT5ForConditionalGeneration,0,0.0000
cuda,MegatronBertForCausalLM,2,1.1605,9.3000,14.8037
cuda,MegatronBertForQuestionAnswering,8,1.1457,8.4898,14.6373
cuda,MobileBertForMaskedLM,16,1.0692,18.9194,5.3199
cuda,MobileBertForQuestionAnswering,32,1.0608,18.5072,2.2558
cuda,OPTForCausalLM,4,1.1646,4.0795,6.6362
cuda,PLBartForCausalLM,16,1.0885,3.7075,10.0552
cuda,PLBartForConditionalGeneration,8,1.0187,6.0542,9.2967
cuda,PegasusForCausalLM,8,1.0785,4.3101,12.3758
cuda,PegasusForConditionalGeneration,4,1.0601,8.2461,18.2462
cuda,RobertaForCausalLM,4,1.1415,6.7896,5.2522
cuda,RobertaForQuestionAnswering,64,1.0919,6.2039,7.6379
cuda,Speech2Text2ForCausalLM,64,1.0183,2.9118,6.2753
cuda,T5ForConditionalGeneration,0,0.0000
cuda,T5Small,0,0.0000
cuda,TrOCRForCausalLM,8,1.0732,3.4296,11.6245
cuda,XGLMForCausalLM,1,1.0864,7.0469,26.8801
cuda,XLNetLMHeadModel,4,1.1154,8.7709,20.5458
cuda,YituTechConvBert,1,1.1216,7.9671,5.1109
