dev,name,batch_size,speedup,start_latency,peak_memory
cuda,adv_inception_v3,128,0.8503,11.9447,22.2899
cuda,beit_base_patch16_224,0,0.0000
cuda,botnet26t_256,128,0.7919,8.7496,19.6816
cuda,cait_m36_384,2,0.9978,36.1530,22.6549
cuda,coat_lite_mini,128,0.8447,8.8813,21.0872
cuda,convit_base,32,0.8230,18.2403,19.3027
cuda,convmixer_768_32,32,0.9230,8.8932,20.2965
cuda,convnext_base,32,0.7881,11.9825,14.7184
cuda,crossvit_9_240,64,0.8520,11.3496,9.4469
cuda,cspdarknet53,64,0.6849,17.9477,17.4809
cuda,deit_base_distilled_patch16_224,64,0.8006,6.6230,21.8781
cuda,densenet121,64,1.0423,49.7592,14.9709
cuda,dla102,64,0.8159,12.7918,14.9469
cuda,dm_nfnet_f0,128,0.8774,10.9364,21.6510
cuda,dpn107,32,0.6644,41.7114,18.1151
cuda,eca_botnext26ts_256,64,0.6356,9.5350,16.3635
cuda,eca_halonext26ts,64,0.6426,9.9525,16.3624
cuda,ese_vovnet19b_dw,128,0.7278,6.4223,16.0935
cuda,fbnetc_100,128,0.7045,16.1855,11.2675
cuda,fbnetv3_b,128,0.6671,29.0552,18.3738
cuda,gernet_l,128,0.6979,14.3983,13.5276
cuda,ghostnet_100,128,0.8810,12.0290,8.6313
cuda,gluon_inception_v3,128,0.8502,11.9293,22.2910
cuda,gluon_xception65,32,0.7536,15.3099,21.9857
cuda,gmixer_24_224,64,0.7134,12.2563,15.0832
cuda,gmlp_s16_224,64,0.7787,11.0530,17.3692
cuda,hrnet_w18,2,2.3564,55.3493,0.9825
cuda,inception_v3,128,0.8519,12.0333,22.2900
cuda,jx_nest_base,32,0.7840,16.2749,26.4142
cuda,lcnet_050,128,0.7533,6.1111,3.7560
cuda,mixer_b16_224,64,0.8009,5.2889,14.6249
cuda,mixnet_l,64,0.7423,29.3304,14.4584
cuda,mnasnet_100,128,0.7118,12.0285,9.4170
cuda,mobilenetv2_100,128,0.6562,11.6467,17.0943
cuda,mobilenetv3_large_100,128,0.7114,12.1188,9.5472
cuda,mobilevit_s,32,0.7534,15.6303,13.0009
cuda,nfnet_l0,64,0.7876,10.7684,12.2880
cuda,pit_b_224,64,0.8237,8.1012,33.6815
cuda,pnasnet5large,16,0.8378,43.7813,29.7199
cuda,poolformer_m36,64,0.8074,12.9728,31.9510
cuda,regnety_002,128,1.0982,13.2580,4.3292
cuda,repvgg_a2,128,0.7059,13.6777,9.1876
cuda,res2net101_26w_4s,64,0.9312,26.1484,18.1973
cuda,res2net50_14w_8s,2,2.2743,22.3698,1.0770
cuda,res2next50,2,2.2506,10.8023,1.0730
cuda,resmlp_12_224,128,0.7819,4.8257,16.8013
cuda,resnest101e,32,1.0942,26.4189,14.7144
cuda,resnet18,128,0.8465,2.6373,5.6570
cuda,rexnet_100,128,0.6714,16.0405,21.8262
cuda,sebotnet33ts_256,64,0.6566,12.9281,21.7854
cuda,selecsls42b,128,0.8404,4.9845,10.1404
cuda,spnasnet_100,128,0.6821,15.8140,10.3123
cuda,swin_base_patch4_window7_224,0,0.0000
cuda,swsl_resnext101_32x16d,32,0.8045,12.8558,24.8669
cuda,tf_efficientnet_b0,128,0.6288,15.8570,22.6064
cuda,tf_mixnet_l,64,0.7286,28.3418,14.9547
cuda,tinynet_a,128,0.5945,19.7969,18.1138
cuda,tnt_s_patch16_224,64,0.8724,17.4338,21.0208
cuda,twins_pcpvt_base,32,1.3236,26.0304,11.9759
cuda,visformer_small,128,0.8401,6.3527,20.2992
cuda,vit_base_patch16_224,64,0.8373,6.7270,21.6606
cuda,volo_d1_224,64,0.8478,12.3822,22.0302
cuda,xcit_large_24_p8_224,5,0.9026,33.0403,20.2711
