dev,name,batch_size,speedup,start_latency,peak_memory
cuda,BERT_pytorch,16,1.6001,10.7371,7.0797
cuda,Background_Matting,4,0.8972,6.8290,16.2945
cuda,LearningToPaint,96,1.1129,2.3363,1.7215
cuda,Super_SloMo,6,0.8870,6.0868,9.9921
cuda,alexnet,128,0.8066,1.0875,2.7927
cuda,attention_is_all_you_need_pytorch,256,0.8656,11.3209,10.6143
cuda,dcgan,32,1.6526,0.7863,0.1211
cuda,demucs,4,0.9995,0.8364,4.5417
cuda,densenet121,4,2.3175,18.4576,1.0584
cuda,dlrm,0,0.0000
cuda,drq,1,1.9636,1.1015,0.1189
cuda,fastNLP_Bert,6,0.7641,10.2028,11.7973
cuda,hf_Albert,8,0.7763,9.5384,18.1118
cuda,hf_Bart,4,0.8517,12.5974,14.7760
cuda,hf_Bert,4,0.9044,8.8689,9.3196
cuda,hf_BigBird,0,0.0000
cuda,hf_DistilBert,8,0.7398,5.5173,9.7678
cuda,hf_GPT2,4,0.8102,8.7338,12.9456
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,4,0.9950,2.9172,1.7350
cuda,hf_T5,0,0.0000
cuda,mnasnet1_0,32,1.2454,5.5108,2.4534
cuda,mobilenet_v2,96,0.7575,5.7079,12.8650
cuda,mobilenet_v3_large,32,1.4131,6.0493,2.5096
cuda,moco,32,0.9946,2.3922,2.4100
cuda,nvidia_deeprecommender,256,0.6546,0.8179,6.8764
cuda,pytorch_CycleGAN_and_pix2pix,1,1.3948,3.2001,0.8590
cuda,pytorch_stargan,16,0.9518,2.8129,1.5984
cuda,pytorch_struct,200,1.0099,1.6036,1.4545
cuda,pytorch_unet,1,0.8626,2.6237,5.6502
cuda,resnet18,16,1.5430,2.5317,0.9804
cuda,resnet50,32,1.0173,5.9869,5.1049
cuda,resnext50_32x4d,8,1.7960,5.7703,2.0930
cuda,shufflenet_v2_x1_0,128,0.9370,6.5126,4.6128
cuda,soft_actor_critic,256,1.3345,0.6532,0.0568
cuda,speech_transformer,0,0.0000
cuda,squeezenet1_1,32,1.3890,2.2508,1.3798
cuda,tacotron2,64,1.0308,58.6919,26.4921
cuda,timm_efficientdet,1,1.6982,83.7324,3.3170
cuda,timm_efficientnet,32,0.8793,15.3908,5.7794
cuda,timm_nfnet,128,0.8790,10.7048,21.6540
cuda,timm_regnet,32,0.8788,20.8695,10.8192
cuda,timm_resnest,32,0.8132,3.4806,4.0690
cuda,timm_vision_transformer,8,1.6607,6.1060,1.8524
cuda,timm_vovnet,32,0.5805,9.3772,4.7700
cuda,tts_angular,64,0.9754,0.6957,0.3406
cuda,vgg16,64,0.8545,1.7358,13.0920
cuda,yolov3,16,0.7790,15.2303,13.2481
