dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,BERT_pytorch,16,1.491482
cuda,Background_Matting,4,0.621223
cuda,LearningToPaint,96,0.455990
cuda,Super_SloMo,6,0.820511
cuda,alexnet,128,0.334170
cuda,attention_is_all_you_need_pytorch,256,1.202542
cuda,dcgan,32,0.324541
cuda,demucs,4,0.534426
cuda,densenet121,4,1.389676
cuda,dlrm,2048,0.560418
cuda,drq,1,0.352797
cuda,fastNLP_Bert,6,1.496936
cuda,hf_Albert,8,1.192420
cuda,hf_Bart,4,1.475066
cuda,hf_Bert,4,1.336023
cuda,hf_BigBird,2,6.602804
cuda,hf_DistilBert,8,0.620071
cuda,hf_GPT2,4,1.334801
cuda,hf_Longformer,2,1.180306
cuda,hf_Reformer,4,1.403340
cuda,hf_T5,8,2.018692
cuda,mnasnet1_0,32,0.626879
cuda,mobilenet_v2,96,0.636916
cuda,mobilenet_v3_large,32,0.694377
cuda,moco,32,1.400552
cuda,nvidia_deeprecommender,256,0.343768
cuda,pytorch_CycleGAN_and_pix2pix,1,0.465068
cuda,pytorch_stargan,16,0.452894
cuda,pytorch_struct,200,0.376397
cuda,pytorch_unet,1,0.499671
cuda,resnet18,16,0.461060
cuda,resnet50,32,0.686345
cuda,resnext50_32x4d,8,0.698583
cuda,shufflenet_v2_x1_0,128,0.749202
cuda,soft_actor_critic,256,0.297519
cuda,speech_transformer,32,1.579120
cuda,squeezenet1_1,32,0.423738
cuda,tacotron2,64,11.621481
cuda,timm_efficientdet,1,18.370060
cuda,timm_efficientnet,32,1.451599
cuda,timm_nfnet,128,1.643205
cuda,timm_regnet,32,1.818741
cuda,timm_resnest,32,0.485526
cuda,timm_vision_transformer,8,0.763629
cuda,timm_vovnet,32,1.337943
cuda,tts_angular,64,0.437957
cuda,vgg16,64,0.370341
cuda,yolov3,16,5.679989
