dev,name,batch_size,speedup,start_latency,peak_memory
cuda,AlbertForMaskedLM,2,1.6354,51.3259,10.2884
cuda,AlbertForQuestionAnswering,2,1.6437,20.1835,10.0197
cuda,AllenaiLongformerBase,0,0.0000
cuda,BartForCausalLM,2,1.4299,54.3430,8.5541
cuda,BartForConditionalGeneration,0,0.0000
cuda,BertForMaskedLM,64,1.3014,61.0931,8.3717
cuda,BertForQuestionAnswering,64,1.4072,20.5241,6.0850
cuda,BigBird,1,3.4661,96.6711,4.6426
cuda,BlenderbotSmallForCausalLM,64,1.2669,43.3340,8.4047
cuda,BlenderbotSmallForConditionalGeneration,32,1.7284,83.0879,7.2719
cuda,CamemBert,1,3.1281,51.9109,3.0596
cuda,DebertaForMaskedLM,0,0.0000
cuda,DebertaForQuestionAnswering,0,0.0000
cuda,DistilBertForMaskedLM,0,0.0000
cuda,DistilBertForQuestionAnswering,0,0.0000
cuda,DistillGPT2,1,1.2810,26.7323,1.7873
cuda,ElectraForCausalLM,1,4.6131,51.7425,0.6977
cuda,ElectraForQuestionAnswering,64,1.9096,60.0284,9.1262
cuda,GPT2ForSequenceClassification,4,2.0804,51.6965,6.6915
cuda,LayoutLMForMaskedLM,16,1.5328,50.8366,10.1416
cuda,LayoutLMForSequenceClassification,16,1.6454,30.0350,7.9608
cuda,M2M100ForConditionalGeneration,2,3.3049,154.4504,12.1145
cuda,MBartForCausalLM,16,1.3431,47.1233,7.1533
cuda,MBartForConditionalGeneration,8,2.2261,129.4400,10.9858
cuda,MT5ForConditionalGeneration,2,5.1519,117.4358,6.8558
cuda,MegatronBertForCausalLM,2,3.6351,97.0455,7.8294
cuda,MegatronBertForQuestionAnswering,8,2.4787,89.3023,8.4943
cuda,MobileBertForMaskedLM,16,4.5645,115.8402,2.8637
cuda,MobileBertForQuestionAnswering,32,4.0355,118.1610,3.4390
cuda,OPTForCausalLM,0,0.0000
cuda,PLBartForCausalLM,16,1.4383,38.1414,3.2861
cuda,PLBartForConditionalGeneration,8,2.2872,84.3531,4.3890
cuda,PegasusForCausalLM,8,1.7187,34.8726,6.2621
cuda,PegasusForConditionalGeneration,4,2.7999,106.5399,10.3073
cuda,RobertaForCausalLM,4,3.5932,57.9537,2.8622
cuda,RobertaForQuestionAnswering,64,1.4188,19.6238,6.0851
cuda,Speech2Text2ForCausalLM,64,1.9331,49.4850,2.0860
cuda,T5ForConditionalGeneration,4,1.5957,105.8529,7.0580
cuda,T5Small,1,1.5529,75.2725,2.4688
cuda,TrOCRForCausalLM,8,1.7571,45.2904,6.1646
cuda,XGLMForCausalLM,0,0.0000
cuda,XLNetLMHeadModel,0,0.0000
cuda,YituTechConvBert,1,4.7050,96.5837,2.9574
