dev,name,batch_size,accuracy
cuda,adv_inception_v3,2,pass_due_to_skip
cuda,beit_base_patch16_224,2,fail_to_run
cuda,botnet26t_256,2,pass_due_to_skip
cuda,cait_m36_384,2,pass_due_to_skip
cuda,coat_lite_mini,2,fail_to_run
cuda,convit_base,2,fail_to_run
cuda,convmixer_768_32,2,pass_due_to_skip
cuda,convnext_base,2,pass_due_to_skip
cuda,crossvit_9_240,2,fail_to_run
cuda,cspdarknet53,2,pass_due_to_skip
cuda,deit_base_distilled_patch16_224,2,fail_to_run
cuda,densenet121,2,pass_due_to_skip
cuda,dla102,2,fail_to_run
cuda,dm_nfnet_f0,2,pass_due_to_skip
cuda,dpn107,2,fail_to_run
cuda,eca_botnext26ts_256,2,pass_due_to_skip
cuda,eca_halonext26ts,2,pass_due_to_skip
cuda,ese_vovnet19b_dw,2,pass_due_to_skip
cuda,fbnetc_100,2,pass_due_to_skip
cuda,fbnetv3_b,2,pass_due_to_skip
cuda,gernet_l,2,pass_due_to_skip
cuda,ghostnet_100,2,pass_due_to_skip
cuda,gluon_inception_v3,2,pass_due_to_skip
cuda,gluon_xception65,2,pass_due_to_skip
cuda,gmixer_24_224,2,pass
cuda,gmlp_s16_224,2,pass
cuda,hrnet_w18,2,pass_due_to_skip
cuda,inception_v3,2,pass_due_to_skip
cuda,jx_nest_base,2,pass_due_to_skip
cuda,lcnet_050,2,pass_due_to_skip
cuda,mixer_b16_224,2,pass_due_to_skip
cuda,mixnet_l,2,pass_due_to_skip
cuda,mnasnet_100,2,pass_due_to_skip
cuda,mobilenetv2_100,2,pass_due_to_skip
cuda,mobilenetv3_large_100,2,pass_due_to_skip
cuda,mobilevit_s,2,pass_due_to_skip
cuda,nfnet_l0,2,pass_due_to_skip
cuda,pit_b_224,2,pass
cuda,pnasnet5large,2,pass_due_to_skip
cuda,poolformer_m36,2,pass_due_to_skip
cuda,regnety_002,2,pass_due_to_skip
cuda,repvgg_a2,2,pass
cuda,res2net101_26w_4s,2,pass_due_to_skip
cuda,res2net50_14w_8s,2,pass_due_to_skip
cuda,res2next50,2,pass_due_to_skip
cuda,resmlp_12_224,2,pass_due_to_skip
cuda,resnest101e,2,fail_to_run
cuda,resnet18,2,pass
cuda,rexnet_100,2,pass_due_to_skip
cuda,sebotnet33ts_256,2,pass_due_to_skip
cuda,selecsls42b,2,pass_due_to_skip
cuda,spnasnet_100,2,pass_due_to_skip
cuda,swin_base_patch4_window7_224,2,pass_due_to_skip
cuda,swsl_resnext101_32x16d,2,pass_due_to_skip
cuda,tf_efficientnet_b0,2,pass_due_to_skip
cuda,tf_mixnet_l,2,pass_due_to_skip
cuda,tinynet_a,2,pass_due_to_skip
cuda,tnt_s_patch16_224,2,fail_to_run
cuda,twins_pcpvt_base,2,pass_due_to_skip
cuda,visformer_small,2,pass
cuda,vit_base_patch16_224,2,fail_to_run
cuda,volo_d1_224,2,fail_to_run
cuda,xcit_large_24_p8_224,2,fail_to_run
