dev,name,batch_size,speedup,start_latency,peak_memory
cuda,BERT_pytorch,16,2.8272,71.4617,3.1273
cuda,Background_Matting,4,1.2248,66.9055,6.5306
cuda,LearningToPaint,96,1.7093,53.6945,0.9128
cuda,Super_SloMo,0,0.0000
cuda,alexnet,128,1.1393,20.1943,1.9571
cuda,attention_is_all_you_need_pytorch,256,1.3180,131.0931,3.7762
cuda,dcgan,32,2.4256,15.9941,0.0805
cuda,demucs,0,0.0000
cuda,densenet121,4,1.0933,293.8902,0.4339
cuda,dlrm,0,0.0000
cuda,drq,0,0.0000
cuda,fastNLP_Bert,6,1.4221,235.0107,4.5261
cuda,hf_Albert,8,2.3131,60.0048,4.6073
cuda,hf_Bart,4,1.6085,109.3505,6.0812
cuda,hf_Bert,4,1.7299,54.9275,4.3039
cuda,hf_BigBird,2,3.5770,126.9994,6.0610
cuda,hf_DistilBert,0,0.0000
cuda,hf_GPT2,4,1.9385,49.5010,4.9034
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,0,0.0000
cuda,hf_T5,8,1.8502,114.1598,12.4132
cuda,mnasnet1_0,32,2.3583,126.2697,1.1096
cuda,mobilenet_v2,96,1.5632,130.3471,3.9913
cuda,mobilenet_v3_large,32,2.7897,170.1340,1.0891
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,0.8630,8.8525,5.5343
cuda,pytorch_CycleGAN_and_pix2pix,1,2.4621,24.5828,0.4457
cuda,pytorch_stargan,16,1.3091,39.4816,0.8605
cuda,pytorch_struct,200,1.8947,32.1267,1.0051
cuda,pytorch_unet,1,1.3290,44.3726,2.2852
cuda,resnet18,16,2.4963,40.3118,0.6234
cuda,resnet50,32,1.6427,39.4932,2.0811
cuda,resnext50_32x4d,8,3.0827,60.2084,1.0603
cuda,shufflenet_v2_x1_0,128,1.1519,99.8908,1.9522
cuda,soft_actor_critic,0,0.0000
cuda,speech_transformer,0,0.0000
cuda,squeezenet1_1,32,2.2242,22.8466,0.5586
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,0,0.0000
cuda,timm_efficientnet,32,1.4620,99.0082,1.2170
cuda,timm_nfnet,128,1.5115,86.6837,6.9296
cuda,timm_regnet,32,1.2816,87.8921,3.9580
cuda,timm_resnest,0,0.0000
cuda,timm_vision_transformer,0,0.0000
cuda,timm_vovnet,32,0.7009,92.7377,1.8963
cuda,tts_angular,0,0.0000
cuda,vgg16,64,1.2578,19.8590,6.3526
cuda,yolov3,0,0.0000
