dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,1.279870,12.602037,4.547722,1.733540,7.678130,5.601893,1.410290,0.194873,13.141943,18.140099
cuda,Background_Matting,4,0.499112,9.690009,3.256618,1.233405,6.086471,3.942392,1.685153,0.141498,0.000006,4.152277
cuda,LearningToPaint,96,0.272765,3.690770,1.457837,0.530135,1.998499,1.054642,0.633974,0.063764,25.357972,26.468721
cuda,alexnet,128,0.152483,0.972082,0.537032,0.125226,0.745760,0.432540,0.178555,0.014302,9.219065,9.559828
cuda,attention_is_all_you_need_pytorch,256,1.063850,12.423671,4.085451,1.847027,6.952052,4.651921,1.571050,0.239358,36.975031,41.820407
cuda,dcgan,32,0.150422,0.742935,0.300573,0.116699,0.357024,0.174733,0.066426,0.013036,7.381352,7.562517
cuda,densenet121,4,1.220375,28.811630,11.204428,2.982064,17.413206,12.324018,3.528446,0.363665,0.000006,9.460175
cuda,fastNLP_Bert,6,1.357007,10.447073,3.581027,1.558106,6.042608,3.692053,1.770706,0.198596,16.665086,20.804106
cuda,hf_Albert,8,1.049784,8.629461,1.967348,1.352584,3.969909,2.612696,0.987259,0.136791,32.324160,35.774417
cuda,hf_Bart,4,1.331645,13.920592,3.813922,1.864876,7.136926,4.662380,1.605935,0.231774,51.770517,57.109526
cuda,hf_Bert,4,1.258001,10.732857,3.448824,1.874682,4.936739,3.151156,1.241807,0.183580,8.829867,12.309234
cuda,hf_BigBird,2,6.563426,32.531006,13.283360,2.715802,12.783910,8.369557,3.829891,0.339465,22.245761,24.679045
cuda,hf_GPT2,4,1.288456,9.159141,2.999576,1.308386,4.605502,2.991063,1.118319,0.168021,9.388367,12.402002
cuda,hf_T5,8,1.934078,12.856768,3.943905,1.507991,5.860204,3.882206,1.230882,0.214360,41.004929,44.565326
cuda,mnasnet1_0,32,0.447325,9.329226,3.583671,1.261780,4.951308,3.122212,1.213531,0.154376,58.510226,61.232662
cuda,mobilenet_v2,96,0.457070,10.302925,4.433496,1.605571,5.462542,3.284700,1.539457,0.168529,55.547961,58.285670
cuda,mobilenet_v3_large,32,0.559916,10.892869,4.303827,1.621043,6.072624,3.642547,1.684568,0.180773,80.870290,84.368452
cuda,nvidia_deeprecommender,256,0.158134,0.494007,0.172170,0.081766,0.265233,0.124628,0.052439,0.008651,5.488298,5.669938
cuda,pytorch_CycleGAN_and_pix2pix,1,0.274189,4.441337,1.395822,0.583608,2.617153,1.534795,0.705985,0.068050,8.706836,10.558496
cuda,pytorch_stargan,16,0.269419,3.609694,1.082963,0.447418,1.406031,0.937483,0.271537,0.049941,28.788259,29.598280
cuda,pytorch_struct,200,0.192849,1.118150,0.434968,0.148426,0.582107,0.346913,0.109982,0.020273,25.511719,25.819602
cuda,pytorch_unet,1,0.302791,4.235355,1.718143,0.562964,2.581790,1.703440,0.551613,0.063243,17.026034,18.493642
cuda,resnet18,16,0.265846,4.206558,1.869459,0.554693,2.455065,1.585835,0.551720,0.061790,20.152235,21.330184
cuda,resnet50,32,0.507211,9.444427,3.233471,1.196069,4.517698,2.916032,1.085490,0.152123,25.635150,28.218514
cuda,resnext50_32x4d,8,0.503477,8.894345,2.834854,1.121317,4.064459,2.632083,0.943368,0.144610,29.086583,31.536723
cuda,shufflenet_v2_x1_0,128,0.597440,10.994913,4.291626,1.842975,6.392054,4.171700,1.651688,0.181760,0.000006,4.051207
cuda,squeezenet1_1,32,0.244923,2.300325,0.878566,0.235891,1.253975,0.707662,0.352906,0.040608,11.710231,12.337919
cuda,timm_efficientnet,32,1.315317,11.936455,4.340373,1.524873,6.774968,4.432367,1.576086,0.203233,46.960826,51.040920
cuda,timm_nfnet,128,1.535261,16.640852,4.826334,2.415208,7.604286,5.495620,1.416182,0.211759,30.460556,35.850154
cuda,timm_regnet,32,1.687104,13.425949,3.735728,1.788884,5.751890,3.346352,1.776284,0.223508,40.293540,44.250582
cuda,timm_vovnet,32,1.219036,8.514795,3.745746,1.285816,5.715018,3.447361,1.656940,0.122432,0.000005,3.333009
cuda,vgg16,64,0.183710,1.475745,0.678250,0.260098,0.978004,0.594769,0.230479,0.024692,8.729153,9.300385
