dev,name,batch_size,speedup,start_latency,peak_memory
cuda,AlbertForMaskedLM,2,0.7804,7.6245,25.4261
cuda,AlbertForQuestionAnswering,2,0.7826,7.6315,24.9562
cuda,AllenaiLongformerBase,0,0.0000
cuda,BartForCausalLM,2,0.7772,6.8278,10.2543
cuda,BartForConditionalGeneration,1,1.1680,25.8981,13.3443
cuda,BertForMaskedLM,64,0.7287,7.4309,16.5032
cuda,BertForQuestionAnswering,64,0.7364,7.3432,12.2464
cuda,BigBird,0,0.0000
cuda,BlenderbotSmallForCausalLM,64,0.7553,4.6386,13.0065
cuda,BlenderbotSmallForConditionalGeneration,32,0.9406,15.5317,10.0561
cuda,CamemBert,1,1.7994,6.9933,3.0843
cuda,DebertaForMaskedLM,4,0.8682,53.5421,9.7197
cuda,DebertaForQuestionAnswering,4,0.9890,53.6268,7.8994
cuda,DistilBertForMaskedLM,16,1.0373,4.0843,3.5058
cuda,DistilBertForQuestionAnswering,32,0.9102,4.1620,3.8563
cuda,DistillGPT2,1,1.4261,3.4275,2.3869
cuda,ElectraForCausalLM,1,2.0989,6.9264,0.8171
cuda,ElectraForQuestionAnswering,64,0.7321,7.6043,23.8871
cuda,GPT2ForSequenceClassification,0,0.0000
cuda,LayoutLMForMaskedLM,16,0.7310,8.3144,23.3185
cuda,LayoutLMForSequenceClassification,16,0.7383,8.4806,19.0934
cuda,M2M100ForConditionalGeneration,2,1.8580,24.8114,8.1970
cuda,MBartForCausalLM,16,0.8558,6.7777,8.1494
cuda,MBartForConditionalGeneration,8,1.3244,25.9282,10.1800
cuda,MT5ForConditionalGeneration,2,2.0353,43.0328,5.2840
cuda,MegatronBertForCausalLM,2,2.0760,15.4647,5.8059
cuda,MegatronBertForQuestionAnswering,8,1.7376,15.6187,8.0426
cuda,MobileBertForMaskedLM,16,2.0225,43.6910,4.1445
cuda,MobileBertForQuestionAnswering,32,1.8048,43.8727,5.4991
cuda,OPTForCausalLM,4,1.6996,8.6944,3.1312
cuda,PLBartForCausalLM,16,0.9712,3.4321,4.3486
cuda,PLBartForConditionalGeneration,8,1.4187,11.8681,4.6259
cuda,PegasusForCausalLM,8,1.0926,7.2326,5.3130
cuda,PegasusForConditionalGeneration,4,1.6224,27.0277,7.8413
cuda,RobertaForCausalLM,4,2.0852,7.2971,2.6135
cuda,RobertaForQuestionAnswering,64,0.7365,7.4894,12.2469
cuda,Speech2Text2ForCausalLM,64,0.9767,4.0104,3.4361
cuda,T5ForConditionalGeneration,4,0.8177,27.3246,23.8521
cuda,T5Small,1,1.2003,27.2474,6.7983
cuda,TrOCRForCausalLM,8,1.1367,6.4688,5.5553
cuda,XGLMForCausalLM,1,1.7038,16.1096,9.1189
cuda,XLNetLMHeadModel,4,0.8002,30.8516,19.8166
cuda,YituTechConvBert,1,2.1637,12.1910,2.8718
