dev,name,batch_size,speedup,start_latency,peak_memory
cuda,adv_inception_v3,128,0.8676,10.6326,21.6026
cuda,beit_base_patch16_224,0,0.0000
cuda,botnet26t_256,128,0.8157,8.9824,18.6865
cuda,cait_m36_384,2,0.9675,28.9052,16.6896
cuda,coat_lite_mini,128,0.8465,7.3051,18.3951
cuda,convmixer_768_32,32,0.9266,7.7091,19.9868
cuda,convnext_base,32,0.7756,9.0693,12.5198
cuda,crossvit_9_240,64,0.8417,8.9429,6.6339
cuda,cspdarknet53,64,0.7101,17.0861,16.9986
cuda,deit_base_distilled_patch16_224,64,0.7982,5.2675,16.3727
cuda,densenet121,64,0.9532,45.7795,14.8023
cuda,dla102,64,0.8489,11.3309,14.4369
cuda,dm_nfnet_f0,128,0.8737,9.6997,20.7622
cuda,dpn107,32,0.6803,38.8282,16.9493
cuda,eca_botnext26ts_256,64,0.6631,9.0583,15.8154
cuda,eca_halonext26ts,64,0.6705,9.5142,15.8965
cuda,ese_vovnet19b_dw,128,0.7533,6.0052,15.7844
cuda,fbnetc_100,128,0.7484,15.2731,10.9750
cuda,fbnetv3_b,128,0.7050,25.6257,18.0559
cuda,gernet_l,128,0.7215,13.9030,12.8578
cuda,ghostnet_100,128,0.8897,10.4452,8.3440
cuda,gluon_inception_v3,128,0.8659,11.0120,21.6009
cuda,gluon_xception65,32,0.7870,12.8941,21.4119
cuda,gmixer_24_224,64,0.6926,9.5633,13.3406
cuda,gmlp_s16_224,64,0.7757,8.4932,14.1443
cuda,hrnet_w18,2,2.4218,45.6151,0.6830
cuda,inception_v3,128,0.8666,10.8158,21.6009
cuda,jx_nest_base,32,0.7828,12.8109,18.5235
cuda,lcnet_050,128,0.7626,5.7298,3.5056
cuda,mixer_b16_224,64,0.7911,3.9556,12.4413
cuda,mixnet_l,64,0.7229,25.4599,14.2711
cuda,mnasnet_100,128,0.7578,11.5796,9.1330
cuda,mobilenetv2_100,128,0.7099,11.1458,16.8303
cuda,mobilenetv3_large_100,128,0.7506,11.5615,9.2548
cuda,mobilevit_s,32,0.7093,13.9242,12.0151
cuda,nfnet_l0,64,0.7531,9.6100,11.8102
cuda,pit_b_224,64,0.8302,6.3506,23.0080
cuda,pnasnet5large,16,0.8186,35.3951,28.6251
cuda,poolformer_m36,64,0.8072,12.0691,24.5113
cuda,regnety_002,128,0.9756,11.8319,4.0586
cuda,repvgg_a2,128,0.7479,12.8864,8.5033
cuda,res2net101_26w_4s,64,0.8619,22.4842,17.5362
cuda,res2net50_14w_8s,2,2.4202,19.4699,0.7199
cuda,res2next50,2,2.1638,9.8867,0.7258
cuda,resmlp_12_224,128,0.7661,3.8021,14.5197
cuda,resnest101e,32,1.0195,21.6056,13.8795
cuda,resnet18,128,0.8706,2.3768,5.2824
cuda,rexnet_100,128,0.7070,14.6024,21.5290
cuda,sebotnet33ts_256,64,0.6726,11.9867,19.0230
cuda,selecsls42b,128,0.8686,4.6247,9.5115
cuda,spnasnet_100,128,0.7298,14.6426,10.0309
cuda,swin_base_patch4_window7_224,0,0.0000
cuda,swsl_resnext101_32x16d,32,0.8355,11.5183,22.2421
cuda,tf_efficientnet_b0,128,0.6662,14.4056,22.4022
cuda,tf_mixnet_l,64,0.7251,26.0190,14.8028
cuda,tinynet_a,128,0.6296,17.3666,17.8961
cuda,tnt_s_patch16_224,64,0.8682,14.7088,16.2015
cuda,twins_pcpvt_base,32,1.1988,18.6897,9.8469
cuda,visformer_small,128,0.8456,5.5119,16.9991
cuda,vit_base_patch16_224,64,0.8428,5.5045,16.2449
cuda,volo_d1_224,64,0.8558,10.8586,16.4815
