dev,name,batch_size,speedup,start_latency,peak_memory
cuda,adv_inception_v3,128,1.1255,64.2402,15.0935
cuda,beit_base_patch16_224,64,0.9559,13.8214,12.7420
cuda,botnet26t_256,128,1.1938,39.4578,15.5488
cuda,cait_m36_384,2,0.9806,43.0561,11.6675
cuda,coat_lite_mini,128,1.0709,14.5867,15.1247
cuda,convit_base,32,1.1311,20.2910,7.7514
cuda,convmixer_768_32,32,1.0613,12.2013,13.8100
cuda,convnext_base,32,1.0443,20.5912,10.9148
cuda,crossvit_9_240,64,1.0370,24.5854,5.1630
cuda,cspdarknet53,64,1.0556,45.5752,12.1414
cuda,deit_base_distilled_patch16_224,64,1.0205,9.9298,12.2749
cuda,densenet121,64,1.1663,107.9318,8.9887
cuda,dla102,64,1.2850,58.9935,9.7828
cuda,dm_nfnet_f0,128,1.2107,29.2718,14.3151
cuda,dpn107,32,0.9397,71.6444,12.4421
cuda,eca_botnext26ts_256,64,0.9763,46.9115,10.4830
cuda,eca_halonext26ts,64,0.9774,49.2704,10.4881
cuda,ese_vovnet19b_dw,128,1.0829,30.2842,10.4770
cuda,fbnetc_100,128,1.0433,43.2852,9.4188
cuda,fbnetv3_b,128,0.9650,73.9844,14.1172
cuda,gernet_l,128,1.0258,34.2845,10.5690
cuda,ghostnet_100,128,1.2454,55.6629,5.7410
cuda,gluon_inception_v3,128,1.1248,64.3358,15.0935
cuda,gluon_xception65,32,1.0410,38.1110,15.4068
cuda,gmixer_24_224,64,0.9963,15.3639,7.9439
cuda,gmlp_s16_224,64,0.9996,12.3453,9.6018
cuda,hrnet_w18,2,1.4935,188.8164,0.5515
cuda,inception_v3,128,1.1249,64.4098,15.0935
cuda,jx_nest_base,32,1.1539,62.4321,14.6777
cuda,lcnet_050,128,1.2870,29.8785,2.9118
cuda,mixer_b16_224,64,0.9868,10.2273,9.6108
cuda,mixnet_l,64,0.9266,60.2101,9.6022
cuda,mnasnet_100,128,1.0416,36.0354,7.1097
cuda,mobilenetv2_100,128,0.9202,36.1346,13.4145
cuda,mobilenetv3_large_100,128,1.0435,62.2047,6.7127
cuda,mobilevit_s,32,0.8779,38.8582,8.3167
cuda,nfnet_l0,64,1.0501,25.8714,7.6281
cuda,pit_b_224,64,1.0615,12.0672,18.9305
cuda,pnasnet5large,16,1.0847,119.5443,15.3883
cuda,poolformer_m36,0,0.0000
cuda,regnety_002,128,1.3543,44.7316,3.4442
cuda,repvgg_a2,128,1.0028,41.8331,8.2510
cuda,res2net101_26w_4s,64,1.1757,75.5504,12.5049
cuda,res2net50_14w_8s,2,1.4730,63.9851,0.5845
cuda,res2next50,2,1.3935,39.0100,0.5855
cuda,resmlp_12_224,0,0.0000
cuda,resnest101e,32,1.1797,71.1934,9.3379
cuda,resnet18,128,1.1734,24.2234,4.7856
cuda,rexnet_100,128,0.9493,101.4734,13.8562
cuda,sebotnet33ts_256,64,1.0101,49.7053,15.2110
cuda,selecsls42b,128,1.2055,37.3836,7.0073
cuda,spnasnet_100,128,0.9875,41.2722,7.6986
cuda,swin_base_patch4_window7_224,64,1.0041,57.3381,18.6682
cuda,swsl_resnext101_32x16d,32,1.1062,36.2066,17.1959
cuda,tf_efficientnet_b0,128,0.9280,58.8059,13.9207
cuda,tf_mixnet_l,64,0.9312,59.5861,9.7556
cuda,tinynet_a,128,0.8832,59.6119,11.9040
cuda,tnt_s_patch16_224,64,1.5599,23.0794,11.2998
cuda,twins_pcpvt_base,32,1.2368,41.4626,7.2512
cuda,visformer_small,128,1.0186,23.6720,11.6958
cuda,vit_base_patch16_224,64,0.9797,8.8205,12.2051
cuda,volo_d1_224,64,1.1399,26.8040,12.9069
cuda,xcit_large_24_p8_224,0,0.0000
