dev,name,batch_size,speedup,start_latency,peak_memory
cuda,adv_inception_v3,128,1.5212,162.1662,8.4120
cuda,beit_base_patch16_224,0,0.0000
cuda,botnet26t_256,128,1.3291,134.1982,7.9659
cuda,cait_m36_384,2,1.9952,152.2376,9.3920
cuda,coat_lite_mini,0,0.0000
cuda,convit_base,0,0.0000
cuda,convmixer_768_32,32,1.0521,29.0542,7.0971
cuda,convnext_base,32,0.7921,248.2423,5.6177
cuda,crossvit_9_240,0,0.0000
cuda,cspdarknet53,64,1.1459,107.1474,6.6693
cuda,deit_base_distilled_patch16_224,0,0.0000
cuda,densenet121,64,1.8230,302.5497,6.7798
cuda,dla102,0,0.0000
cuda,dm_nfnet_f0,128,1.5089,26.3261,6.9298
cuda,dpn107,0,0.0000
cuda,eca_botnext26ts_256,64,1.2046,140.8775,3.9531
cuda,eca_halonext26ts,64,1.2074,80.2720,3.9813
cuda,ese_vovnet19b_dw,128,1.2174,83.0859,5.6092
cuda,fbnetc_100,128,1.0953,126.9491,4.4620
cuda,fbnetv3_b,128,1.0616,152.1827,6.0299
cuda,gernet_l,128,0.9487,54.7979,5.3722
cuda,ghostnet_100,128,1.5923,192.5758,2.9488
cuda,gluon_inception_v3,128,1.5204,32.8662,8.4120
cuda,gluon_xception65,32,1.1121,91.5007,8.2131
cuda,gmixer_24_224,64,1.2969,160.8503,3.7143
cuda,gmlp_s16_224,64,1.4004,103.5224,5.9955
cuda,hrnet_w18,2,4.3352,218.3814,0.6242
cuda,inception_v3,128,1.5203,32.1721,8.4120
cuda,jx_nest_base,32,1.4883,202.6444,7.4453
cuda,lcnet_050,128,1.6187,43.4524,1.5461
cuda,mixer_b16_224,64,1.1589,90.3524,5.5919
cuda,mixnet_l,64,1.0130,200.9038,4.5093
cuda,mnasnet_100,128,1.1840,62.3335,3.7289
cuda,mobilenetv2_100,128,1.1783,42.9383,5.3043
cuda,mobilenetv3_large_100,128,1.1997,58.7273,3.5540
cuda,mobilevit_s,32,1.1038,287.2934,2.8849
cuda,nfnet_l0,64,1.6224,77.9638,2.8480
cuda,pit_b_224,64,1.3865,92.3631,9.3018
cuda,pnasnet5large,16,1.2330,231.9470,8.9183
cuda,poolformer_m36,64,1.3156,125.1628,9.7515
cuda,regnety_002,128,1.9981,86.1834,1.8108
cuda,repvgg_a2,128,0.9547,33.8886,3.9281
cuda,res2net101_26w_4s,64,1.1662,158.1899,6.6912
cuda,res2net50_14w_8s,2,1.0818,160.5972,0.5991
cuda,res2next50,2,1.0778,73.8093,0.5921
cuda,resmlp_12_224,128,1.4232,72.8439,4.4117
cuda,resnest101e,0,0.0000
cuda,resnet18,128,1.4048,26.2456,2.6120
cuda,rexnet_100,128,1.2164,266.2872,5.4250
cuda,sebotnet33ts_256,64,1.2916,77.4902,6.7784
cuda,selecsls42b,128,1.3926,82.0341,3.6223
cuda,spnasnet_100,128,1.0815,24.9729,4.0290
cuda,swin_base_patch4_window7_224,64,1.4936,347.3581,11.2061
cuda,swsl_resnext101_32x16d,32,1.1217,43.4915,10.9594
cuda,tf_efficientnet_b0,128,1.1864,83.3707,5.1352
cuda,tf_mixnet_l,64,1.0606,70.4725,4.5859
cuda,tinynet_a,128,1.0456,120.6133,3.6469
cuda,tnt_s_patch16_224,0,0.0000
cuda,twins_pcpvt_base,32,1.0606,322.8521,4.4443
cuda,visformer_small,128,1.2304,98.1408,7.0007
cuda,vit_base_patch16_224,0,0.0000
cuda,volo_d1_224,0,0.0000
cuda,xcit_large_24_p8_224,0,0.0000
