dev,name,batch_size,speedup,start_latency,peak_memory
cuda,adv_inception_v3,128,0.9970,6.9799,8.0254
cuda,beit_base_patch16_224,64,0.9793,4.8407,5.7453
cuda,botnet26t_256,128,0.9541,3.8191,6.8690
cuda,cait_m36_384,2,0.8611,17.3013,6.0227
cuda,coat_lite_mini,128,0.9980,5.1938,6.7837
cuda,convmixer_768_32,32,1.0000,5.3340,6.9032
cuda,convnext_base,32,1.0112,6.1565,4.5369
cuda,crossvit_9_240,64,0.9835,6.4748,2.1563
cuda,cspdarknet53,64,0.8477,5.7764,6.3222
cuda,deit_base_distilled_patch16_224,64,0.9980,4.0054,5.3458
cuda,densenet121,64,0.9401,11.1910,4.3593
cuda,dla102,64,0.9999,7.5048,5.2106
cuda,dm_nfnet_f0,128,0.9971,6.8181,7.8903
cuda,dpn107,32,0.8195,11.7271,6.0664
cuda,eca_botnext26ts_256,64,0.7870,4.2876,5.2971
cuda,eca_halonext26ts,64,0.7933,4.6387,5.3276
cuda,ese_vovnet19b_dw,128,0.9122,2.8165,5.8757
cuda,fbnetc_100,128,0.8532,5.2098,4.1258
cuda,fbnetv3_b,128,0.8179,8.5725,7.0987
cuda,gernet_l,128,0.8588,4.9638,4.8946
cuda,ghostnet_100,128,0.9953,7.3923,3.0858
cuda,gluon_inception_v3,128,0.9982,6.8525,8.0254
cuda,gluon_xception65,32,0.9988,8.1569,7.8165
cuda,gmixer_24_224,64,0.8761,6.1776,4.1010
cuda,gmlp_s16_224,64,0.9924,5.3708,4.7914
cuda,hrnet_w18,2,1.0458,25.6391,0.2817
cuda,inception_v3,128,0.9982,6.8735,8.0254
cuda,jx_nest_base,32,0.9667,8.6844,5.8307
cuda,lcnet_050,128,0.8664,2.4592,1.4526
cuda,mixer_b16_224,64,0.9991,2.7700,4.3726
cuda,mixnet_l,64,0.8256,11.8941,4.5081
cuda,mnasnet_100,128,0.8661,4.1672,3.3798
cuda,mobilenetv2_100,128,0.8629,4.0867,6.7308
cuda,mobilenetv3_large_100,128,0.8673,4.3617,3.4917
cuda,mobilevit_s,32,0.7642,5.8637,4.0299
cuda,nfnet_l0,64,0.8401,6.6027,3.7673
cuda,pit_b_224,64,0.9985,4.4769,7.6023
cuda,pnasnet5large,16,1.0187,20.6990,9.9390
cuda,poolformer_m36,64,0.9842,7.8145,8.6310
cuda,regnety_002,128,0.9633,4.8037,1.6173
cuda,repvgg_a2,128,0.8399,4.4854,3.4795
cuda,res2net101_26w_4s,64,1.0424,13.5602,6.0420
cuda,res2net50_14w_8s,2,1.0046,11.6790,0.2955
cuda,res2next50,2,1.0246,6.4179,0.2952
cuda,resmlp_12_224,128,1.0016,2.6620,3.7653
cuda,resnest101e,32,1.0379,13.4333,4.7580
cuda,resnet18,128,0.9975,1.5321,2.1488
cuda,rexnet_100,128,0.8439,5.7912,7.6734
cuda,sebotnet33ts_256,64,0.8058,5.2424,7.3387
cuda,selecsls42b,128,0.9965,3.1174,3.5343
cuda,spnasnet_100,128,0.8320,5.1004,3.6743
cuda,swin_base_patch4_window7_224,64,0.9595,12.4687,8.3575
cuda,swsl_resnext101_32x16d,32,0.9934,7.2946,8.3398
cuda,tf_efficientnet_b0,128,0.7826,5.8256,7.6037
cuda,tf_mixnet_l,64,0.8298,12.2296,4.8965
cuda,tinynet_a,128,0.7456,6.7624,6.1469
cuda,tnt_s_patch16_224,64,0.9975,9.4283,5.0044
cuda,twins_pcpvt_base,32,0.9420,11.9506,3.3968
cuda,visformer_small,128,0.9983,3.7564,5.9272
cuda,vit_base_patch16_224,64,0.9979,4.0865,5.3104
cuda,volo_d1_224,64,0.9967,7.2216,5.2195
