dev,name,batch_size,speedup,start_latency,peak_memory
cuda,adv_inception_v3,128,0.9998,1.5830,7.0180
cuda,beit_base_patch16_224,64,0.9995,1.4243,5.5270
cuda,botnet26t_256,128,0.9555,1.4681,5.9672
cuda,cait_m36_384,2,1.0034,3.0006,5.4301
cuda,coat_lite_mini,128,0.9997,1.3931,5.9723
cuda,convmixer_768_32,32,0.9999,1.7198,6.7852
cuda,convnext_base,32,0.9978,1.3460,4.1596
cuda,crossvit_9_240,64,1.0054,1.3888,1.8941
cuda,cspdarknet53,64,0.8527,2.1599,5.3415
cuda,deit_base_distilled_patch16_224,64,0.9991,1.0592,5.0892
cuda,densenet121,64,0.9925,3.2004,4.3533
cuda,dla102,64,0.9994,1.5156,5.0779
cuda,dm_nfnet_f0,128,0.9999,2.1260,7.2838
cuda,dpn107,32,0.8281,3.7190,5.6204
cuda,eca_botnext26ts_256,64,0.9229,1.4380,4.0970
cuda,eca_halonext26ts,64,0.9247,1.4614,4.1300
cuda,ese_vovnet19b_dw,128,0.9155,1.1033,5.0862
cuda,fbnetc_100,128,0.8548,1.9428,3.5631
cuda,fbnetv3_b,128,0.8223,2.9507,5.6040
cuda,gernet_l,128,0.8614,1.8737,4.2311
cuda,ghostnet_100,128,0.9980,1.9966,2.7463
cuda,gluon_inception_v3,128,0.9997,1.6024,7.0180
cuda,gluon_xception65,32,0.9986,1.6070,6.9382
cuda,gmixer_24_224,64,0.9987,1.3061,3.9495
cuda,gmlp_s16_224,64,0.9994,1.2371,4.6339
cuda,hrnet_w18,2,1.0012,4.7195,0.2523
cuda,inception_v3,128,0.9995,1.6100,7.0180
cuda,jx_nest_base,32,0.9989,1.9769,5.2496
cuda,lcnet_050,128,0.8729,1.0338,1.1241
cuda,mixer_b16_224,64,0.9993,0.8624,4.1853
cuda,mixnet_l,64,0.8793,5.3871,3.8348
cuda,mnasnet_100,128,0.8717,1.5769,2.9949
cuda,mobilenetv2_100,128,0.8676,1.5499,5.1646
cuda,mobilenetv3_large_100,128,0.8694,1.4949,2.9923
cuda,mobilevit_s,32,0.9001,1.5729,3.1085
cuda,nfnet_l0,64,1.0072,1.6763,3.0917
cuda,pit_b_224,64,0.9989,1.2860,6.0745
cuda,pnasnet5large,16,1.0057,4.0230,9.4304
cuda,poolformer_m36,64,0.9994,1.8989,8.1371
cuda,regnety_002,128,0.9780,1.4180,1.3185
cuda,repvgg_a2,128,0.8428,1.9023,2.7261
cuda,res2net101_26w_4s,64,1.0010,2.3918,5.6152
cuda,res2net50_14w_8s,2,0.9998,1.9913,0.2658
cuda,res2next50,2,1.0010,1.1975,0.2663
cuda,resmlp_12_224,128,0.9996,0.8258,3.6145
cuda,resnest101e,32,1.0020,2.5677,4.2533
cuda,resnet18,128,0.9990,0.5654,1.6939
cuda,rexnet_100,128,0.9368,1.8680,6.0559
cuda,sebotnet33ts_256,64,0.9193,1.6105,5.2638
cuda,selecsls42b,128,0.9994,0.8177,3.2311
cuda,spnasnet_100,128,0.8385,1.8501,3.2904
cuda,swin_base_patch4_window7_224,64,0.9992,2.8484,7.8230
cuda,swsl_resnext101_32x16d,32,0.9989,1.5571,7.4363
cuda,tf_efficientnet_b0,128,0.9028,1.8242,5.8812
cuda,tf_mixnet_l,64,0.8829,5.6103,4.2224
cuda,tinynet_a,128,0.8519,1.9636,4.8646
cuda,tnt_s_patch16_224,64,0.9990,2.0105,4.8527
cuda,twins_pcpvt_base,32,1.0047,2.2577,3.0949
cuda,visformer_small,128,0.9996,1.0483,5.5408
cuda,vit_base_patch16_224,64,0.9998,1.1092,5.0549
cuda,volo_d1_224,64,0.9990,1.5632,4.8749
