dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,1.209519,10.788056,3.861202,1.521646,5.830729,4.088329,1.130135,0.183326,0.388082,4.247107
cuda,Background_Matting,4,0.500824,8.988383,3.341158,1.172303,5.821139,3.798617,1.600114,0.125541,0.000008,3.936393
cuda,LearningToPaint,96,0.266857,3.348838,1.181712,0.502324,1.665045,0.972940,0.414867,0.057329,0.269707,1.292752
cuda,Super_SloMo,6,0.610858,9.735877,4.772694,1.387786,5.128662,3.413539,1.296428,0.081029,0.398667,2.220037
cuda,alexnet,128,0.145272,0.840520,0.469411,0.102409,0.641669,0.368948,0.161855,0.012315,0.124892,0.405345
cuda,attention_is_all_you_need_pytorch,256,0.953892,11.133096,3.631794,1.666552,5.907579,3.500532,1.709198,0.212521,0.419031,4.486084
cuda,dcgan,32,0.144426,0.685220,0.257340,0.104496,0.306974,0.149804,0.058545,0.011415,0.105485,0.266899
cuda,densenet121,4,1.225124,28.290706,10.829988,2.859977,16.799602,11.350566,3.956597,0.327732,0.000006,9.084489
cuda,dlrm,2048,0.413145,0.784717,0.391256,0.293225,0.560806,0.361236,0.093727,0.013781,0.123799,0.593979
cuda,fastNLP_Bert,6,1.263657,9.258823,3.284167,1.394516,5.199727,3.444106,1.212775,0.178000,0.458649,3.875416
cuda,functorch_dp_cifar10,64,0.260377,4.274300,1.515706,0.724433,2.637810,1.780375,0.563391,0.043870,30.153347,32.051118
cuda,hf_Albert,8,0.980370,7.409331,1.958532,1.191114,3.634763,2.221223,0.862991,0.118557,1.130098,4.085861
cuda,hf_Bart,4,1.806841,11.178389,3.151212,1.730798,5.728629,3.610473,1.429645,0.229878,2.790389,7.239934
cuda,hf_Bert,4,1.144210,9.289542,2.877883,1.399896,4.611777,3.014001,1.074535,0.174181,0.989771,4.238379
cuda,hf_DistilBert,8,0.463246,4.930688,1.683746,0.817463,2.803134,1.824705,0.666596,0.092659,0.354329,2.348060
cuda,hf_GPT2,4,1.175840,8.609863,3.185797,1.282135,4.779080,3.139833,1.098192,0.157779,0.976711,3.946124
cuda,lennard_jones,1000,0.145317,0.310142,0.101323,0.049626,0.128512,0.040591,0.023412,0.005778,2.631797,2.713305
cuda,mnasnet1_0,32,0.448179,9.065499,3.418538,1.198585,4.652049,2.928698,1.149679,0.138645,0.438149,2.960414
cuda,mobilenet_v2,96,0.453106,9.844010,4.074490,1.337598,5.207040,3.347137,1.265902,0.150750,0.474900,3.041351
cuda,mobilenet_v3_large,32,0.504405,9.720676,3.725588,1.296536,5.210755,3.066808,1.249664,0.155861,0.509912,3.389502
cuda,nvidia_deeprecommender,256,0.157637,0.401163,0.132188,0.072492,0.205927,0.091527,0.037531,0.007853,0.101887,0.254263
cuda,pytorch_CycleGAN_and_pix2pix,1,0.264420,4.219075,1.302589,0.533165,2.440443,1.571910,0.659487,0.058003,0.230179,1.945780
cuda,pytorch_stargan,16,0.268226,3.348922,0.872003,0.426611,1.150001,0.724689,0.249830,0.044528,0.200009,0.941652
cuda,pytorch_struct,200,0.183113,0.857929,0.257475,0.129931,0.344750,0.150677,0.077213,0.017878,0.119729,0.347278
cuda,pytorch_unet,1,0.286653,3.959021,1.629164,0.523689,2.402437,1.596171,0.510135,0.056218,0.246251,1.581800
cuda,resnet18,16,0.262311,3.888165,1.723989,0.516483,2.264954,1.462534,0.522613,0.055451,0.238964,1.333219
cuda,resnet50,32,0.506135,9.026488,3.023295,1.147753,4.193971,2.695558,1.022930,0.133055,0.441342,2.853707
cuda,resnext50_32x4d,8,0.500143,8.532641,2.607271,1.054057,3.705590,2.391264,0.870684,0.126781,0.399358,2.644717
cuda,shufflenet_v2_x1_0,128,0.572469,10.551976,4.133924,1.794759,6.123429,4.002485,1.594385,0.160647,0.000006,3.887711
cuda,squeezenet1_1,32,0.224296,1.911897,0.729421,0.179346,1.009742,0.559971,0.290567,0.030751,0.164275,0.638074
cuda,timm_efficientnet,32,1.290270,11.272006,4.308470,1.657711,5.857324,3.454212,1.697979,0.175302,0.853677,4.170744
cuda,timm_nfnet,128,1.484350,16.649757,4.890906,2.370984,7.435446,5.059285,1.711021,0.204352,0.699595,5.810701
cuda,timm_regnet,32,1.671071,12.567979,3.445858,1.705471,4.708018,2.965881,1.190202,0.189047,0.656677,3.765888
cuda,timm_resnest,32,0.361627,5.631491,2.695541,0.794152,4.355193,2.772224,1.113709,0.080180,0.344433,2.845344
cuda,timm_vision_transformer,8,0.597785,6.797860,2.109376,1.415431,3.641336,2.314894,0.971852,0.129359,0.000005,3.032786
cuda,timm_vovnet,32,1.204677,7.807284,3.275927,1.197832,5.117356,3.210916,1.343679,0.107813,0.000005,3.113909
cuda,vgg16,64,0.173868,1.271613,0.592662,0.146996,0.910899,0.593811,0.193859,0.018678,0.179667,0.655068
