dev,name,batch_size,speedup,start_latency,peak_memory
cuda,AlbertForMaskedLM,2,1.1489,9.6067,6.8952
cuda,AlbertForQuestionAnswering,2,1.1478,8.2897,6.8235
cuda,AllenaiLongformerBase,1,0.9859,7.9814,4.2288
cuda,BartForCausalLM,2,1.0206,6.5478,6.5545
cuda,BartForConditionalGeneration,1,1.0760,11.1591,7.4064
cuda,BertForMaskedLM,64,1.0878,8.0292,12.4813
cuda,BertForQuestionAnswering,64,1.1136,6.9964,4.2312
cuda,BigBird,0,0.0000
cuda,BlenderbotSmallForCausalLM,64,1.0579,6.1333,20.2860
cuda,BlenderbotSmallForConditionalGeneration,32,1.0783,10.6479,12.4337
cuda,CamemBert,1,1.2241,8.1827,1.2608
cuda,DebertaForMaskedLM,0,0.0000
cuda,DebertaForQuestionAnswering,0,0.0000
cuda,DistilBertForMaskedLM,16,1.1088,7.4878,3.2933
cuda,DistilBertForQuestionAnswering,32,1.1225,8.2241,1.2763
cuda,DistillGPT2,1,1.3428,7.3170,1.6218
cuda,ElectraForCausalLM,1,1.2016,7.9224,0.8174
cuda,ElectraForQuestionAnswering,64,1.3604,7.1192,9.2955
cuda,GPT2ForSequenceClassification,4,1.4831,9.3019,7.5742
cuda,LayoutLMForMaskedLM,16,1.1840,8.6571,12.4952
cuda,LayoutLMForSequenceClassification,16,1.2263,7.5740,7.4318
cuda,M2M100ForConditionalGeneration,2,1.2714,12.1722,3.8828
cuda,MBartForCausalLM,16,1.1147,8.2289,6.1707
cuda,MBartForConditionalGeneration,8,1.0733,14.8953,5.3969
cuda,MT5ForConditionalGeneration,0,0.0000
cuda,MegatronBertForCausalLM,2,1.2571,11.1297,2.6927
cuda,MegatronBertForQuestionAnswering,8,1.2355,10.8407,2.6692
cuda,MobileBertForMaskedLM,16,1.0802,20.1013,3.1589
cuda,MobileBertForQuestionAnswering,32,1.0836,19.0783,1.5810
cuda,OPTForCausalLM,4,1.1582,4.8682,1.8036
cuda,PLBartForCausalLM,16,1.1244,5.7222,5.4080
cuda,PLBartForConditionalGeneration,8,1.0852,8.2830,3.6937
cuda,PegasusForCausalLM,8,1.1183,7.4284,4.2160
cuda,PegasusForConditionalGeneration,4,1.0703,12.0550,3.5151
cuda,RobertaForCausalLM,4,1.2460,7.7213,1.2178
cuda,RobertaForQuestionAnswering,64,1.1122,7.1535,4.2313
cuda,Speech2Text2ForCausalLM,64,1.0594,4.7254,4.6487
cuda,T5ForConditionalGeneration,0,0.0000
cuda,T5Small,0,0.0000
cuda,TrOCRForCausalLM,8,1.1110,6.4922,3.4970
cuda,XGLMForCausalLM,1,1.1606,10.3955,4.6232
cuda,XLNetLMHeadModel,4,1.1366,10.7222,7.0918
cuda,YituTechConvBert,1,1.1725,8.6742,1.1990
