dev,name,batch_size,speedup,start_latency,peak_memory
cuda,adv_inception_v3,128,1.3588,53.1140,7.0145
cuda,beit_base_patch16_224,64,0.8223,13.7136,8.0133
cuda,botnet26t_256,128,1.3917,31.8733,6.1392
cuda,cait_m36_384,2,1.0773,30.5020,5.6203
cuda,coat_lite_mini,128,1.0844,14.6181,6.8623
cuda,convmixer_768_32,32,1.0959,6.2667,6.7852
cuda,convnext_base,32,0.9548,19.9396,4.7524
cuda,crossvit_9_240,64,0.9177,29.0584,3.1631
cuda,cspdarknet53,64,1.1401,37.3193,7.1115
cuda,deit_base_distilled_patch16_224,64,0.9670,12.2376,7.6292
cuda,densenet121,64,1.2106,101.7416,4.7707
cuda,dla102,64,1.6162,30.0012,4.9998
cuda,dm_nfnet_f0,128,1.0999,12.6633,7.2838
cuda,dpn107,32,0.9776,64.0091,5.6235
cuda,eca_botnext26ts_256,64,1.2905,44.7460,4.1997
cuda,eca_halonext26ts,64,1.2776,45.1460,4.2192
cuda,ese_vovnet19b_dw,128,1.2791,24.3594,5.0857
cuda,fbnetc_100,128,1.2932,34.8303,3.5816
cuda,fbnetv3_b,128,0.8551,10.3924,5.6018
cuda,gernet_l,128,1.1089,26.1529,4.2731
cuda,ghostnet_100,128,1.4373,38.5368,2.7565
cuda,gluon_inception_v3,128,1.3535,53.6476,7.0145
cuda,gluon_xception65,32,1.1608,28.2119,6.9433
cuda,gmixer_24_224,64,1.1048,26.9069,4.3996
cuda,gmlp_s16_224,64,0.9970,17.2382,5.3132
cuda,hrnet_w18,2,1.1896,45.3277,0.2523
cuda,inception_v3,128,1.3545,52.8877,7.0145
cuda,jx_nest_base,32,1.0671,27.8147,8.8532
cuda,lcnet_050,128,0.8814,1.5811,1.1224
cuda,mixer_b16_224,64,0.9495,16.4154,5.0024
cuda,mixnet_l,64,0.9555,41.6327,3.8440
cuda,mnasnet_100,128,1.2855,29.8196,3.0077
cuda,mobilenetv2_100,128,0.8965,6.9571,5.1592
cuda,mobilenetv3_large_100,128,1.1473,21.9640,2.9856
cuda,mobilevit_s,32,1.0620,44.3594,3.5600
cuda,nfnet_l0,64,1.2085,15.8737,3.0887
cuda,pit_b_224,64,0.9061,17.3158,11.4148
cuda,pnasnet5large,16,1.1449,49.2228,9.4103
cuda,poolformer_m36,64,1.0264,22.5498,9.2361
cuda,regnety_002,128,1.3384,35.9652,1.3175
cuda,repvgg_a2,128,1.0040,36.8517,2.7324
cuda,res2net101_26w_4s,64,1.2094,31.4726,5.6217
cuda,res2net50_14w_8s,2,1.1977,20.8097,0.2658
cuda,res2next50,2,1.1827,18.2127,0.2663
cuda,resmlp_12_224,128,1.3777,11.3308,4.1847
cuda,resnest101e,32,1.1890,36.4202,4.2617
cuda,resnet18,128,1.4892,16.9236,1.6921
cuda,rexnet_100,128,1.1234,87.7738,6.0783
cuda,sebotnet33ts_256,64,1.2149,47.4091,5.8010
cuda,selecsls42b,128,1.6297,30.6870,3.2326
cuda,spnasnet_100,128,1.1980,33.7296,3.3001
cuda,swin_base_patch4_window7_224,64,1.0299,53.8645,10.2042
cuda,swsl_resnext101_32x16d,32,1.2492,23.1477,7.4789
cuda,tf_efficientnet_b0,128,1.2216,54.8118,5.9116
cuda,tf_mixnet_l,64,0.9590,41.7256,4.2313
cuda,tinynet_a,128,1.1457,56.3090,4.8654
cuda,tnt_s_patch16_224,64,1.4190,22.0946,6.1028
cuda,twins_pcpvt_base,32,1.0786,46.5962,3.9511
cuda,visformer_small,128,1.0689,40.8812,6.9599
cuda,vit_base_patch16_224,64,0.8941,11.7839,7.5603
cuda,volo_d1_224,64,1.0875,28.5321,7.6116
