dev,name,batch_size,speedup,start_latency,peak_memory
cuda,BERT_pytorch,16,1.1042,9.0355,9.0687
cuda,Background_Matting,4,0.8682,5.9153,32.1319
cuda,LearningToPaint,96,0.8828,2.2677,2.7803
cuda,Super_SloMo,6,0.8682,5.4990,17.6952
cuda,alexnet,128,0.7950,0.9789,3.5114
cuda,attention_is_all_you_need_pytorch,256,0.7624,9.5307,16.4536
cuda,dcgan,32,1.2219,0.7232,0.1676
cuda,demucs,4,1.0000,0.7889,5.1691
cuda,densenet121,4,2.2789,15.3952,1.8366
cuda,dlrm,0,0.0000
cuda,drq,1,1.5940,0.8783,0.1231
cuda,fastNLP_Bert,6,0.7495,8.2350,16.6011
cuda,functorch_dp_cifar10,64,1.9420,2.2229,0.4248
cuda,hf_Albert,8,0.7532,7.6958,23.3913
cuda,hf_Bart,4,0.7125,9.7350,18.8907
cuda,hf_Bert,4,0.7113,7.3313,13.0688
cuda,hf_BigBird,2,0.8600,29.7809,15.1498
cuda,hf_DistilBert,8,0.6677,4.6550,15.1040
cuda,hf_GPT2,4,0.7219,7.5312,17.3061
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,4,0.9950,2.8424,1.7434
cuda,hf_T5,0,0.0000
cuda,lennard_jones,1000,0.9739,0.6767,0.0304
cuda,mnasnet1_0,32,0.8368,4.7431,4.6468
cuda,mobilenet_v2,96,0.7302,5.0675,25.3687
cuda,mobilenet_v2_quantized_qat,0,0.0000
cuda,mobilenet_v3_large,32,0.9804,5.1842,4.6954
cuda,moco,32,0.9960,2.3216,3.8191
cuda,nvidia_deeprecommender,256,0.5262,0.6401,7.3988
cuda,pytorch_CycleGAN_and_pix2pix,1,1.2151,2.9464,1.3711
cuda,pytorch_stargan,16,0.8657,2.6371,2.9504
cuda,pytorch_struct,200,0.8571,1.2688,1.4582
cuda,pytorch_unet,1,0.8459,2.2931,10.4447
cuda,resnet18,16,1.1160,2.1768,1.4881
cuda,resnet50,32,0.7626,5.3470,9.2543
cuda,resnet50_quantized_qat,0,0.0000
cuda,resnext50_32x4d,8,1.1565,5.0341,3.3696
cuda,shufflenet_v2_x1_0,128,0.7912,5.8324,8.1924
cuda,soft_actor_critic,256,1.1438,0.5292,0.0610
cuda,speech_transformer,0,0.0000
cuda,squeezenet1_1,32,0.9912,1.8730,2.2862
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,1,1.4403,73.4323,5.6089
cuda,timm_efficientnet,32,0.5926,14.1426,11.2797
cuda,timm_nfnet,0,0.0000
cuda,timm_regnet,32,0.7759,18.7381,20.2126
cuda,timm_resnest,32,0.7885,3.1193,7.1067
cuda,timm_vision_transformer,8,1.3865,4.9322,2.5373
cuda,timm_vovnet,32,0.5463,8.8366,8.6129
cuda,tts_angular,64,0.9945,0.6907,0.3898
cuda,vgg16,64,0.8565,1.6171,20.7298
cuda,yolov3,16,0.7605,14.2052,24.3424
