dev,name,batch_size,speedup,start_latency,peak_memory
cuda,AlbertForMaskedLM,2,0.9995,1.7759,9.7881
cuda,AlbertForQuestionAnswering,2,1.0006,1.7593,9.6425
cuda,AllenaiLongformerBase,1,0.9823,1.6353,3.6315
cuda,BartForCausalLM,2,0.9991,1.2733,6.9791
cuda,BartForConditionalGeneration,1,1.0131,2.9244,8.4936
cuda,BertForMaskedLM,64,0.9999,1.6910,11.3653
cuda,BertForQuestionAnswering,64,0.9998,1.5998,7.4370
cuda,BigBird,1,0.9913,7.1619,3.8232
cuda,BlenderbotSmallForCausalLM,64,0.9993,1.0589,9.8645
cuda,BlenderbotSmallForConditionalGeneration,32,1.0122,2.0148,7.4652
cuda,CamemBert,1,1.0487,1.4218,1.8816
cuda,DebertaForMaskedLM,4,0.9327,4.3013,5.6218
cuda,DebertaForQuestionAnswering,4,0.9258,4.3058,3.9845
cuda,DistilBertForMaskedLM,16,1.0307,0.6706,2.3780
cuda,DistilBertForQuestionAnswering,32,1.0184,0.7424,2.2298
cuda,DistillGPT2,1,1.0372,0.7936,1.5515
cuda,ElectraForCausalLM,1,1.0398,1.4282,0.5875
cuda,ElectraForQuestionAnswering,64,0.9998,1.8085,14.2805
cuda,GPT2ForSequenceClassification,4,1.0003,1.7332,11.3648
cuda,GoogleFnet,1,1.0019,0.9317,1.4176
cuda,LayoutLMForMaskedLM,16,0.9994,1.9218,15.4712
cuda,LayoutLMForSequenceClassification,16,0.9995,1.8651,11.5710
cuda,M2M100ForConditionalGeneration,2,1.0119,2.9774,8.0026
cuda,MBartForCausalLM,16,1.0057,1.2271,5.5782
cuda,MBartForConditionalGeneration,8,1.0202,2.8958,6.7197
cuda,MT5ForConditionalGeneration,2,1.0214,3.3225,5.0805
cuda,MegatronBertForCausalLM,2,1.0497,2.8201,5.3790
cuda,MegatronBertForQuestionAnswering,8,1.0496,3.0096,5.3320
cuda,MobileBertForMaskedLM,16,1.0176,7.1574,2.6447
cuda,MobileBertForQuestionAnswering,32,1.0204,7.1654,2.7784
cuda,OPTForCausalLM,4,1.0157,1.2189,2.1785
cuda,PLBartForCausalLM,16,1.0118,0.7508,3.2369
cuda,PLBartForConditionalGeneration,8,1.0130,1.5403,2.9823
cuda,PegasusForCausalLM,8,1.0109,1.2282,4.2751
cuda,PegasusForConditionalGeneration,4,1.0144,2.6746,6.6082
cuda,RobertaForCausalLM,4,1.0500,1.4128,1.8375
cuda,RobertaForQuestionAnswering,64,1.0001,1.6070,7.4371
cuda,Speech2Text2ForCausalLM,64,1.0051,0.7616,2.3608
cuda,T5ForConditionalGeneration,4,0.9983,2.4195,10.6393
cuda,T5Small,1,1.0175,2.1773,2.9935
cuda,TrOCRForCausalLM,8,1.0123,1.1500,4.0697
cuda,XGLMForCausalLM,1,1.0161,2.2823,9.2391
cuda,XLNetLMHeadModel,4,0.9984,3.7086,11.8236
cuda,YituTechConvBert,1,1.0292,1.9591,1.8366
