dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,BERT_pytorch,16,1.9255,15.8640,0.8397
cuda,Background_Matting,4,1.1398,12.7852,0.9137
cuda,LearningToPaint,96,1.2296,5.0911,0.6957
cuda,Super_SloMo,6,1.1758,12.2396,1.1811
cuda,alexnet,128,1.1048,1.8136,0.8238
cuda,attention_is_all_you_need_pytorch,256,1.0532,16.6262,0.4857
cuda,dcgan,32,1.5515,1.4558,0.8326
cuda,demucs,0,0.0000
cuda,densenet121,4,1.1019,36.1512,0.8377
cuda,dlrm,2048,1.4075,2.1404,0.9248
cuda,drq,0,0.0000
cuda,fastNLP_Bert,6,1.0706,227.4432,0.9491
cuda,functorch_dp_cifar10,64,2.7261,30.1300,0.7146
cuda,hf_Albert,8,1.6417,37.1186,0.8761
cuda,hf_Bart,4,1.1498,95.5160,0.8118
cuda,hf_Bert,4,1.1147,45.5753,0.7892
cuda,hf_BigBird,0,0.0000
cuda,hf_DistilBert,8,1.1258,24.9278,0.7599
cuda,hf_GPT2,4,1.4582,219.0156,1.0334
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,0,0.0000
cuda,hf_T5,0,0.0000
cuda,lennard_jones,1000,1.6054,2.9162,0.9917
cuda,mnasnet1_0,32,1.3910,86.9738,0.8817
cuda,mobilenet_v2,96,1.2802,91.1978,1.0091
cuda,mobilenet_v2_quantized_qat,96,1.2267,144.5261,1.3474
cuda,mobilenet_v3_large,32,1.7719,92.2743,0.8819
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,0.7562,6.8559,0.7404
cuda,pytorch_CycleGAN_and_pix2pix,1,1.4763,20.4178,0.8463
cuda,pytorch_stargan,16,1.1320,35.7462,0.8998
cuda,pytorch_struct,200,1.7003,21.0835,0.9514
cuda,pytorch_unet,1,1.1959,34.7055,0.8565
cuda,resnet18,16,1.6966,36.9666,0.6967
cuda,resnet50,32,1.1797,37.6897,0.8565
cuda,resnet50_quantized_qat,32,1.0196,100.6288,1.3687
cuda,resnext50_32x4d,8,1.8252,54.0928,0.8264
cuda,shufflenet_v2_x1_0,128,1.2777,68.1378,1.0377
cuda,soft_actor_critic,0,0.0000
cuda,speech_transformer,0,0.0000
cuda,squeezenet1_1,32,1.5853,19.4878,1.0848
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,0,0.0000
cuda,timm_efficientnet,32,0.9830,92.0901,1.1237
cuda,timm_nfnet,128,1.4449,92.4579,1.0184
cuda,timm_regnet,32,1.1078,67.8307,0.9291
cuda,timm_resnest,32,1.4866,84.2122,0.8301
cuda,timm_vision_transformer,8,0.7970,61.8898,0.7340
cuda,timm_vovnet,32,0.6801,74.2064,0.8234
cuda,tts_angular,0,0.0000
cuda,vgg16,64,1.1611,15.3891,0.6557
cuda,yolov3,0,0.0000
