dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,BERT_pytorch,16,1.942997,6.544216
cuda,Background_Matting,4,0.915882,3.557693
cuda,LearningToPaint,96,0.554754,1.126287
cuda,Super_SloMo,6,1.095305,3.499870
cuda,alexnet,128,0.355042,0.345705
cuda,attention_is_all_you_need_pytorch,256,1.684932,6.909028
cuda,dcgan,32,0.328171,0.226503
cuda,demucs,4,0.644060
cuda,densenet121,4,2.073810,10.323819
cuda,drq,1,0.406499,0.362139
cuda,fastNLP_Bert,6,1.866325,5.599509
cuda,functorch_dp_cifar10,64,0.556900,1.383254
cuda,hf_Albert,8,1.441490,5.936243
cuda,hf_Bart,4,1.999515,7.185108
cuda,hf_Bert,4,1.765994,5.394227
cuda,hf_DistilBert,8,0.869312,2.586709
cuda,hf_GPT2,4,1.763708,5.037290
cuda,hf_Reformer,4,2.665871,0.283097
cuda,lennard_jones,1000,0.349748,0.159993
cuda,mnasnet1_0,32,0.865147,3.014029
cuda,mobilenet_v2,96,0.893420,2.974660
cuda,mobilenet_v3_large,32,0.970737,3.364748
cuda,moco,32,2.035958,0.016999
cuda,nvidia_deeprecommender,256,0.361266,0.185256
cuda,pytorch_CycleGAN_and_pix2pix,1,0.571914,2.024153
cuda,pytorch_stargan,16,0.562139,1.633688
cuda,pytorch_unet,1,0.600369,1.251596
cuda,resnet18,16,0.531730,1.175414
cuda,resnet50,32,0.927174,3.219980
cuda,resnext50_32x4d,8,0.926599,3.216161
cuda,shufflenet_v2_x1_0,128,1.055130,3.648328
cuda,soft_actor_critic,256,0.315662,0.135956
cuda,squeezenet1_1,32,0.507017,1.125488
cuda,timm_efficientdet,1,19.790751,25.966815
cuda,timm_efficientnet,32,1.754687,5.015931
cuda,timm_nfnet,128,2.129677,5.879332
cuda,timm_regnet,32,2.307730,6.066267
cuda,timm_resnest,32,0.646200,1.820992
cuda,timm_vision_transformer,8,1.079057,3.668174
cuda,timm_vovnet,32,1.501122,2.620423
cuda,tts_angular,64,0.485505,0.049101
cuda,vgg16,64,0.413991,0.677114
cuda,yolov3,16,2.854931,4.845096
