dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,adv_inception_v3,128,1.441024,6.569930
cuda,botnet26t_256,128,1.309546,2.851700
cuda,cait_m36_384,2,4.125931,20.686857
cuda,coat_lite_mini,128,1.356169,4.786277
cuda,convit_base,32,1.369705,5.248031
cuda,convmixer_768_32,32,1.221179,4.709900
cuda,convnext_base,32,1.858945,6.714383
cuda,crossvit_9_240,64,1.813891,7.098801
cuda,cspdarknet53,64,2.204943,4.551760
cuda,deit_base_distilled_patch16_224,64,1.105835,3.728986
cuda,dla102,64,1.662268,7.657452
cuda,dm_nfnet_f0,128,2.105926,5.772406
cuda,dpn107,32,3.908658,9.913266
cuda,eca_botnext26ts_256,64,1.380044,3.308473
cuda,eca_halonext26ts,64,1.435159,3.521363
cuda,ese_vovnet19b_dw,128,1.106554,2.077951
cuda,fbnetc_100,128,2.063581,4.166952
cuda,fbnetv3_b,128,3.172489,7.759271
cuda,gernet_l,128,1.929354,3.626258
cuda,ghostnet_100,128,2.229549,6.366836
cuda,gluon_inception_v3,128,1.436469,6.507348
cuda,gluon_xception65,32,1.885669,8.697852
cuda,gmixer_24_224,64,1.691778,7.032635
cuda,gmlp_s16_224,64,1.623469,6.234702
cuda,hrnet_w18,2,5.561947,32.678354
cuda,inception_v3,128,1.442282,6.563125
cuda,jx_nest_base,32,2.446001,9.544825
cuda,lcnet_050,128,1.029014,1.743591
cuda,mixer_b16_224,64,0.894528,2.809852
cuda,mixnet_l,64,5.531870,8.365379
cuda,mnasnet_100,128,1.530339,3.174607
cuda,mobilenetv2_100,128,1.587734,3.112336
cuda,mobilenetv3_large_100,128,1.556865,3.665013
cuda,mobilevit_s,32,1.853376,5.417201
cuda,nfnet_l0,64,1.833563,6.020781
cuda,pit_b_224,64,1.255117,4.293518
cuda,pnasnet5large,16,4.755175,25.145631
cuda,poolformer_m36,64,2.113376,6.823268
cuda,regnety_002,128,1.573417,4.243008
cuda,repvgg_a2,128,1.913972,3.104696
cuda,res2net101_26w_4s,64,2.911429,15.629868
cuda,res2net50_14w_8s,2,2.513811,13.090135
cuda,res2next50,2,1.470741,6.346042
cuda,resmlp_12_224,128,0.932606,2.367820
cuda,resnest101e,32,3.256141,15.314748
cuda,rexnet_100,128,1.942854,5.103876
cuda,sebotnet33ts_256,64,1.665263,4.368794
cuda,selecsls42b,128,0.737752,2.522380
cuda,spnasnet_100,128,1.962232,3.994804
cuda,swsl_resnext101_32x16d,32,1.661905,7.356171
cuda,tf_efficientnet_b0,128,1.863126,5.090871
cuda,tf_mixnet_l,64,5.879260,8.506385
cuda,tinynet_a,128,2.153506,5.870086
cuda,tnt_s_patch16_224,64,2.332761,10.275138
cuda,twins_pcpvt_base,32,3.251292,14.791307
cuda,visformer_small,128,0.965923,3.324249
cuda,vit_base_patch16_224,64,1.063854,3.617077
cuda,volo_d1_224,64,1.802900,7.138113
cuda,xcit_large_24_p8_224,5,3.722009,19.358956
