dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,botnet26t_256,128,1.236286,2.512053
cuda,cait_m36_384,2,3.748039,16.310380
cuda,coat_lite_mini,128,1.227614,3.862423
cuda,convit_base,32,1.242692,4.365334
cuda,convnext_base,32,1.665542,5.077362
cuda,crossvit_9_240,64,1.638760,5.480217
cuda,cspdarknet53,64,2.137859,3.950685
cuda,deit_base_distilled_patch16_224,64,0.977563,2.911009
cuda,eca_botnext26ts_256,64,1.345482,2.981439
cuda,eca_halonext26ts,64,1.343946,3.108622
cuda,ese_vovnet19b_dw,128,1.044088,1.750894
cuda,fbnetc_100,128,2.028751,3.634622
cuda,fbnetv3_b,128,3.127102,6.530909
cuda,gernet_l,128,1.911379,3.134901
cuda,ghostnet_100,128,2.150077,5.409143
cuda,gmixer_24_224,64,1.473146,5.184481
cuda,gmlp_s16_224,64,1.401378,4.521092
cuda,hrnet_w18,2,5.269991,27.727494
cuda,jx_nest_base,32,2.216146,7.665143
cuda,lcnet_050,128,1.003788,1.501580
cuda,mixer_b16_224,64,0.786026,1.906987
cuda,mixnet_l,64,5.281488,6.933186
cuda,mnasnet_100,128,1.477144,2.748841
cuda,mobilenetv2_100,128,1.478672,2.603780
cuda,mobilenetv3_large_100,128,1.468155,2.965831
cuda,mobilevit_s,32,1.731562,4.473495
cuda,nfnet_l0,64,1.713222,5.205891
cuda,regnety_002,128,1.479496,3.426252
cuda,repvgg_a2,128,1.872541,2.661962
cuda,res2net101_26w_4s,64,2.709715,13.217819
cuda,res2net50_14w_8s,2,2.390671,11.397668
cuda,res2next50,2,1.398679,5.557894
cuda,resmlp_12_224,128,0.852803,1.764105
cuda,resnest101e,32,3.060517,12.301181
cuda,selecsls42b,128,0.711877,2.202669
cuda,spnasnet_100,128,1.913909,3.323050
cuda,tf_mixnet_l,64,5.867024,7.137991
cuda,tinynet_a,128,2.060719,4.920904
cuda,tnt_s_patch16_224,64,2.014597,8.011039
cuda,twins_pcpvt_base,32,2.889402,11.043113
cuda,visformer_small,128,0.908550,2.775618
cuda,vit_base_patch16_224,64,0.965958,2.867382
cuda,volo_d1_224,64,1.649407,5.954230
cuda,xcit_large_24_p8_224,5,3.440603,15.026919
