dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,0.891561,20.795744,8.590400,3.137954,13.086606,8.432151,3.421638,0.301023,1.677612,9.498444
cuda,botnet26t_256,128,0.952985,10.584918,5.899827,1.960925,7.819103,5.339416,1.698347,0.122106,1.768385,5.724172
cuda,cait_m36_384,2,2.716822,34.054672,8.934148,4.352580,17.078319,11.643369,4.285945,0.602509,3.065691,16.462136
cuda,convit_base,32,0.853375,10.461497,3.238351,1.859462,6.932163,4.632227,1.701024,0.199628,2.243158,7.918909
cuda,convmixer_768_32,32,0.665908,11.455405,2.878870,1.592985,3.720594,2.302608,1.050678,0.179872,0.946970,3.513382
cuda,convnext_base,32,1.143056,15.002157,4.649134,2.743025,10.701939,7.205221,2.628574,0.261159,10.558767,19.526030
cuda,cspdarknet53,64,1.830204,13.587157,4.692301,1.797793,6.717159,4.169872,1.625676,0.208597,0.313470,4.277413
cuda,dla102,64,1.012098,20.161272,6.259197,2.313877,10.150059,6.717084,2.449381,0.293407,0.427505,6.840025
cuda,dm_nfnet_f0,128,1.549887,16.809453,4.550691,2.070902,7.673651,5.484385,1.404532,0.214890,1.136568,6.520846
cuda,dpn107,32,3.163778,23.976871,7.106481,3.279610,11.279789,7.141359,2.707055,0.336807,55.580557,63.288302
cuda,eca_botnext26ts_256,64,1.005766,11.041268,6.042919,2.196232,7.857742,5.356107,1.696698,0.130393,1.664118,5.757215
cuda,eca_halonext26ts,64,1.049861,13.417902,8.137285,2.932974,11.386827,8.207944,2.377250,0.140425,0.824606,7.093248
cuda,ese_vovnet19b_dw,128,0.728677,6.774732,3.249102,0.837589,5.054107,3.184639,1.231817,0.107446,0.178590,2.876221
cuda,fbnetc_100,128,1.622702,12.287842,4.729826,1.910192,6.278474,3.796070,1.626528,0.196496,1.393916,4.975518
cuda,fbnetv3_b,128,2.520366,21.830585,8.055225,3.217804,11.493621,7.643897,2.620739,0.352753,1.684852,8.554541
cuda,gernet_l,128,1.660296,10.136938,3.240747,1.295849,4.594261,2.820249,1.171849,0.164953,0.850753,3.610840
cuda,ghostnet_100,128,1.710642,18.601452,7.472933,2.646288,11.731277,7.496433,2.860133,0.298121,0.381248,7.454720
cuda,gluon_inception_v3,128,0.874630,20.571870,8.446523,3.121781,12.830183,8.405889,3.418451,0.295714,1.408921,9.099696
cuda,gluon_xception65,32,1.155196,22.418471,6.387228,2.460992,9.196989,6.301504,2.016599,0.346321,1.441811,7.368687
cuda,gmixer_24_224,64,1.047083,11.325341,3.185454,1.427442,6.986608,4.860005,1.645556,0.210381,0.277025,5.636803
cuda,gmlp_s16_224,64,0.976566,16.872874,6.880111,2.046199,11.233367,8.368365,2.375757,0.206658,0.378158,6.949118
cuda,hrnet_w18,2,3.780097,68.530109,15.044374,6.272598,26.443047,19.166574,5.334553,0.826594,7.247659,25.537564
cuda,inception_v3,128,0.893542,20.635972,8.427885,3.133933,13.057718,8.650444,3.401400,0.302059,1.939753,9.897004
cuda,jx_nest_base,32,1.599568,21.135239,8.111418,3.113413,14.615894,10.038862,3.428568,0.347398,1.450009,11.270151
cuda,lcnet_050,128,0.697467,7.006118,3.125875,1.033215,4.218887,2.674061,1.030938,0.108597,0.619789,2.810683
cuda,mixer_b16_224,64,0.521003,7.342148,2.210256,1.067103,4.335193,3.086518,0.919842,0.106941,12.647401,15.928864
cuda,mixnet_l,64,4.854082,17.432915,6.226434,2.024236,9.951150,6.165863,2.521450,0.332716,0.365509,6.608687
cuda,mnasnet_100,128,1.177767,10.311278,4.330326,1.557765,5.593864,3.269557,1.607339,0.161302,0.863907,3.781875
cuda,mobilenetv2_100,128,1.184807,10.853130,4.612482,1.624733,5.671010,3.626212,1.350307,0.169815,0.816270,3.602840
cuda,mobilenetv3_large_100,128,1.157035,11.353150,4.858380,1.526104,6.498783,4.072113,1.602770,0.191998,1.182239,4.678232
cuda,mobilevit_s,32,1.338395,17.985759,10.158656,4.228352,16.682134,10.990277,4.565883,0.232681,0.472124,11.354377
cuda,nfnet_l0,64,1.271457,11.319840,3.076273,1.551293,5.273029,3.485599,1.088161,0.200367,0.946955,4.823295
cuda,pit_b_224,64,0.750287,9.170708,3.084864,1.928607,5.527873,3.570296,1.305048,0.170117,0.235205,4.708792
cuda,pnasnet5large,16,3.008938,51.841369,16.956644,5.004440,26.824222,18.147125,6.617802,0.708087,3.180288,19.265172
cuda,poolformer_m36,64,1.461171,26.006778,11.123252,3.619057,17.843700,13.102690,3.728706,0.305154,1.838865,12.858102
cuda,regnety_002,128,1.181895,10.689229,3.899790,1.506727,5.246217,3.262399,1.294924,0.174614,0.911854,3.873908
cuda,repvgg_a2,128,1.558835,9.497253,3.123421,1.171245,4.100943,2.695897,0.950881,0.144198,0.769025,3.015903
cuda,res2net101_26w_4s,64,1.928812,37.113302,12.170761,4.579505,18.669119,12.821262,4.413515,0.532355,0.729730,12.146261
cuda,res2net50_14w_8s,2,1.647348,29.998673,8.448571,2.956688,14.581153,9.912326,3.171674,0.436836,0.599599,9.987557
cuda,res2next50,2,0.896606,16.071267,4.907218,2.074903,8.099772,5.198291,1.982592,0.250814,0.354159,5.787572
cuda,resmlp_12_224,128,0.484530,4.611703,1.086968,0.718904,2.850858,1.756898,0.773494,0.093961,2.302039,4.843810
cuda,resnest101e,32,2.240476,33.792109,10.162509,4.117981,17.074733,11.083314,4.614718,0.476306,2.264608,13.634550
cuda,rexnet_100,128,1.487968,14.715249,6.255743,1.956618,9.471820,5.761419,2.115160,0.253640,1.496739,7.074463
cuda,sebotnet33ts_256,64,1.254764,13.880149,7.507507,2.591447,10.329490,7.308730,2.182075,0.171144,2.150753,7.890455
cuda,selecsls42b,128,0.402977,8.493909,3.440804,1.191808,6.395266,4.097723,1.619426,0.137301,0.216239,4.442803
cuda,spnasnet_100,128,1.610434,12.119832,4.641943,1.878074,6.153813,3.812746,1.594562,0.197741,1.252309,4.763051
cuda,swin_base_patch4_window7_224,64,2.417964,24.803088,10.011310,4.581506,19.109513,13.073368,4.630210,0.349585,5.097892,19.008448
cuda,swsl_resnext101_32x16d,32,0.978876,18.230542,4.672789,1.993567,7.469616,5.079469,1.661587,0.270221,1.258872,6.251794
cuda,tf_efficientnet_b0,128,1.400077,12.445679,4.737316,1.620673,7.579439,4.832269,1.818704,0.211869,1.031670,5.616906
cuda,tf_mixnet_l,64,5.201303,17.855871,6.301556,2.100229,10.443294,6.480753,2.780351,0.347047,0.379177,6.788920
cuda,tinynet_a,128,1.691200,14.633956,5.451197,1.847422,8.510477,5.479684,1.997937,0.244594,1.204214,6.254027
cuda,tnt_s_patch16_224,64,1.434240,19.343149,5.584530,2.934386,10.585843,7.314548,2.496460,0.333531,4.117604,12.276045
cuda,twins_pcpvt_base,32,2.047822,27.382830,8.276418,4.198395,17.267748,11.862767,3.865541,0.466192,0.851295,14.335507
cuda,visformer_small,128,0.604397,9.770463,3.511250,1.700361,4.538736,2.756165,1.059608,0.154708,0.864679,3.694154
