dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,AlbertForMaskedLM,2,1.325191,3.691949
cuda,AlbertForQuestionAnswering,2,1.376494,3.935936
cuda,BartForCausalLM,2,1.362746,3.371325
cuda,BartForConditionalGeneration,1,3.801508,9.511571
cuda,BertForMaskedLM,64,1.763282,3.721945
cuda,BertForQuestionAnswering,64,1.676005,3.444211
cuda,BigBird,1,8.062890,2.956480
cuda,BlenderbotSmallForCausalLM,64,0.977330,2.121918
cuda,BlenderbotSmallForConditionalGeneration,32,2.342156,6.528265
cuda,CamemBert,1,1.646013,3.349649
cuda,DebertaForMaskedLM,4,5.160030,4.682652
cuda,DebertaForQuestionAnswering,4,5.050943,4.585215
cuda,DistilBertForMaskedLM,16,0.768907,1.712662
cuda,DistilBertForQuestionAnswering,32,0.774657,1.802362
cuda,DistillGPT2,1,0.894676,1.646217
cuda,ElectraForCausalLM,1,1.598037,3.361810
cuda,ElectraForQuestionAnswering,64,1.611090,3.392825
cuda,GPT2ForSequenceClassification,4,1.623321,3.321450
cuda,GoogleFnet,1,1.020020,1.637188
cuda,LayoutLMForMaskedLM,16,1.744467,3.700515
cuda,LayoutLMForSequenceClassification,16,1.724298,3.718080
cuda,M2M100ForConditionalGeneration,2,3.358596,8.662898
cuda,MBartForCausalLM,16,1.355526,3.324195
cuda,MBartForConditionalGeneration,8,3.868919,9.629665
cuda,MT5ForConditionalGeneration,2,3.555807,8.844841
cuda,MegatronBertForCausalLM,2,3.293375,7.032238
cuda,MegatronBertForQuestionAnswering,8,3.323365,7.134938
cuda,MobileBertForMaskedLM,16,8.064611,17.585201
cuda,MobileBertForQuestionAnswering,32,8.063696,17.098262
cuda,OPTForCausalLM,4,1.412236,3.382579
cuda,PLBartForCausalLM,16,0.788044,1.658018
cuda,PLBartForConditionalGeneration,8,1.785120,4.634231
cuda,PegasusForCausalLM,8,1.402916,3.272934
cuda,PegasusForConditionalGeneration,4,3.369561,8.607117
cuda,RobertaForCausalLM,4,1.624109,3.387589
cuda,RobertaForQuestionAnswering,64,1.606639,3.379679
cuda,Speech2Text2ForCausalLM,64,0.824277,1.646328
cuda,T5ForConditionalGeneration,4,2.657625,5.426066
cuda,T5Small,1,2.458328,5.561621
cuda,TrOCRForCausalLM,8,1.318520,3.173966
cuda,XGLMForCausalLM,1,2.626503,6.940279
cuda,XLNetLMHeadModel,4,3.986897,15.026649
cuda,YituTechConvBert,1,2.269466,5.929606
