dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,BERT_pytorch,16,0.8755,6.1720,0.8847
cuda,Background_Matting,4,1.0219,3.1201,0.9514
cuda,LearningToPaint,96,1.0473,1.3702,0.7251
cuda,Super_SloMo,6,0.9982,3.5264,0.9553
cuda,alexnet,128,0.9952,0.5829,0.8751
cuda,attention_is_all_you_need_pytorch,256,0.9763,5.9431,0.9235
cuda,dcgan,32,1.0095,0.5141,0.8463
cuda,demucs,4,0.9999,0.5773,0.9998
cuda,densenet121,4,0.9986,9.4685,0.8853
cuda,dlrm,2048,0.9895,0.7925,1.0000
cuda,drq,1,0.8300,0.6383,1.0000
cuda,fastNLP_Bert,6,0.9783,5.2945,0.9106
cuda,functorch_dp_cifar10,64,0.9663,1.4479,1.0044
cuda,hf_Albert,8,0.9981,4.8130,0.9486
cuda,hf_Bart,4,0.9081,6.7012,0.8680
cuda,hf_Bert,4,0.9970,4.9164,0.8851
cuda,hf_BigBird,0,0.0000
cuda,hf_DistilBert,8,0.9535,2.4466,0.8987
cuda,hf_GPT2,4,0.9818,4.8839,0.8781
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,4,0.9987,2.7081,0.3088
cuda,hf_T5,8,0.9910,7.9492,0.9176
cuda,lennard_jones,1000,0.8320,0.4510,1.0000
cuda,mnasnet1_0,32,1.0925,3.0009,0.9109
cuda,mobilenet_v2,96,0.9978,2.7563,0.7669
cuda,mobilenet_v2_quantized_qat,96,0.9761,12.7253,0.8306
cuda,mobilenet_v3_large,32,1.0811,3.2862,0.8714
cuda,moco,32,0.9948,1.9890,1.0073
cuda,nvidia_deeprecommender,256,0.9551,0.4152,1.0002
cuda,pytorch_CycleGAN_and_pix2pix,1,0.9261,2.1133,0.9094
cuda,pytorch_stargan,16,0.9817,1.9177,1.0210
cuda,pytorch_struct,200,0.7217,0.7916,0.5046
cuda,pytorch_unet,1,0.9978,1.4652,0.8519
cuda,resnet18,16,1.0768,1.3349,0.7985
cuda,resnet50,32,0.9940,3.2148,0.8750
cuda,resnet50_quantized_qat,32,0.9616,12.0969,0.9171
cuda,resnext50_32x4d,8,1.0626,3.3454,0.8851
cuda,shufflenet_v2_x1_0,128,1.0375,3.6820,0.9173
cuda,soft_actor_critic,256,0.7709,0.3905,0.9998
cuda,speech_transformer,0,0.0000
cuda,squeezenet1_1,32,0.9746,1.2823,0.8342
cuda,tacotron2,64,0.8573,22.9573,1.1060
cuda,timm_efficientdet,1,0.7873,34.8529,0.8216
cuda,timm_efficientnet,32,0.6842,5.1566,0.7714
cuda,timm_nfnet,128,0.9980,6.0865,0.8954
cuda,timm_regnet,32,0.9553,6.4376,0.8613
cuda,timm_resnest,32,0.9975,1.9171,0.8430
cuda,timm_vision_transformer,8,0.8932,3.4020,0.8767
cuda,timm_vovnet,32,0.6493,3.3910,0.7609
cuda,tts_angular,64,0.9695,0.4963,0.9888
cuda,vgg16,64,0.9992,0.8703,0.6761
cuda,yolov3,16,0.9907,6.0758,0.8429
