dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,AlbertForMaskedLM,2,0.9999,0.9727,1.0000
cuda,AlbertForQuestionAnswering,2,1.0004,0.9681,1.0000
cuda,AllenaiLongformerBase,1,0.9837,1.2740,0.9989
cuda,BartForCausalLM,2,0.9998,0.9747,1.0000
cuda,BartForConditionalGeneration,1,1.0135,2.4876,1.0000
cuda,BertForMaskedLM,64,1.0000,1.1499,1.0000
cuda,BertForQuestionAnswering,64,0.9999,1.1334,1.0000
cuda,BigBird,1,0.9871,6.2540,1.0016
cuda,BlenderbotSmallForCausalLM,64,0.9992,0.7169,1.0000
cuda,BlenderbotSmallForConditionalGeneration,32,1.0126,1.5679,1.0000
cuda,CamemBert,1,1.0442,1.2594,1.0038
cuda,DebertaForMaskedLM,4,0.9336,4.1794,1.0000
cuda,DebertaForQuestionAnswering,4,0.9225,4.0306,0.9984
cuda,DistilBertForMaskedLM,16,1.0316,0.5381,1.0000
cuda,DistilBertForQuestionAnswering,32,1.0289,0.5442,1.0000
cuda,DistillGPT2,1,1.0297,0.6856,1.0003
cuda,ElectraForCausalLM,1,1.0431,1.2558,1.0000
cuda,ElectraForQuestionAnswering,64,0.9993,1.1527,1.0000
cuda,GPT2ForSequenceClassification,4,1.0001,1.2474,1.0000
cuda,GoogleFnet,1,1.0040,0.8169,0.9996
cuda,LayoutLMForMaskedLM,16,0.9990,1.2878,1.0000
cuda,LayoutLMForSequenceClassification,16,0.9994,1.2057,1.0000
cuda,M2M100ForConditionalGeneration,2,1.0619,2.3069,1.0029
cuda,MBartForCausalLM,16,1.0076,0.9538,1.0000
cuda,MBartForConditionalGeneration,8,1.0214,2.4692,1.0000
cuda,MT5ForConditionalGeneration,2,1.0242,2.8582,1.0000
cuda,MegatronBertForCausalLM,2,1.0487,2.5323,1.0000
cuda,MegatronBertForQuestionAnswering,8,1.0497,2.4775,1.0000
cuda,MobileBertForMaskedLM,16,1.0256,6.3401,1.0000
cuda,MobileBertForQuestionAnswering,32,1.0085,6.3895,1.0000
cuda,OPTForCausalLM,4,1.0176,1.0435,1.0019
cuda,PLBartForCausalLM,16,1.0079,0.5823,1.0000
cuda,PLBartForConditionalGeneration,8,1.0229,1.2789,0.9993
cuda,PegasusForCausalLM,8,1.0102,0.9970,0.9754
cuda,PegasusForConditionalGeneration,4,1.0175,2.3183,0.9994
cuda,RobertaForCausalLM,4,1.0462,1.2518,1.0009
cuda,RobertaForQuestionAnswering,64,0.9998,1.1876,1.0000
cuda,Speech2Text2ForCausalLM,64,1.0059,0.6241,0.9557
cuda,T5ForConditionalGeneration,4,1.0015,1.7982,1.0000
cuda,T5Small,1,1.0225,1.8669,1.0000
cuda,TrOCRForCausalLM,8,1.0174,0.9220,1.0000
cuda,XGLMForCausalLM,1,1.0114,1.9331,0.9972
cuda,XLNetLMHeadModel,4,0.9996,2.8646,1.0000
cuda,YituTechConvBert,1,1.0331,1.7223,1.0022
