dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,BERT_pytorch,16,1.0105,1.3561,1.0000
cuda,Background_Matting,4,0.9998,0.4137,1.0027
cuda,LearningToPaint,96,0.9990,0.4269,0.9994
cuda,Super_SloMo,6,0.9994,0.7092,1.0076
cuda,alexnet,128,0.9992,0.3067,0.9538
cuda,attention_is_all_you_need_pytorch,256,0.9991,1.0125,1.0017
cuda,dcgan,32,0.9900,0.3218,0.9747
cuda,demucs,4,1.0000,0.4715,0.9998
cuda,densenet121,4,1.0017,1.3085,1.0026
cuda,dlrm,2048,0.9960,0.5255,1.0000
cuda,drq,1,1.0091,0.3651,1.0000
cuda,fastNLP_Bert,6,0.9964,1.3444,1.0000
cuda,functorch_dp_cifar10,64,0.9998,0.4392,1.0000
cuda,hf_Albert,8,1.0005,0.9844,1.0000
cuda,hf_Bart,4,1.0140,1.2526,1.0000
cuda,hf_Bert,4,1.0170,1.1984,1.0000
cuda,hf_BigBird,2,0.9957,6.2613,1.0008
cuda,hf_DistilBert,8,1.0005,0.5099,1.0000
cuda,hf_GPT2,4,1.0154,1.2441,1.0000
cuda,hf_Longformer,2,0.9890,1.2057,0.9999
cuda,hf_Reformer,4,0.9995,2.1711,0.3100
cuda,hf_T5,8,0.9987,1.8624,1.0000
cuda,lennard_jones,1000,0.9565,0.3420,0.9966
cuda,mnasnet1_0,32,0.9991,0.5506,1.0000
cuda,mobilenet_v2,96,0.9977,0.5467,1.0002
cuda,mobilenet_v2_quantized_qat,96,1.0013,2.1441,1.0002
cuda,mobilenet_v3_large,32,0.9991,0.6337,1.0000
cuda,moco,32,0.9957,1.3673,1.0064
cuda,nvidia_deeprecommender,256,0.9988,0.3250,0.9527
cuda,pytorch_CycleGAN_and_pix2pix,1,0.9993,0.4066,0.9985
cuda,pytorch_stargan,16,0.9984,0.4197,1.0000
cuda,pytorch_struct,200,0.9935,0.3580,1.0000
cuda,pytorch_unet,1,0.9994,0.4332,1.0001
cuda,resnet18,16,1.0009,0.4187,0.9982
cuda,resnet50,32,0.9985,0.6097,1.0008
cuda,resnet50_quantized_qat,32,0.9999,1.8630,0.9998
cuda,resnext50_32x4d,8,1.0051,0.6284,0.9983
cuda,shufflenet_v2_x1_0,128,1.0003,0.6198,1.0004
cuda,soft_actor_critic,256,0.9857,0.2936,0.9998
cuda,speech_transformer,32,1.0038,1.4384,0.9975
cuda,squeezenet1_1,32,0.9981,0.3748,1.0000
cuda,tacotron2,64,0.9804,11.9396,0.9923
cuda,timm_efficientdet,1,0.8740,18.2032,1.0147
cuda,timm_efficientnet,32,0.7960,1.3323,1.0003
cuda,timm_nfnet,128,1.0004,1.4946,0.9388
cuda,timm_regnet,32,0.9647,1.6534,1.0008
cuda,timm_resnest,32,0.9987,0.4228,0.9940
cuda,timm_vision_transformer,8,1.0046,0.6815,1.0000
cuda,timm_vovnet,32,0.6543,1.3075,1.0018
cuda,tts_angular,64,0.9818,0.4061,0.9958
cuda,vgg16,64,0.9998,0.3392,0.9940
cuda,yolov3,16,0.9992,2.2838,1.0090
