dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,adv_inception_v3,128,1.492675,7.148482
cuda,beit_base_patch16_224,64,1.432462,5.241394
cuda,botnet26t_256,128,1.360691,3.211060
cuda,cait_m36_384,2,4.081752,22.418036
cuda,coat_lite_mini,128,1.428770,5.716992
cuda,convmixer_768_32,32,1.356138,5.281079
cuda,convnext_base,32,1.803311,7.878679
cuda,crossvit_9_240,64,1.876575,8.159947
cuda,cspdarknet53,64,2.312149,5.688688
cuda,deit_base_distilled_patch16_224,64,1.163115,4.419177
cuda,dla102,64,1.614384,8.047922
cuda,dm_nfnet_f0,128,2.215304,7.070261
cuda,dpn107,32,3.744241,10.636411
cuda,eca_botnext26ts_256,64,1.407848,3.736229
cuda,eca_halonext26ts,64,1.489080,3.904109
cuda,ese_vovnet19b_dw,128,1.094183,2.559324
cuda,fbnetc_100,128,2.015584,4.713521
cuda,fbnetv3_b,128,3.189428,9.526292
cuda,gernet_l,128,1.845633,4.191382
cuda,ghostnet_100,128,2.079513,6.904893
cuda,gluon_inception_v3,128,1.590479,7.330867
cuda,gluon_xception65,32,1.724712,8.506717
cuda,gmixer_24_224,64,1.855129,7.891355
cuda,gmlp_s16_224,64,1.704105,7.466484
cuda,hrnet_w18,2,5.547784,28.111751
cuda,inception_v3,128,1.579402,7.336525
cuda,jx_nest_base,32,2.420834,10.546896
cuda,lcnet_050,128,1.038042,2.595621
cuda,mixer_b16_224,64,0.990694,3.613276
cuda,mixnet_l,64,5.549416,8.730644
cuda,mnasnet_100,128,1.628619,3.620062
cuda,mobilenetv2_100,128,1.623880,3.722389
cuda,mobilenetv3_large_100,128,1.631602,4.422081
cuda,mobilevit_s,32,1.918351,5.862611
cuda,nfnet_l0,64,1.991047,6.805078
cuda,pit_b_224,64,1.308379,5.258902
cuda,pnasnet5large,16,4.705167,22.715040
cuda,regnety_002,128,1.671421,4.773027
cuda,repvgg_a2,128,2.003082,3.693297
cuda,res2net101_26w_4s,64,2.817965,15.192837
cuda,res2net50_14w_8s,2,2.569231,13.838751
cuda,res2next50,2,1.511867,6.911374
cuda,resnest101e,32,3.332231,15.642140
cuda,rexnet_100,128,1.933060,5.540357
cuda,sebotnet33ts_256,64,1.774159,4.751957
cuda,selecsls42b,128,0.813115,3.028533
cuda,spnasnet_100,128,1.936934,4.289658
cuda,swin_base_patch4_window7_224,64,3.353483,13.550274
cuda,swsl_resnext101_32x16d,32,1.586052,7.822750
cuda,tf_efficientnet_b0,128,1.901860,5.258359
cuda,tf_mixnet_l,64,5.875865,8.841575
cuda,tinynet_a,128,2.041736,6.135478
cuda,tnt_s_patch16_224,64,2.227314,11.374224
cuda,twins_pcpvt_base,32,3.147954,16.603610
cuda,visformer_small,128,1.119607,4.170426
cuda,vit_base_patch16_224,64,1.150017,4.327858
cuda,volo_d1_224,64,1.888136,8.345376
