dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,adv_inception_v3,128,0.9995,0.9899,0.9997
cuda,beit_base_patch16_224,64,0.9994,0.9724,0.9998
cuda,botnet26t_256,128,0.9500,1.1230,1.0000
cuda,cait_m36_384,2,1.0009,2.4630,1.0003
cuda,coat_lite_mini,128,0.9994,0.9834,1.0445
cuda,convit_base,32,0.9998,0.9599,1.0006
cuda,convmixer_768_32,32,0.9999,0.8167,0.9999
cuda,convnext_base,32,0.9986,1.2004,1.0025
cuda,crossvit_9_240,64,1.0044,1.2394,1.0003
cuda,cspdarknet53,64,0.8293,1.7589,1.0000
cuda,deit_base_distilled_patch16_224,64,0.9995,0.7562,0.9994
cuda,dla102,64,0.9996,1.0233,1.0008
cuda,dm_nfnet_f0,128,0.9987,1.6919,0.9798
cuda,dpn107,32,0.8180,3.1743,0.9989
cuda,eca_botnext26ts_256,64,0.9138,1.1706,0.9887
cuda,eca_halonext26ts,64,0.9177,1.2087,0.9889
cuda,ese_vovnet19b_dw,128,0.9058,0.9763,1.0003
cuda,fbnetc_100,128,0.8230,1.6504,0.9997
cuda,fbnetv3_b,128,0.8009,2.5137,1.0002
cuda,gernet_l,128,0.8448,1.5387,1.0002
cuda,ghostnet_100,128,1.0030,1.5525,0.9990
cuda,gluon_inception_v3,128,0.9997,0.9825,0.9997
cuda,gluon_xception65,32,0.9985,0.9759,0.9954
cuda,gmixer_24_224,64,1.0000,1.1171,1.0007
cuda,gmlp_s16_224,64,0.9991,1.0749,1.0000
cuda,hrnet_w18,2,1.0043,3.7272,1.0002
cuda,inception_v3,128,0.9995,0.9709,0.9997
cuda,jx_nest_base,32,0.9992,1.5963,1.0006
cuda,lcnet_050,128,0.8611,0.8671,0.9992
cuda,mixer_b16_224,64,0.9995,0.6363,0.9998
cuda,mixnet_l,64,0.8848,4.9946,1.0002
cuda,mnasnet_100,128,0.8453,1.3437,1.0002
cuda,mobilenetv2_100,128,0.8383,1.2972,1.0000
cuda,mobilenetv3_large_100,128,0.8497,1.3145,1.0005
cuda,mobilevit_s,32,0.9130,1.4644,0.9994
cuda,nfnet_l0,64,1.0049,1.4212,0.9999
cuda,pit_b_224,64,0.9996,0.8751,0.9970
cuda,pnasnet5large,16,1.0036,3.0546,1.0608
cuda,poolformer_m36,64,0.9990,1.3859,1.0014
cuda,regnety_002,128,0.9771,1.2976,0.9991
cuda,repvgg_a2,128,0.8145,1.6223,1.0008
cuda,res2net101_26w_4s,64,1.0177,1.7242,1.0003
cuda,res2net50_14w_8s,2,0.9981,1.6796,0.9938
cuda,res2next50,2,1.0006,1.0775,1.0000
cuda,resmlp_12_224,128,0.9995,0.6044,0.9999
cuda,resnest101e,32,1.0013,2.1205,0.9999
cuda,rexnet_100,128,0.9277,1.5037,0.9998
cuda,sebotnet33ts_256,64,0.9184,1.4258,0.9999
cuda,selecsls42b,128,0.9991,0.6030,1.0003
cuda,spnasnet_100,128,0.8096,1.6435,1.0006
cuda,swin_base_patch4_window7_224,64,0.9995,2.3547,1.0003
cuda,swsl_resnext101_32x16d,32,0.9995,0.9490,1.0002
cuda,tf_efficientnet_b0,128,0.8891,1.5305,1.0002
cuda,tf_mixnet_l,64,0.8900,5.2890,0.9993
cuda,tinynet_a,128,0.8310,1.5924,1.0001
cuda,tnt_s_patch16_224,64,0.9994,1.2930,1.0000
cuda,twins_pcpvt_base,32,1.0025,2.0336,0.9995
cuda,visformer_small,128,0.9992,0.7324,1.0000
cuda,vit_base_patch16_224,64,0.9997,0.7583,0.9999
cuda,volo_d1_224,64,0.9993,1.1916,1.0011
cuda,xcit_large_24_p8_224,5,1.0003,2.1822,0.9980
