dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,1.258833,50.306803,42.360384,1.683503,55.275311,5.196744,1.385132,0.193078,8.251002,22.988560
cuda,Background_Matting,4,0.511151,32.821104,26.741654,1.237768,56.955873,3.987662,1.719935,0.146372,0.000013,31.545694
cuda,LearningToPaint,96,0.276869,23.881889,21.573281,0.541827,43.885644,1.272183,0.452665,0.064316,0.277910,23.179737
cuda,alexnet,128,0.155792,5.460634,5.033440,0.123872,9.503384,0.433246,0.290756,0.014675,0.143583,4.744982
cuda,attention_is_all_you_need_pytorch,256,1.029761,56.472086,48.357843,1.796542,69.571656,3.941835,1.961270,0.231646,9.013665,32.161911
cuda,dcgan,32,0.151876,5.298644,4.864218,0.114206,8.532015,0.177161,0.068358,0.013283,0.142897,3.933731
cuda,densenet121,4,1.259670,133.547807,115.463463,2.962085,220.404873,11.812481,4.128649,0.362253,0.000010,108.177493
cuda,drq,1,0.233817,9.358423,8.864229,0.089980,14.088927,0.144550,0.062724,0.015583,0.406510,5.733185
cuda,fastNLP_Bert,6,1.385487,77.172844,70.167150,1.583025,83.419134,3.750424,1.841158,0.199935,6.182436,21.146070
cuda,functorch_dp_cifar10,64,0.277596,14.712718,12.177508,0.610502,37.331334,2.034561,0.583150,0.062832,16.582365,42.394135
cuda,hf_Albert,8,1.032694,19.040980,12.486474,1.355941,36.167790,2.608959,1.012570,0.135631,20.113797,45.256349
cuda,hf_Bart,4,1.326453,49.161277,39.118293,1.879501,82.988029,4.714666,1.661880,0.232381,14.729912,60.634361
cuda,hf_Bert,4,1.173235,30.345530,23.326473,1.532284,29.594337,3.462695,1.695712,0.184077,1.533976,9.457501
cuda,hf_GPT2,4,1.235272,37.704745,31.565380,1.281649,38.958721,2.712008,1.152960,0.165207,6.507756,15.286436
cuda,hf_GPT2_large,4,4.452870,116.327397,97.314604,3.462533,113.710181,10.202673,3.263121,0.488038,6.210922,26.379324
cuda,hf_T5,8,1.917671,57.030475,48.089224,1.512643,78.193955,3.957836,1.282863,0.216435,7.586983,39.344511
cuda,hf_T5_large,2,11.843856,243.871825,203.671235,5.447765,287.928051,21.295054,4.879919,0.833012,21.021692,111.282924
cuda,lennard_jones,1000,0.144827,1.253430,1.005966,0.054511,2.482332,0.068304,0.036871,0.006177,0.112880,1.649048
cuda,mnasnet1_0,32,0.438741,46.345230,40.670413,1.260098,79.605855,3.167299,1.243588,0.155442,12.662448,52.955368
cuda,mobilenet_v2,96,0.460627,65.092901,59.071113,1.632688,106.135354,3.353862,1.627331,0.169725,0.431424,49.232244
cuda,mobilenet_v3_large,32,0.512064,42.550996,36.334955,1.576262,63.574325,3.365456,1.981291,0.178202,13.008678,41.928619
cuda,nvidia_deeprecommender,256,0.161343,1.468419,1.144757,0.081128,5.280250,0.124872,0.058851,0.008763,1.533047,5.757049
cuda,pytorch_CycleGAN_and_pix2pix,1,0.285753,13.114729,9.984974,0.586901,16.121776,1.538827,0.721707,0.066736,0.250448,7.022986
cuda,pytorch_stargan,16,0.279025,7.944143,5.351158,0.452197,19.833103,0.799670,0.282813,0.050078,95.546631,110.521193
cuda,pytorch_unet,1,0.297136,25.808759,23.342415,0.561587,41.195334,1.729263,0.570918,0.064752,0.251326,18.708651
cuda,resnet18,16,0.269882,14.972237,12.750405,0.544948,27.109379,1.574449,0.563074,0.061509,12.787890,27.730152
cuda,resnet50,32,0.500698,9.742295,3.654330,1.194753,21.838502,2.671722,1.129548,0.150558,0.400142,19.874861
cuda,resnext50_32x4d,8,0.495703,23.116020,17.048212,1.111976,32.385329,2.639080,0.978235,0.142853,14.767104,31.315442
cuda,shufflenet_v2_x1_0,128,0.569084,41.815444,35.248759,1.835565,72.767635,4.206175,1.711057,0.183756,0.000010,39.466784
cuda,soft_actor_critic,256,0.187542,1.672523,1.445844,0.055546,3.808516,0.068231,0.035225,0.006255,0.165959,2.593551
cuda,squeezenet1_1,32,0.245884,7.820535,6.455246,0.231250,12.886029,0.698620,0.354568,0.039815,0.174784,6.854339
cuda,timm_efficientnet,32,1.303037,39.281207,31.718657,1.557569,58.918923,4.607277,1.635695,0.205168,0.495700,29.376598
cuda,timm_nfnet,128,1.528678,41.280524,29.427577,2.408004,52.815283,5.606601,1.456731,0.212298,0.723471,26.716307
cuda,timm_regnet,32,1.667310,31.071495,21.472211,1.799391,44.913584,3.341949,1.834541,0.225927,0.640815,26.039748
cuda,timm_resnest,32,0.362591,35.101454,32.051482,0.900379,70.263330,3.100550,1.154985,0.089472,52.773671,91.938521
cuda,timm_vovnet,32,1.202278,21.868253,17.228512,1.247289,59.640992,3.418051,1.443460,0.383164,0.000009,43.741731
cuda,vgg16,64,0.186831,7.039036,6.247019,0.260116,8.777705,0.597253,0.238854,0.025094,0.242186,3.045416
