dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,BERT_pytorch,16,1.0060,1.4430,1.0016
cuda,Background_Matting,4,1.0000,0.5526,1.0141
cuda,LearningToPaint,96,1.0026,0.4541,0.9199
cuda,Super_SloMo,6,0.9998,0.7611,1.0103
cuda,alexnet,128,0.9991,0.3295,1.0001
cuda,attention_is_all_you_need_pytorch,256,1.0061,1.1173,1.0037
cuda,dcgan,32,0.9647,0.3412,1.0066
cuda,demucs,4,0.9984,0.5352,0.9996
cuda,densenet121,4,0.9997,1.3651,1.0000
cuda,dlrm,2048,0.9981,0.5422,0.9991
cuda,drq,1,1.0002,0.3805,1.0000
cuda,fastNLP_Bert,6,0.9990,1.3700,1.0000
cuda,functorch_dp_cifar10,64,1.0004,0.4678,0.9959
cuda,hf_Albert,8,1.0012,1.1239,1.0000
cuda,hf_Bart,4,1.0112,1.3985,1.0004
cuda,hf_Bert,4,1.0359,1.3096,0.9998
cuda,hf_BigBird,2,0.9944,6.7503,1.0030
cuda,hf_DistilBert,8,0.9983,0.5616,0.9992
cuda,hf_GPT2,4,1.0171,1.2417,1.0008
cuda,hf_GPT2_large,4,1.0000,4.3730,0.9995
cuda,hf_Longformer,2,0.9876,1.2525,1.0010
cuda,hf_Reformer,4,0.9987,2.2671,0.3949
cuda,hf_T5,8,0.9991,1.9483,1.0000
cuda,hf_T5_base,8,0.9998,3.7657,1.0000
cuda,hf_T5_large,2,1.0198,11.8073,1.0000
cuda,lennard_jones,1000,0.9519,0.3687,0.9962
cuda,mnasnet1_0,32,0.9972,0.6096,1.0005
cuda,mobilenet_v2,96,0.9984,0.5602,1.0002
cuda,mobilenet_v3_large,32,1.0033,0.6836,0.9781
cuda,moco,32,0.9951,1.4126,1.0040
cuda,nvidia_deeprecommender,256,0.9993,0.3470,1.0000
cuda,pytorch_CycleGAN_and_pix2pix,1,0.9991,0.4742,0.9977
cuda,pytorch_stargan,16,0.9969,0.4491,0.9969
cuda,pytorch_struct,200,0.9925,0.3882,1.0000
cuda,pytorch_unet,1,0.9993,0.4623,0.9999
cuda,resnet18,16,0.9989,0.4470,1.0018
cuda,resnet50,32,1.0023,0.6398,1.0001
cuda,resnext50_32x4d,8,1.0024,0.6942,1.0019
cuda,shufflenet_v2_x1_0,128,0.9976,0.6780,0.9998
cuda,soft_actor_critic,256,1.0010,0.3079,0.9998
cuda,speech_transformer,32,1.0047,1.5920,0.9978
cuda,squeezenet1_1,32,0.9974,0.4286,0.9615
cuda,tacotron2,64,0.9805,12.3135,0.9884
cuda,timm_efficientdet,1,0.8977,18.7039,1.0321
cuda,timm_efficientnet,32,0.8066,1.4270,1.0000
cuda,timm_nfnet,128,0.9991,1.5875,0.9796
cuda,timm_regnet,32,0.9776,1.7833,1.0005
cuda,timm_resnest,32,1.0016,0.4528,0.9859
cuda,timm_vision_transformer,8,1.0016,0.7386,1.0005
cuda,timm_vision_transformer_large,8,0.9992,1.8602,0.9985
cuda,timm_vovnet,32,0.6116,1.3876,1.0042
cuda,tts_angular,64,0.9879,0.4510,1.0037
cuda,vgg16,64,0.9996,0.3514,0.9999
cuda,yolov3,16,0.9993,2.3564,0.9977
