dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,1.494366,75.024332,68.733567,1.717505,78.904937,3.396481,1.140087,0.184754,9.381136,21.381613
cuda,Background_Matting,4,0.653711,28.671387,23.847201,1.087729,44.134409,3.413969,1.924901,0.123178,0.000012,21.451273
cuda,LearningToPaint,96,0.310682,19.529781,17.633713,0.462437,35.548326,0.904203,0.407039,0.055436,0.246236,18.656869
cuda,Super_SloMo,6,0.766739,38.999645,34.563266,1.122441,53.198418,3.741983,1.379316,0.076329,0.000012,19.822921
cuda,alexnet,128,0.115405,5.055896,4.717597,0.102047,9.110996,0.365880,0.160186,0.011680,0.146959,4.648406
cuda,attention_is_all_you_need_pytorch,256,1.299170,88.018492,81.544649,1.875435,104.533464,3.808798,1.341491,0.205503,13.207874,38.189987
cuda,dcgan,32,0.105992,4.871439,4.512730,0.094347,8.106987,0.137485,0.058700,0.011268,0.123196,3.819190
cuda,demucs,4,0.223250
cuda,densenet121,4,1.680182,142.444934,127.267447,2.639056,238.617424,10.801460,3.374154,0.318651,0.000019,114.217600
cuda,dlrm,2048,0.392772,2.833945,2.471069,0.267690,9.460195,0.349599,0.095989,0.013641,0.142813,7.407602
cuda,drq,1,0.201157,6.820921,6.431836,0.072069,12.056779,0.099000,0.044557,0.013014,0.415545,6.123404
cuda,fastNLP_Bert,6,1.502464,65.285715,59.749723,1.351304,71.626959,3.735669,1.233147,0.177619,0.533523,13.869922
cuda,functorch_dp_cifar10,64,0.285721,13.604912,11.267950,0.613406,37.121773,1.836816,0.519662,0.051703,17.170929,43.683962
cuda,hf_Albert,8,1.162569,11.345483,6.453306,1.324322,27.412475,3.094403,0.966629,0.112777,23.239334,45.610640
cuda,hf_Bart,4,1.660158,52.617449,44.834779,1.921769,83.590444,3.807984,1.480439,0.218309,18.464200,59.271229
cuda,hf_Bert,4,1.460342,32.187393,26.614987,1.324871,32.947514,3.529139,1.117623,0.168030,1.493679,9.251279
cuda,hf_BigBird,2,7.684805,10.086757,6.037374,1.135025,12.797678,2.010092,0.865179,0.202133,11.465111,19.492439
cuda,hf_DistilBert,8,0.624671,13.031213,10.290464,0.795241,19.273545,1.716959,0.597498,0.086887,8.486303,18.321344
cuda,hf_GPT2,4,1.565786,66.324460,61.494559,1.427770,68.468395,2.939598,1.099275,0.153978,8.513510,17.008188
cuda,hf_Reformer,4,2.299817,18.572346,17.643167,0.362169,23.822000,0.677431,0.318486,0.041358,9.995491,16.583689
