dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,BERT_pytorch,16,0.8155,7.2822,0.8680
cuda,Background_Matting,4,1.0182,3.7393,0.9670
cuda,LearningToPaint,96,0.9796,1.4212,0.7529
cuda,Super_SloMo,6,0.9962,4.0272,0.9672
cuda,alexnet,128,0.9920,0.5307,0.8304
cuda,attention_is_all_you_need_pytorch,256,0.9062,7.2712,0.9417
cuda,dcgan,32,0.8986,0.4168,0.8126
cuda,demucs,4,0.9992,0.3414,1.0005
cuda,densenet121,4,0.9002,10.6055,0.8640
cuda,dlrm,2048,0.9282,0.8321,0.9914
cuda,drq,1,0.7887,0.5469,0.8570
cuda,fastNLP_Bert,6,0.8884,6.5476,0.8863
cuda,functorch_dp_cifar10,64,0.9037,1.6032,0.8171
cuda,hf_Albert,8,0.9569,6.1786,0.9358
cuda,hf_Bart,4,0.8179,7.9136,0.8142
cuda,hf_Bert,4,0.8414,6.1666,0.8516
cuda,hf_BigBird,2,0.7858,12.9724,0.9652
cuda,hf_DistilBert,8,0.9716,2.8644,0.8711
cuda,hf_GPT2,4,0.9772,6.2049,0.8501
cuda,hf_GPT2_large,4,0.9924,19.1845,0.8535
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,4,0.9981,4.3272,0.9996
cuda,hf_T5,8,0.9468,9.3204,0.9361
cuda,hf_T5_large,2,0.8516,45.1706,0.8480
cuda,lennard_jones,1000,0.7528,0.3417,1.0017
cuda,mnasnet1_0,32,0.9755,3.3295,0.8833
cuda,mobilenet_v2,96,0.9867,3.0236,0.7731
cuda,mobilenet_v3_large,32,0.9760,3.7301,0.8761
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,0.9964,0.3748,0.8678
cuda,pytorch_CycleGAN_and_pix2pix,1,0.8885,2.2220,0.8474
cuda,pytorch_stargan,16,1.0208,1.9095,0.9837
cuda,pytorch_struct,0,0.0000
cuda,pytorch_unet,1,0.9940,1.5033,0.8651
cuda,resnet18,16,0.9624,1.3936,0.7831
cuda,resnet50,32,0.9848,3.5682,0.8678
cuda,resnext50_32x4d,8,0.9212,3.5422,0.8655
cuda,shufflenet_v2_x1_0,128,0.9826,3.9373,0.8740
cuda,soft_actor_critic,256,0.7302,0.3755,0.8575
cuda,speech_transformer,32,0.8200,8.0168,0.9052
cuda,squeezenet1_1,32,0.9298,1.3937,0.8191
cuda,tacotron2,64,0.7656,27.2002,0.4023
cuda,timm_efficientdet,1,0.7378,38.0547,0.8393
cuda,timm_efficientnet,32,0.6873,5.9323,0.7738
cuda,timm_nfnet,128,0.9954,6.9246,0.9055
cuda,timm_regnet,32,0.9161,7.4167,0.8445
cuda,timm_resnest,32,1.0085,2.1950,0.8913
cuda,timm_vision_transformer,8,0.8280,4.2385,0.8772
cuda,timm_vision_transformer_large,8,0.9919,14.4020,0.8071
cuda,timm_vovnet,32,0.5869,3.7129,0.7690
cuda,tts_angular,64,0.9396,0.3147,1.0037
cuda,vgg16,64,0.9974,0.8934,0.7280
cuda,yolov3,16,0.9904,6.8577,0.8404
