dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,AlbertForMaskedLM,2,0.9997,1.2305,1.0000
cuda,AlbertForQuestionAnswering,2,1.0003,1.2178,1.0000
cuda,AllenaiLongformerBase,1,0.9519,4.6852,0.9997
cuda,BartForCausalLM,2,0.9999,0.9113,1.0000
cuda,BartForConditionalGeneration,1,1.0138,2.4766,1.0000
cuda,BertForMaskedLM,64,0.9994,1.0940,1.0000
cuda,BertForQuestionAnswering,64,0.9995,1.1362,1.0007
cuda,BigBird,1,0.9902,6.4535,1.0032
cuda,BlenderbotSmallForCausalLM,64,1.0034,0.6038,1.0000
cuda,BlenderbotSmallForConditionalGeneration,32,1.0131,1.5707,1.0000
cuda,CamemBert,1,1.0375,1.1922,1.0040
cuda,DebertaForMaskedLM,4,0.9322,4.1200,0.9983
cuda,DebertaForQuestionAnswering,4,0.9302,4.1343,0.9982
cuda,DistilBertForMaskedLM,16,1.0307,0.4635,1.0051
cuda,DistilBertForQuestionAnswering,32,1.0354,0.4600,0.9995
cuda,DistillGPT2,1,1.0279,0.5965,1.0010
cuda,ElectraForCausalLM,1,1.0358,1.2051,1.0000
cuda,ElectraForQuestionAnswering,64,0.9993,1.1712,1.0014
cuda,GPT2ForSequenceClassification,4,1.0010,1.1871,1.0001
cuda,LayoutLMForMaskedLM,16,0.9999,1.2747,0.9994
cuda,LayoutLMForSequenceClassification,16,0.9995,1.2670,1.0008
cuda,M2M100ForConditionalGeneration,2,1.1184,2.1570,1.0169
cuda,MBartForCausalLM,16,1.0095,0.9012,1.0000
cuda,MBartForConditionalGeneration,8,1.0042,2.5509,1.0000
cuda,MT5ForConditionalGeneration,2,1.0144,2.8847,1.0000
cuda,MegatronBertForCausalLM,2,1.0348,2.4773,1.0000
cuda,MegatronBertForQuestionAnswering,8,1.0376,2.4846,1.0000
cuda,MobileBertForMaskedLM,16,1.0164,6.5541,1.0000
cuda,MobileBertForQuestionAnswering,32,1.0120,6.6109,1.0149
cuda,OPTForCausalLM,4,1.0143,1.0345,0.9997
cuda,PLBartForCausalLM,16,1.0098,0.5009,1.0018
cuda,PLBartForConditionalGeneration,8,1.0123,1.3194,1.0006
cuda,PegasusForCausalLM,8,1.0096,0.9851,1.0000
cuda,PegasusForConditionalGeneration,4,1.0074,2.3528,0.9992
cuda,RobertaForCausalLM,4,1.0370,1.1928,1.0045
cuda,RobertaForQuestionAnswering,64,0.9991,1.1355,1.0007
cuda,Speech2Text2ForCausalLM,64,1.0080,0.5536,0.9682
cuda,T5ForConditionalGeneration,4,0.9981,1.7912,0.9999
cuda,T5Small,1,1.0186,1.8062,1.0000
cuda,TrOCRForCausalLM,8,1.0061,0.9097,1.0000
cuda,XGLMForCausalLM,1,1.0122,1.9070,0.9985
cuda,XLNetLMHeadModel,4,0.9998,2.8690,1.0000
cuda,YituTechConvBert,1,1.0257,1.7084,1.0004
