dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,adv_inception_v3,128,1.1249,66.4615,0.8799
cuda,beit_base_patch16_224,64,0.9551,14.1536,0.8568
cuda,botnet26t_256,128,1.2252,39.6562,0.7493
cuda,cait_m36_384,2,1.0104,59.6201,0.9189
cuda,coat_lite_mini,128,1.0739,14.5565,0.7864
cuda,convit_base,32,1.1985,17.9310,0.9490
cuda,convmixer_768_32,32,1.0619,12.9375,0.9808
cuda,convnext_base,32,1.0444,23.4289,0.7609
cuda,crossvit_9_240,64,1.0830,26.8341,0.7268
cuda,cspdarknet53,64,1.1856,46.2711,0.8787
cuda,deit_base_distilled_patch16_224,64,1.0206,10.3238,0.8200
cuda,dla102,64,1.2851,61.6108,0.9581
cuda,dm_nfnet_f0,128,1.2115,30.0885,0.9527
cuda,dpn107,32,1.0314,74.7004,0.8972
cuda,eca_botnext26ts_256,64,1.0169,47.5668,0.7675
cuda,eca_halonext26ts,64,1.0167,49.1901,0.7727
cuda,ese_vovnet19b_dw,128,1.1439,30.0594,0.9378
cuda,fbnetc_100,128,1.1853,43.8970,0.7511
cuda,fbnetv3_b,128,1.1328,75.3148,0.7875
cuda,gernet_l,128,1.0963,34.6920,0.7997
cuda,ghostnet_100,128,1.2405,57.4480,0.9511
cuda,gluon_inception_v3,128,1.1257,65.5847,0.8799
cuda,gluon_xception65,32,1.0417,41.4135,0.8999
cuda,gmixer_24_224,64,0.9943,17.3431,0.9830
cuda,gmlp_s16_224,64,1.0003,15.1527,0.9660
cuda,hrnet_w18,2,1.2979,225.2973,0.8987
cuda,inception_v3,128,1.1246,66.0219,0.8799
cuda,jx_nest_base,32,1.2284,60.0409,0.7068
cuda,lcnet_050,128,1.4925,30.1589,0.7738
cuda,mixer_b16_224,64,0.9882,10.5779,0.8612
cuda,mixnet_l,64,1.0072,62.1014,0.7942
cuda,mnasnet_100,128,1.1550,36.5329,0.8371
cuda,mobilenetv2_100,128,1.0133,36.4747,0.7679
cuda,mobilenetv3_large_100,128,1.1655,62.7609,0.8830
cuda,mobilevit_s,32,0.9439,40.6495,0.7424
cuda,nfnet_l0,64,1.0521,26.8174,0.8122
cuda,pit_b_224,64,1.0625,12.4979,0.6367
cuda,pnasnet5large,16,1.0841,139.2587,1.2127
cuda,poolformer_m36,0,0.0000
cuda,regnety_002,128,1.2370,45.9635,0.7770
cuda,repvgg_a2,128,1.1201,42.2134,0.6587
cuda,res2net101_26w_4s,64,1.1768,83.5991,0.8935
cuda,res2net50_14w_8s,2,1.2769,69.6413,0.8950
cuda,res2next50,2,1.2306,40.7071,0.8861
cuda,resmlp_12_224,0,0.0000
cuda,resnest101e,32,1.2105,80.5668,0.9444
cuda,rexnet_100,128,0.9820,100.9741,0.8718
cuda,sebotnet33ts_256,64,1.0548,49.9256,0.6873
cuda,selecsls42b,128,1.2052,37.6120,0.9077
cuda,spnasnet_100,128,1.1376,42.3499,0.8497
cuda,swin_base_patch4_window7_224,64,1.0019,60.9094,0.8269
cuda,swsl_resnext101_32x16d,32,1.1060,39.6458,0.8620
cuda,tf_efficientnet_b0,128,0.9834,60.5386,0.8428
cuda,tf_mixnet_l,64,1.0070,62.1737,0.8608
cuda,tinynet_a,128,0.9696,61.0423,0.7843
cuda,tnt_s_patch16_224,64,1.5643,25.1653,0.8520
cuda,twins_pcpvt_base,32,1.2285,49.4730,0.8308
cuda,visformer_small,128,1.0186,23.5842,0.9474
cuda,vit_base_patch16_224,64,0.9812,9.1241,0.8177
cuda,volo_d1_224,64,1.1398,27.5930,0.7571
cuda,xcit_large_24_p8_224,0,0.0000
