dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,BERT_pytorch,16,1.5849,12.1746,0.3633
cuda,Background_Matting,4,0.8949,8.2546,0.3699
cuda,LearningToPaint,96,1.1424,3.0946,0.3804
cuda,Super_SloMo,6,0.8858,7.4840,0.3748
cuda,alexnet,128,0.8076,0.9986,0.4779
cuda,attention_is_all_you_need_pytorch,256,0.8435,12.2434,0.3382
cuda,dcgan,32,1.6326,0.7680,0.4919
cuda,demucs,4,0.9989,0.3596,1.0005
cuda,densenet121,4,2.4501,22.3034,0.3506
cuda,dlrm,0,0.0000
cuda,drq,1,1.6627,1.0670,0.5042
cuda,fastNLP_Bert,6,0.7687,12.0006,0.3485
cuda,functorch_dp_cifar10,64,2.1926,3.2048,0.4192
cuda,hf_Albert,8,0.7733,10.5017,0.3256
cuda,hf_Bart,4,0.8433,14.2164,0.3227
cuda,hf_Bert,4,1.0879,10.8111,0.3494
cuda,hf_BigBird,2,0.9014,40.2934,0.4298
cuda,hf_DistilBert,8,0.7314,5.7295,0.3056
cuda,hf_GPT2,4,0.8103,9.9528,0.3449
cuda,hf_GPT2_large,0,0.0000
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,4,0.9448,9.3096,0.3449
cuda,hf_T5,0,0.0000
cuda,hf_T5_large,0,0.0000
cuda,lennard_jones,1000,1.2422,0.6861,0.9912
cuda,mnasnet1_0,32,1.2228,7.2941,0.3427
cuda,mobilenet_v2,96,0.7588,7.3029,0.3131
cuda,mobilenet_v3_large,32,1.4494,8.0001,0.3475
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,0.6544,0.7309,0.5145
cuda,pytorch_CycleGAN_and_pix2pix,1,1.6716,3.9118,0.3910
cuda,pytorch_stargan,16,0.9621,3.3978,0.4161
cuda,pytorch_struct,0,0.0000
cuda,pytorch_unet,1,0.8640,3.3770,0.3498
cuda,resnet18,16,1.6406,3.1057,0.3815
cuda,resnet50,32,1.0242,7.8656,0.3470
cuda,resnext50_32x4d,8,1.8379,7.6932,0.3677
cuda,shufflenet_v2_x1_0,128,0.9585,8.6038,0.3627
cuda,soft_actor_critic,256,1.3243,0.6328,0.5168
cuda,speech_transformer,32,1.9166,39.6778,0.3168
cuda,squeezenet1_1,32,1.4528,2.1963,0.3486
cuda,tacotron2,64,1.0159,45.7511,0.3138
cuda,timm_efficientdet,1,2.0267,91.2773,0.3034
cuda,timm_efficientnet,32,1.0673,17.9314,0.2699
cuda,timm_nfnet,128,0.8807,12.5008,0.3501
cuda,timm_regnet,32,0.8861,23.8762,0.3386
cuda,timm_resnest,32,0.8159,4.4399,0.3494
cuda,timm_vision_transformer,8,1.6644,6.9408,0.3632
cuda,timm_vision_transformer_large,0,0.0000
cuda,timm_vovnet,32,0.8504,11.0331,0.3303
cuda,tts_angular,64,0.9938,0.4332,0.9874
cuda,vgg16,64,0.8556,1.6461,0.3593
cuda,yolov3,16,0.8064,12.9518,0.3418
