dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,adv_inception_v3,128,4.612517,8.317809
cuda,beit_base_patch16_224,64,2.954915,4.958318
cuda,botnet26t_256,128,1.961324,3.608283
cuda,cait_m36_384,2,20.665057,18.730189
cuda,coat_lite_mini,128,2.311393,5.011881
cuda,convit_base,32,2.426867,5.517165
cuda,convmixer_768_32,32,3.778832,5.545455
cuda,convnext_base,32,5.184140,5.797496
cuda,crossvit_9_240,64,3.960290,7.167492
cuda,cspdarknet53,64,3.882669,6.141243
cuda,deit_base_distilled_patch16_224,64,1.966617,4.037713
cuda,dla102,64,5.658435,9.230330
cuda,dm_nfnet_f0,128,4.129973,6.987947
cuda,dpn107,32,8.032367,12.123151
cuda,eca_botnext26ts_256,64,2.118000,4.116443
cuda,eca_halonext26ts,64,2.160736,4.208899
cuda,ese_vovnet19b_dw,128,1.553233,2.607236
cuda,fbnetc_100,128,3.821573,5.279541
cuda,fbnetv3_b,128,7.231846,9.397159
cuda,gernet_l,128,3.284443,4.915536
cuda,ghostnet_100,128,5.569478,8.236220
cuda,gluon_inception_v3,128,4.587112,8.342008
cuda,gluon_xception65,32,7.194608,10.045944
cuda,gmixer_24_224,64,4.249629,6.179330
cuda,gmlp_s16_224,64,4.319757,5.774774
cuda,hrnet_w18,2,41.913311,30.086950
cuda,inception_v3,128,4.602765,8.279377
cuda,jx_nest_base,32,4.812204,8.961396
cuda,lcnet_050,128,1.551492,2.678098
cuda,mixer_b16_224,64,1.667389,2.800577
cuda,mixnet_l,64,8.529197,8.682684
cuda,mnasnet_100,128,2.960919,4.143249
cuda,mobilenetv2_100,128,2.984822,4.042132
cuda,mobilenetv3_large_100,128,2.869894,4.691791
cuda,mobilevit_s,32,3.412129,5.936122
cuda,nfnet_l0,64,3.452245,6.531455
cuda,pit_b_224,64,2.371314,4.397160
cuda,pnasnet5large,16,25.673729,22.925323
cuda,regnety_002,128,3.201916,4.933475
cuda,repvgg_a2,128,3.116130,4.308426
cuda,res2net101_26w_4s,64,12.238982,16.516687
cuda,res2net50_14w_8s,2,9.739149,14.877320
cuda,res2next50,2,4.184581,7.937036
cuda,resnest101e,32,12.522862,15.574804
cuda,rexnet_100,128,3.720659,5.957744
cuda,sebotnet33ts_256,64,2.942228,5.159762
cuda,selecsls42b,128,1.632747,3.505108
cuda,spnasnet_100,128,3.738009,5.148025
cuda,swin_base_patch4_window7_224,64,6.755218,12.465177
cuda,swsl_resnext101_32x16d,32,5.503172,8.764707
cuda,tf_efficientnet_b0,128,3.737279,5.486656
cuda,tf_mixnet_l,64,8.796592,8.670304
cuda,tinynet_a,128,4.515156,6.612351
cuda,tnt_s_patch16_224,64,5.916572,9.919139
cuda,twins_pcpvt_base,32,11.393058,12.993152
cuda,visformer_small,128,1.761524,4.174165
cuda,vit_base_patch16_224,64,1.898614,3.888481
cuda,volo_d1_224,64,3.629307,7.311805
