dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,AlbertForMaskedLM,2,0.8060,7.4902,0.6164
cuda,AlbertForQuestionAnswering,2,0.8056,7.4765,0.6250
cuda,AllenaiLongformerBase,0,0.0000
cuda,BartForCausalLM,2,0.9698,6.9679,0.8646
cuda,BartForConditionalGeneration,1,0.8167,19.7232,0.8425
cuda,BertForMaskedLM,64,0.9616,7.6186,0.8943
cuda,BertForQuestionAnswering,64,0.9763,7.5224,0.9261
cuda,BigBird,1,0.7950,14.8298,0.9409
cuda,BlenderbotSmallForCausalLM,64,0.9253,4.7940,0.8133
cuda,BlenderbotSmallForConditionalGeneration,32,0.8167,12.7634,0.8953
cuda,CamemBert,1,0.8264,7.9260,0.7470
cuda,DebertaForMaskedLM,4,0.7279,11.3814,0.9793
cuda,DebertaForQuestionAnswering,4,0.7376,11.1627,1.0773
cuda,DistilBertForMaskedLM,16,0.8326,3.9075,0.8569
cuda,DistilBertForQuestionAnswering,32,0.8401,3.7169,0.8867
cuda,DistillGPT2,1,0.8883,3.5161,0.7146
cuda,ElectraForCausalLM,1,0.8277,7.6554,0.8839
cuda,ElectraForQuestionAnswering,64,0.9839,7.6787,0.9536
cuda,GPT2ForSequenceClassification,4,0.9780,7.1433,0.9128
cuda,LayoutLMForMaskedLM,16,0.9702,7.9629,0.9205
cuda,LayoutLMForSequenceClassification,16,0.9837,8.3908,0.9286
cuda,M2M100ForConditionalGeneration,2,0.8097,18.5006,1.0100
cuda,MBartForCausalLM,16,0.9135,7.0225,0.8185
cuda,MBartForConditionalGeneration,8,0.8159,19.6339,0.7839
cuda,MT5ForConditionalGeneration,2,0.8349,15.6808,0.8138
cuda,MegatronBertForCausalLM,2,0.8407,15.7897,0.7976
cuda,MegatronBertForQuestionAnswering,8,0.8397,16.1251,0.7849
cuda,MobileBertForMaskedLM,16,0.7955,38.3085,0.8914
cuda,MobileBertForQuestionAnswering,32,0.7961,38.5944,0.9786
cuda,OPTForCausalLM,4,0.8104,7.6422,0.7215
cuda,PLBartForCausalLM,16,0.8182,3.6225,0.8533
cuda,PLBartForConditionalGeneration,8,0.8118,9.6211,0.8041
cuda,PegasusForCausalLM,8,0.7765,7.1272,0.9330
cuda,PegasusForConditionalGeneration,4,0.7896,18.7243,0.9093
cuda,RobertaForCausalLM,4,0.8186,7.7848,0.7287
cuda,RobertaForQuestionAnswering,64,0.9695,7.6346,0.9261
cuda,Speech2Text2ForCausalLM,64,0.7958,3.7375,0.8452
cuda,T5ForConditionalGeneration,4,0.9147,10.2275,0.9583
cuda,T5Small,1,0.8763,10.4131,0.9047
cuda,TrOCRForCausalLM,8,0.8433,7.4359,0.7692
cuda,XGLMForCausalLM,1,0.7715,14.9221,0.9985
cuda,XLNetLMHeadModel,0,0.0000
cuda,YituTechConvBert,1,0.8272,12.2172,0.7392
