dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,Background_Matting,4,1.368361,5.332228
cuda,LearningToPaint,96,0.630287,1.986129
cuda,alexnet,128,0.248864,0.576776
cuda,dcgan,32,0.242236,0.498617
cuda,demucs,4,0.373838
cuda,densenet121,4,3.052830,14.750667
cuda,drq,1,0.242763,0.614249
cuda,functorch_dp_cifar10,64,0.456342,2.146958
cuda,lennard_jones,1000,0.216861,0.311747
cuda,mnasnet1_0,32,1.231766,4.939884
cuda,mobilenet_v2,96,1.220174,5.005439
cuda,mobilenet_v3_large,32,1.302465,5.682523
cuda,nvidia_deeprecommender,256,0.261937,0.456692
cuda,pytorch_CycleGAN_and_pix2pix,1,0.607422,2.800351
cuda,pytorch_stargan,16,0.598889,2.404225
cuda,pytorch_unet,1,0.695739,2.218438
cuda,resnet18,16,0.599092,1.996510
cuda,resnet50,32,1.297730,5.273421
cuda,resnext50_32x4d,8,1.295189,5.279116
cuda,shufflenet_v2_x1_0,128,1.392776,5.642136
cuda,soft_actor_critic,256,0.268255,0.309375
cuda,squeezenet1_1,32,0.399697,1.714692
cuda,timm_efficientnet,32,2.227105,6.889203
cuda,timm_nfnet,128,2.430365,8.442722
cuda,timm_regnet,32,2.956406,8.969814
cuda,timm_resnest,32,0.844241,2.844106
cuda,timm_vision_transformer,8,1.225298,5.021910
cuda,timm_vision_transformer_large,8,3.905494,18.939597
cuda,timm_vovnet,32,1.792183,4.148329
cuda,tts_angular,64,0.269641,0.160076
cuda,vgg16,64,0.312292,1.021214
cuda,yolov3,16,3.677288,8.235324
