dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,AlbertForMaskedLM,2,0.9994,0.9180,1.0000
cuda,AlbertForQuestionAnswering,2,1.0000,0.9215,1.0000
cuda,AllenaiLongformerBase,1,0.9583,4.7147,0.9990
cuda,BartForCausalLM,2,0.9994,0.9535,1.0000
cuda,BartForConditionalGeneration,1,1.0127,2.5776,1.0000
cuda,BertForMaskedLM,64,0.9997,1.1278,1.0000
cuda,BertForQuestionAnswering,64,0.9996,1.1363,1.0000
cuda,BigBird,1,0.9928,6.6220,1.0016
cuda,BlenderbotSmallForCausalLM,64,0.9998,0.5853,1.0000
cuda,BlenderbotSmallForConditionalGeneration,32,1.0116,1.5884,1.0000
cuda,CamemBert,1,1.0504,1.1922,1.0003
cuda,DebertaForMaskedLM,4,0.9311,4.2490,1.0000
cuda,DebertaForQuestionAnswering,4,0.9282,4.0649,0.9985
cuda,DistilBertForMaskedLM,16,1.0292,0.4656,1.0000
cuda,DistilBertForQuestionAnswering,32,1.0281,0.4699,1.0000
cuda,DistillGPT2,1,1.0283,0.6145,1.0003
cuda,ElectraForCausalLM,1,1.0482,1.2283,1.0000
cuda,ElectraForQuestionAnswering,64,1.0002,1.1093,1.0000
cuda,GPT2ForSequenceClassification,4,0.9997,1.1736,1.0000
cuda,GoogleFnet,1,0.9976,0.7150,0.9996
cuda,LayoutLMForMaskedLM,16,0.9995,1.2164,1.0000
cuda,LayoutLMForSequenceClassification,16,0.9995,1.2868,1.0000
cuda,M2M100ForConditionalGeneration,2,1.0702,2.3770,1.0069
cuda,MBartForCausalLM,16,1.0083,0.9035,1.0000
cuda,MBartForConditionalGeneration,8,1.0158,2.5624,1.0000
cuda,MT5ForConditionalGeneration,2,1.0215,2.8397,1.0000
cuda,MegatronBertForCausalLM,2,1.0470,2.5152,1.0000
cuda,MegatronBertForQuestionAnswering,8,1.0383,2.5818,1.0000
cuda,MobileBertForMaskedLM,16,1.0185,6.5159,1.0000
cuda,MobileBertForQuestionAnswering,32,1.0237,6.6289,1.0000
cuda,OPTForCausalLM,4,1.0154,1.0292,1.0013
cuda,PLBartForCausalLM,16,1.0133,0.4976,1.0000
cuda,PLBartForConditionalGeneration,8,1.0167,1.3121,0.9993
cuda,PegasusForCausalLM,8,1.0101,0.9995,0.9731
cuda,PegasusForConditionalGeneration,4,1.0136,2.4148,0.9992
cuda,RobertaForCausalLM,4,1.0489,1.2139,1.0013
cuda,RobertaForQuestionAnswering,64,0.9998,1.1172,1.0000
cuda,Speech2Text2ForCausalLM,64,1.0010,0.5782,0.9557
cuda,T5ForConditionalGeneration,4,0.9984,1.7663,1.0000
cuda,T5Small,1,1.0160,1.7725,1.0000
cuda,TrOCRForCausalLM,8,1.0162,0.9035,1.0000
cuda,XGLMForCausalLM,1,1.0157,1.9646,0.9972
cuda,XLNetLMHeadModel,4,1.0003,2.8757,1.0000
cuda,YituTechConvBert,1,1.0282,1.7702,1.0003
