dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,BERT_pytorch,16,3.068600,5.054742
cuda,Background_Matting,4,2.426380,3.202353
cuda,LearningToPaint,96,0.799460,1.309734
cuda,Super_SloMo,6,1.744340,3.361160
cuda,alexnet,128,0.280471,0.275065
cuda,attention_is_all_you_need_pytorch,256,2.790102,5.245093
cuda,dcgan,32,0.278688,0.248332
cuda,demucs,4,0.544592
cuda,densenet121,4,6.992489,10.404044
cuda,dlrm,2048,0.575560,0.300193
cuda,drq,1,0.269780,0.276844
cuda,fastNLP_Bert,6,3.007457,4.271574
cuda,functorch_dp_cifar10,64,0.588243,1.285270
cuda,hf_Albert,8,1.437563,4.196591
cuda,hf_Bart,4,3.798388,5.533473
cuda,hf_Bert,4,3.085616,4.016342
cuda,hf_BigBird,2,10.217867,3.464506
cuda,hf_DistilBert,8,1.130575,1.954084
cuda,hf_GPT2,4,2.438470,3.885253
cuda,hf_GPT2_large,4,11.933838,11.861048
cuda,hf_T5,8,3.172012,6.135982
cuda,hf_T5_large,2,22.636115,27.570919
cuda,lennard_jones,1000,0.247356,0.122295
cuda,mnasnet1_0,32,2.055471,3.233375
cuda,mobilenet_v2,96,2.045646,3.070492
cuda,mobilenet_v2_quantized_qat,96,1.043570
cuda,mobilenet_v3_large,32,2.207556,3.360353
cuda,moco,32,5.758555,4.215715
cuda,nvidia_deeprecommender,256,0.289863,0.166490
cuda,pytorch_CycleGAN_and_pix2pix,1,0.776326,1.692510
cuda,pytorch_stargan,16,0.732989,1.734104
cuda,pytorch_struct,200,0.378466,0.445224
cuda,pytorch_unet,1,0.998032,1.335388
cuda,resnet18,16,0.766382,1.256407
cuda,resnet50,32,2.024638,3.554114
cuda,resnet50_quantized_qat,32,1.056180
cuda,resnext50_32x4d,8,2.030673,3.546192
cuda,shufflenet_v2_x1_0,128,2.245742,3.898422
cuda,soft_actor_critic,256,0.286211,0.100522
cuda,speech_transformer,32,4.278478,5.219119
cuda,squeezenet1_1,32,0.499665,0.884760
cuda,tacotron2,64,12.869332,8.999271
cuda,timm_efficientdet,1,31.756801,18.094638
cuda,timm_efficientnet,32,3.515422,4.516054
cuda,timm_nfnet,128,3.992550,5.240393
cuda,timm_regnet,32,4.733149,5.747969
cuda,timm_resnest,32,1.082825,1.875066
cuda,timm_vision_transformer,8,1.928544,2.705684
cuda,timm_vision_transformer_large,8,10.306313,10.461065
cuda,timm_vovnet,32,2.244533,2.755280
cuda,tts_angular,64,0.308126,0.045354
cuda,vgg16,64,0.370051,0.547403
cuda,yolov3,16,5.003933,5.147797
