dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,adv_inception_v3,128,0.9943,12.2650,0.8756
cuda,beit_base_patch16_224,64,0.9811,7.1396,0.9348
cuda,botnet26t_256,128,0.9740,5.1430,0.8757
cuda,cait_m36_384,2,0.8311,39.9181,0.8766
cuda,coat_lite_mini,128,0.9955,7.3763,0.9292
cuda,convit_base,32,0.9948,8.0320,0.8549
cuda,convmixer_768_32,32,0.9981,9.3180,0.9814
cuda,convnext_base,32,0.9948,12.8206,0.9020
cuda,crossvit_9_240,64,0.9517,11.6097,0.8793
cuda,cspdarknet53,64,0.9331,9.5709,0.8447
cuda,deit_base_distilled_patch16_224,64,0.9941,5.9359,0.9358
cuda,dla102,64,0.9896,14.5065,0.9623
cuda,dm_nfnet_f0,128,0.9964,10.4779,0.9054
cuda,dpn107,32,0.9173,19.6671,0.9083
cuda,eca_botnext26ts_256,64,0.7987,5.9600,0.7771
cuda,eca_halonext26ts,64,0.8061,6.0322,0.7813
cuda,ese_vovnet19b_dw,128,0.9610,4.2818,0.8671
cuda,fbnetc_100,128,0.9411,8.7000,0.8672
cuda,fbnetv3_b,128,0.9398,15.4051,0.7937
cuda,gernet_l,128,0.9357,7.9191,0.8639
cuda,ghostnet_100,128,0.9887,12.7405,0.8919
cuda,gluon_inception_v3,128,0.9947,12.2122,0.8756
cuda,gluon_xception65,32,0.9864,17.4341,0.8873
cuda,gmixer_24_224,64,0.8850,11.5397,0.9569
cuda,gmlp_s16_224,64,0.9861,10.8835,0.9679
cuda,hrnet_w18,2,0.9189,72.8078,0.8446
cuda,inception_v3,128,0.9945,12.2233,0.8756
cuda,jx_nest_base,32,0.9920,13.6478,0.8942
cuda,lcnet_050,128,0.9320,3.8528,0.7952
cuda,mixer_b16_224,64,0.9937,4.9245,0.9407
cuda,mixnet_l,64,0.8886,17.4421,0.8527
cuda,mnasnet_100,128,0.9431,6.7685,0.8909
cuda,mobilenetv2_100,128,0.9399,6.6195,0.7726
cuda,mobilenetv3_large_100,128,0.9423,7.1738,0.8624
cuda,mobilevit_s,32,0.7760,9.6919,0.7709
cuda,nfnet_l0,64,0.8124,10.1956,0.8188
cuda,pit_b_224,64,0.9960,6.8343,0.8033
cuda,pnasnet5large,16,0.9905,50.0398,0.9950
cuda,poolformer_m36,64,0.9986,13.5071,0.9452
cuda,regnety_002,128,0.8970,8.1229,0.8278
cuda,repvgg_a2,128,0.9309,7.5433,0.7921
cuda,res2net101_26w_4s,64,0.9992,27.6651,0.9196
cuda,res2net50_14w_8s,2,0.8675,23.7545,0.8372
cuda,res2next50,2,0.8958,11.5968,0.8365
cuda,resmlp_12_224,128,0.9974,4.2463,0.9666
cuda,resnest101e,32,0.9589,28.3751,0.9778
cuda,rexnet_100,128,0.8487,9.8770,0.7935
cuda,sebotnet33ts_256,64,0.8366,7.8480,0.7147
cuda,selecsls42b,128,0.9926,5.1145,0.8995
cuda,spnasnet_100,128,0.9324,8.7460,0.8993
cuda,swin_base_patch4_window7_224,64,0.9617,18.1589,0.9225
cuda,swsl_resnext101_32x16d,32,0.9839,13.7226,0.8713
cuda,tf_efficientnet_b0,128,0.8061,9.3726,0.7769
cuda,tf_mixnet_l,64,0.8921,17.6480,0.8646
cuda,tinynet_a,128,0.7943,11.0808,0.7961
cuda,tnt_s_patch16_224,64,0.9945,16.2975,0.9721
cuda,twins_pcpvt_base,32,0.8669,26.2264,0.9077
cuda,visformer_small,128,0.9991,5.4896,0.9334
cuda,vit_base_patch16_224,64,0.9956,5.7505,0.9360
cuda,volo_d1_224,64,0.9918,11.0746,0.9516
cuda,xcit_large_24_p8_224,0,0.0000
