dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,2,1.550925,17.496119,10.341721,1.393897,31.620172,2.974766,0.998682,0.133644,8.818972,31.591880
cuda,AlbertForQuestionAnswering,2,1.508596,12.757220,5.751100,1.362693,9.786574,2.967940,1.002027,0.131543,0.638070,6.135962
cuda,BartForCausalLM,2,4.346157,27.957824,20.203424,1.678043,42.222076,2.791688,1.181315,0.157074,7.839199,31.649372
cuda,BartForConditionalGeneration,1,12.990557,62.899981,42.073280,3.291194,76.797173,7.482311,2.529034,0.385901,1.038171,39.339233
cuda,BertForMaskedLM,64,3.084017,34.484803,26.331851,1.506370,39.354781,3.549202,1.309370,0.182210,10.479239,25.130008
cuda,BertForQuestionAnswering,64,3.070196,13.751404,5.578612,1.483901,9.594193,3.528190,1.288825,0.178905,0.490884,6.112682
cuda,BigBird,1,10.128299,12.676720,6.647810,1.131048,15.599366,2.374630,1.338431,0.221821,13.074137,23.293983
cuda,BlenderbotSmallForCausalLM,64,2.422152,20.602305,15.450157,1.200203,37.501704,1.987165,0.863109,0.112145,12.126433,35.455782
cuda,BlenderbotSmallForConditionalGeneration,32,6.260615,42.018316,27.960802,2.706577,61.611331,5.587070,2.146211,0.292718,19.279530,55.832215
cuda,CamemBert,1,3.095586,36.506115,28.412292,1.287788,42.389195,3.177388,1.120162,0.172026,3.119994,18.506009
cuda,DebertaForMaskedLM,4,6.577832,25.216223,16.790026,2.434780,27.930073,4.583020,1.991209,0.327921,20.691937,34.533201
cuda,DebertaForQuestionAnswering,4,6.528579,17.321012,8.921468,2.385625,13.020630,4.534068,1.990502,0.327537,18.934098,25.675495
cuda,DistillGPT2,1,1.240743,17.102575,13.810491,0.853674,25.106370,1.467005,0.592353,0.082854,0.000013,12.207920
cuda,ElectraForCausalLM,1,3.153182,36.684290,28.538171,1.316223,45.972353,3.233519,1.146392,0.175975,3.877945,22.751385
cuda,ElectraForQuestionAnswering,64,3.097480,42.018121,33.897014,1.518576,52.399499,3.533432,1.309300,0.183330,10.420591,30.565688
cuda,GPT2ForSequenceClassification,4,2.606790,33.035826,26.488266,1.571703,37.402171,3.849973,1.278199,0.164621,6.889728,19.485414
cuda,LayoutLMForMaskedLM,16,3.400125,32.068686,24.017801,1.549571,31.130208,3.597315,1.319229,0.182889,0.000015,8.785961
cuda,LayoutLMForSequenceClassification,16,3.507460,16.443438,8.205390,1.514796,17.081643,4.262027,1.380182,0.183112,0.000015,10.514640
cuda,M2M100ForConditionalGeneration,2,12.354487,66.546587,48.245037,4.158048,122.669062,8.529689,3.274906,0.432558,42.995900,121.860390
cuda,MBartForCausalLM,16,4.332311,25.710347,17.911743,1.619043,38.039237,3.636394,1.345247,0.165830,8.855632,30.720189
cuda,MBartForConditionalGeneration,8,12.690288,63.504453,42.453908,4.302539,91.546463,9.204672,3.138075,0.403239,12.463833,66.166865
cuda,MT5ForConditionalGeneration,2,5.217644,65.961118,51.770807,2.385702,81.571450,6.108057,1.804172,0.316061,45.623426,78.021987
cuda,MegatronBertForCausalLM,2,8.273190,69.509854,53.061549,3.352526,73.026177,8.594706,2.698670,0.351575,5.743270,29.764345
cuda,MegatronBertForQuestionAnswering,8,7.982480,65.721690,49.641818,3.546495,62.170823,8.016099,2.524719,0.340746,12.426157,28.749448
cuda,MobileBertForMaskedLM,16,58.682421,67.399025,35.830370,4.164482,67.171227,12.516153,4.344468,0.722755,18.380507,54.308810
cuda,MobileBertForQuestionAnswering,32,58.263613,61.245525,29.802217,4.123546,52.562510,12.464832,4.304778,0.714952,10.456060,37.760124
cuda,OPTForCausalLM,4,2.823974,24.577194,17.571913,1.678878,37.910458,4.015182,1.425702,0.159633,17.772985,39.895656
cuda,PLBartForCausalLM,16,1.676299,16.649331,12.596436,0.829360,25.065695,1.567080,0.667161,0.084827,9.068162,22.425379
cuda,PLBartForConditionalGeneration,8,4.029920,39.678575,29.152252,2.209963,59.700140,4.332419,1.653616,0.226546,27.282720,60.191010
cuda,PegasusForCausalLM,8,4.339690,15.097139,7.620168,1.542495,19.241339,3.544247,1.572590,0.161567,14.070061,27.356790
cuda,PegasusForConditionalGeneration,4,12.198092,46.320421,26.913674,3.794472,69.668346,9.173496,3.353074,0.428240,21.266414,68.121286
cuda,RobertaForCausalLM,4,3.063198,33.882454,25.764586,1.639592,32.559652,3.596560,1.326925,0.180882,18.132398,26.687822
cuda,RobertaForQuestionAnswering,64,3.057169,13.219534,5.121582,1.471899,7.404466,3.473745,1.285711,0.181056,0.512148,4.388107
cuda,Speech2Text2ForCausalLM,64,1.730446,20.109939,16.633022,0.714699,32.852041,1.476252,0.670099,0.085967,9.674733,26.665949
cuda,T5ForConditionalGeneration,4,3.387305,46.887221,37.718330,1.945854,58.265215,3.522359,1.293467,0.221863,17.974476,40.607909
cuda,T5Small,1,3.514484,52.288466,42.958738,1.639179,67.091005,3.180595,1.121348,0.209887,15.669991,41.582666
cuda,TrOCRForCausalLM,8,4.268013,13.418141,5.837144,1.366410,9.637353,2.784187,1.148812,0.156990,0.453112,5.997912
cuda,XGLMForCausalLM,1,7.868412,58.283477,41.433526,2.531214,91.840103,6.914073,2.766577,0.320014,27.541594,81.180481
cuda,YituTechConvBert,1,5.233233,45.354669,33.041952,2.074960,49.168292,5.143412,1.731750,0.249535,36.443132,54.826393
