dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,Background_Matting,4,2.310965,4.367844
cuda,LearningToPaint,96,0.813444,1.665255
cuda,alexnet,128,0.297046,0.437888
cuda,dcgan,32,0.288835,0.412805
cuda,demucs,4,0.552486
cuda,densenet121,4,6.698020,12.545910
cuda,drq,1,0.279406,0.439982
cuda,functorch_dp_cifar10,64,0.591845,1.692883
cuda,lennard_jones,1000,0.253597,0.212888
cuda,mnasnet1_0,32,2.118053,4.037762
cuda,mobilenet_v2,96,2.108371,3.883466
cuda,mobilenet_v3_large,32,2.302733,4.539085
cuda,nvidia_deeprecommender,256,0.308120,0.330604
cuda,pytorch_CycleGAN_and_pix2pix,1,0.703299,2.421918
cuda,pytorch_stargan,16,0.738578,2.131356
cuda,pytorch_struct,200,0.385114,0.659614
cuda,pytorch_unet,1,0.899176,1.803004
cuda,resnet18,16,0.794580,1.728849
cuda,resnet50,32,2.056673,4.421011
cuda,resnext50_32x4d,8,2.070063,4.540404
cuda,shufflenet_v2_x1_0,128,2.413943,4.867392
cuda,soft_actor_critic,256,0.294148,0.225340
cuda,squeezenet1_1,32,0.507357,1.249422
cuda,timm_efficientnet,32,3.565264,5.505242
cuda,timm_nfnet,128,4.077270,7.007826
cuda,timm_regnet,32,4.933506,6.993464
cuda,timm_resnest,32,1.092751,2.328128
cuda,timm_vision_transformer,8,1.814345,3.819823
cuda,timm_vision_transformer_large,8,10.516246,13.668613
cuda,timm_vovnet,32,2.309579,3.679618
cuda,tts_angular,64,0.315491,0.157935
cuda,vgg16,64,0.374411,0.739965
cuda,yolov3,16,4.793743,6.745755
