dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,AlbertForMaskedLM,2,1.773354,5.854913
cuda,AlbertForQuestionAnswering,2,1.749555,5.812726
cuda,AllenaiLongformerBase,1,9.263378,7.809586
cuda,BartForCausalLM,2,4.705449,5.351274
cuda,BartForConditionalGeneration,1,12.887158,15.056475
cuda,BertForMaskedLM,64,3.278623,5.481139
cuda,BertForQuestionAnswering,64,3.326374,5.498278
cuda,BigBird,1,10.727675,5.185435
cuda,BlenderbotSmallForCausalLM,64,2.759942,3.562184
cuda,BlenderbotSmallForConditionalGeneration,32,6.568557,10.042577
cuda,CamemBert,1,3.341298,5.563532
cuda,DebertaForMaskedLM,4,6.453515,5.807384
cuda,DebertaForQuestionAnswering,4,6.054254,5.681281
cuda,DistilBertForMaskedLM,16,1.358075,2.750743
cuda,DistilBertForQuestionAnswering,32,1.361526,2.728376
cuda,DistillGPT2,1,1.359331,2.533401
cuda,ElectraForCausalLM,1,3.325945,5.531219
cuda,ElectraForQuestionAnswering,64,3.297506,5.531487
cuda,GPT2ForSequenceClassification,4,2.814269,5.208560
cuda,LayoutLMForMaskedLM,16,3.398125,5.889276
cuda,LayoutLMForSequenceClassification,16,3.489098,5.694168
cuda,M2M100ForConditionalGeneration,2,12.258027,11.882824
cuda,MBartForCausalLM,16,4.713463,5.296404
cuda,MBartForConditionalGeneration,8,12.886072,14.962350
cuda,MT5ForConditionalGeneration,2,5.046417,11.355630
cuda,MegatronBertForCausalLM,2,8.499921,11.719208
cuda,MegatronBertForQuestionAnswering,8,8.571734,11.170638
cuda,MobileBertForMaskedLM,16,55.295717,27.864218
cuda,MobileBertForQuestionAnswering,32,54.300837,27.626585
cuda,OPTForCausalLM,4,3.181779,5.376871
cuda,PLBartForCausalLM,16,1.984963,2.678727
cuda,PLBartForConditionalGeneration,8,4.291650,7.374504
cuda,PegasusForCausalLM,8,4.758870,5.292720
cuda,PegasusForConditionalGeneration,4,12.888181,14.071165
cuda,RobertaForCausalLM,4,3.363723,5.725438
cuda,RobertaForQuestionAnswering,64,3.434222,5.702889
cuda,Speech2Text2ForCausalLM,64,1.965491,2.659367
cuda,T5ForConditionalGeneration,4,3.213752,7.772698
cuda,T5Small,1,3.119927,7.360519
cuda,TrOCRForCausalLM,8,4.901550,5.502414
cuda,XGLMForCausalLM,1,8.126547,11.664848
cuda,XLNetLMHeadModel,4,9.730530,19.433366
cuda,YituTechConvBert,1,5.170895,9.490898
