dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,4.253438,57.655717,45.963473,2.543222,88.464603,7.749922,3.343793,0.509964,1.247183,46.459530
cuda,beit_base_patch16_224,64,2.328223,18.689873,13.639500,1.183447,29.099186,2.529411,1.165018,0.206878,6.880248,23.612809
cuda,botnet26t_256,128,1.723591,67.582335,63.146272,1.753561,123.715649,5.711091,2.064821,0.128261,47.142191,109.534262
cuda,cait_m36_384,2,21.820967,49.379561,29.453684,4.353979,65.281345,9.858277,4.012321,1.518665,0.648659,41.143205
cuda,coat_lite_mini,128,2.207917,91.765730,86.524033,2.546821,203.854353,4.878326,2.012896,0.183830,0.198439,120.162308
cuda,convit_base,32,2.186529,35.587323,29.522201,1.586590,61.501320,3.579202,1.504178,0.234002,0.264216,33.936759
cuda,convmixer_768_32,32,3.367330,12.210217,4.689734,1.347580,8.559137,1.810510,0.895700,0.227545,2.212555,7.538851
cuda,convnext_base,32,5.207100,59.518694,51.165351,2.212476,144.569232,6.462065,2.405391,0.426358,98.872092,194.620898
cuda,crossvit_9_240,64,3.602593,39.925876,31.692237,1.849132,74.248462,4.490606,1.721282,0.306820,0.286422,44.826158
cuda,cspdarknet53,64,4.188178,38.299452,30.212430,1.622523,65.024648,3.389713,1.546702,0.296590,0.266711,36.821175
cuda,deit_base_distilled_patch16_224,64,1.943992,16.018036,11.774523,0.994005,26.655225,2.432713,0.927440,0.169177,0.184544,16.133190
cuda,dla102,64,4.988100,48.320950,35.413987,2.376836,74.897406,5.467256,2.295331,0.473709,0.364843,42.397546
cuda,dm_nfnet_f0,128,3.741498,17.847222,7.015011,1.889532,8.364168,5.102925,1.551690,0.252203,0.981135,4.681376
cuda,dpn107,32,7.507812,99.162257,82.768707,2.547406,138.866873,6.622766,2.553756,0.467980,1.383743,60.252697
cuda,eca_botnext26ts_256,64,1.800997,49.565647,44.760251,2.164395,103.301867,5.728760,2.025371,0.143802,151.823048,212.605349
cuda,eca_halonext26ts,64,1.875143,41.289446,36.365822,2.649391,81.606100,8.827808,2.619579,0.150174,155.823447,203.790507
cuda,ese_vovnet19b_dw,128,1.292844,26.642205,23.404345,0.769713,48.170516,3.000258,1.205559,0.108611,0.160079,25.745493
cuda,fbnetc_100,128,3.346083,43.381709,36.001015,1.443106,67.003434,3.553306,1.561770,0.267903,0.763801,33.316965
cuda,fbnetv3_b,128,7.039417,52.432527,39.828027,2.419496,79.469538,6.557622,2.418779,0.591600,1.147386,43.396448
cuda,gernet_l,128,3.030851,22.167988,15.530547,1.353805,32.444888,2.191669,1.109146,0.210899,0.720369,19.084566
cuda,ghostnet_100,128,5.080807,69.781457,59.319152,2.399253,120.234007,6.823592,2.840874,0.443013,0.333368,63.796941
cuda,gluon_inception_v3,128,4.211936,19.878129,8.598517,2.849906,12.733725,7.579074,3.318611,0.507427,1.099196,8.239084
cuda,gluon_xception65,32,7.174441,40.108393,24.781504,2.097415,48.564724,4.710027,2.337165,0.560889,1.034383,27.116663
cuda,gmixer_24_224,64,3.782977,26.352002,19.904075,1.446525,41.426020,3.868599,1.499822,0.306138,0.235368,23.320276
cuda,gmlp_s16_224,64,3.805910,30.616951,23.013134,1.689553,42.973610,6.463676,2.079003,0.296710,0.316307,22.099464
cuda,hrnet_w18,2,45.250415,92.728656,44.397163,5.392324,106.117273,15.954237,4.922420,2.249273,2.794165,70.433732
cuda,inception_v3,128,4.228339,19.990271,8.367965,2.545950,12.866813,7.670525,3.346396,0.507593,1.109610,8.308081
cuda,jx_nest_base,32,4.572498,65.833206,55.809891,2.749829,120.763119,8.953821,3.270476,0.496332,66.424464,134.289728
cuda,lcnet_050,128,1.255198,17.336117,13.950281,0.895489,26.308828,2.208142,1.186233,0.120510,0.476713,13.937953
cuda,mixer_b16_224,64,1.366499,23.143132,19.138657,0.892249,35.583144,2.534493,0.809539,0.127198,13.541705,30.944479
cuda,mixnet_l,64,8.091718,60.096372,49.820132,1.756887,119.821922,5.257302,2.374525,0.439457,0.315274,72.218083
cuda,mnasnet_100,128,2.561734,29.351978,23.421242,1.206166,43.863652,3.124925,1.342207,0.196241,0.679498,22.415037
cuda,mobilenetv2_100,128,2.570286,23.504356,17.573188,1.272537,32.264936,3.267984,1.320973,0.211832,0.928505,16.990598
cuda,mobilenetv3_large_100,128,2.646860,22.577662,16.410964,1.356383,33.024963,3.661804,1.545143,0.232286,0.702742,18.765815
cuda,mobilevit_s,32,3.273705,117.563883,110.746046,3.371650,192.386109,11.198570,5.380461,0.295208,0.265867,85.395496
cuda,nfnet_l0,64,3.336244,34.195557,26.423237,1.441737,60.075800,2.797673,1.381660,0.253398,2.822253,38.036906
cuda,pit_b_224,64,1.957319,39.852032,34.717208,1.699680,75.229584,2.668177,1.190285,0.189561,0.201193,42.496195
cuda,pnasnet5large,16,27.940684,102.604505,70.435644,4.382394,136.779101,16.635006,6.127033,1.517991,2.551734,73.669591
cuda,poolformer_m36,64,5.596359,48.306542,34.419741,3.477823,63.445025,13.206563,3.888872,0.586393,1.575843,34.306542
cuda,regnety_002,128,2.780516,31.173446,24.915122,1.123708,49.785448,2.840835,1.202508,0.213583,0.651605,26.735472
cuda,repvgg_a2,128,2.975254,13.911098,7.585143,1.063346,18.795645,2.439778,0.912938,0.181533,0.667646,13.031637
cuda,res2net101_26w_4s,64,12.714100,67.165047,43.905944,4.217772,95.989192,11.332384,4.298088,1.356158,0.645653,57.247038
cuda,res2net50_14w_8s,2,9.731508,57.786697,37.531857,2.642843,116.096677,8.699843,3.025413,0.725784,0.541842,82.012915
cuda,res2next50,2,3.818261,27.049418,16.528754,1.790361,47.647002,4.134626,2.630458,0.329647,0.310527,33.364469
cuda,resmlp_12_224,128,1.351791,19.203683,16.439495,0.629835,47.353738,1.899819,0.727184,0.112214,16.573233,48.167100
cuda,resnest101e,32,13.027208,58.651577,37.625205,3.417085,86.290916,8.879722,3.419518,0.927984,25.844372,78.205739
cuda,rexnet_100,128,3.635916,99.932339,91.651423,1.764287,165.488191,5.256751,2.062704,0.268059,0.860082,76.590481
cuda,sebotnet33ts_256,64,2.519840,51.052164,44.797640,2.483029,93.078501,7.073703,3.245898,0.202431,59.731715,110.590966
cuda,selecsls42b,128,1.410556,21.070742,16.299623,1.057350,47.376891,3.807931,1.607536,0.161756,0.190750,32.394120
cuda,spnasnet_100,128,3.305268,13.652895,6.494630,1.669611,9.651940,3.612930,1.560090,0.260319,0.755769,5.687774
cuda,swin_base_patch4_window7_224,64,6.129970,129.970284,117.562825,4.114481,233.161852,10.725231,4.172098,0.521826,71.236851,191.147055
cuda,swsl_resnext101_32x16d,32,4.941970,23.669326,10.981148,1.753010,18.403581,3.514196,1.508131,0.372806,1.112172,10.458324
cuda,tf_efficientnet_b0,128,3.347361,41.302845,34.111004,1.476220,65.537202,4.161354,1.761472,0.268558,0.679726,33.690162
cuda,tf_mixnet_l,64,8.517409,44.745257,34.317867,2.129946,43.573646,5.287156,2.578644,0.436354,0.324139,11.854575
cuda,tinynet_a,128,4.123724,55.521424,46.832105,1.644161,93.170278,4.590562,2.299441,0.324489,0.763502,48.874555
cuda,tnt_s_patch16_224,64,5.876583,35.711441,24.538642,2.770472,54.213609,5.665524,2.176294,0.508695,0.369833,32.996339
cuda,twins_pcpvt_base,32,11.757073,104.073406,89.494342,4.047625,194.417063,8.932663,3.574016,0.901115,0.475958,109.678570
cuda,visformer_small,128,1.508120,39.664469,33.924568,1.255807,64.282595,2.488279,0.937105,0.160384,31.842142,63.739717
cuda,vit_base_patch16_224,64,1.977178,11.707072,7.282642,1.002569,16.230599,2.380615,0.987974,0.161078,0.194686,10.220418
cuda,volo_d1_224,64,3.369920,47.303567,38.767322,2.320596,71.811026,5.661395,2.709033,0.347062,0.310922,35.809136
cuda,xcit_large_24_p8_224,5,17.718683,75.663433,54.100800,4.565965,112.017872,14.360235,4.868213,1.292169,0.749464,63.568077
