dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,AlbertForMaskedLM,2,1.2795,51.9926,0.5977
cuda,AlbertForQuestionAnswering,2,1.2867,20.3817,0.6080
cuda,AllenaiLongformerBase,0,0.0000
cuda,BartForCausalLM,2,1.0753,66.2892,0.7224
cuda,BartForConditionalGeneration,1,1.1644,129.7200,0.7560
cuda,BertForMaskedLM,64,1.0209,68.4380,0.6889
cuda,BertForQuestionAnswering,64,1.0685,20.6264,0.6721
cuda,BigBird,1,0.9207,47.1346,0.7886
cuda,BlenderbotSmallForCausalLM,64,0.9979,52.1146,0.6961
cuda,BlenderbotSmallForConditionalGeneration,32,1.1568,103.5096,0.6826
cuda,CamemBert,1,2.3704,54.1510,0.7430
cuda,DebertaForMaskedLM,4,1.0025,126.2590,0.4068
cuda,DebertaForQuestionAnswering,4,1.1234,87.6114,0.3271
cuda,DistilBertForMaskedLM,16,1.1220,34.4025,0.7225
cuda,DistilBertForQuestionAnswering,32,1.1305,47.6175,0.6972
cuda,DistillGPT2,1,2.0322,53.7026,0.8157
cuda,ElectraForCausalLM,1,3.6847,56.4520,0.5990
cuda,ElectraForQuestionAnswering,64,1.3273,80.2803,0.8248
cuda,GPT2ForSequenceClassification,4,1.6098,62.1785,1.0822
cuda,GoogleFnet,1,1.7551,23.5590,0.6950
cuda,LayoutLMForMaskedLM,16,1.1585,52.9178,0.8590
cuda,LayoutLMForSequenceClassification,16,1.2233,52.1023,0.8237
cuda,M2M100ForConditionalGeneration,2,2.4496,193.5692,0.7004
cuda,MBartForCausalLM,16,1.0077,58.8080,0.6867
cuda,MBartForConditionalGeneration,8,1.3653,127.4224,0.7001
cuda,MT5ForConditionalGeneration,2,4.0148,184.5346,0.8361
cuda,MegatronBertForCausalLM,2,2.6837,118.3070,0.7286
cuda,MegatronBertForQuestionAnswering,8,1.7114,114.4720,0.6863
cuda,MobileBertForMaskedLM,16,2.3062,174.4710,0.5839
cuda,MobileBertForQuestionAnswering,32,2.0448,153.2533,0.4732
cuda,OPTForCausalLM,4,2.3629,71.6946,0.7498
cuda,PLBartForCausalLM,16,1.0875,46.3567,0.7081
cuda,PLBartForConditionalGeneration,8,1.5945,121.8316,0.6847
cuda,PegasusForCausalLM,8,1.1608,61.5178,0.6729
cuda,PegasusForConditionalGeneration,4,1.9278,137.6705,0.6369
cuda,RobertaForCausalLM,4,2.3398,84.0075,0.6909
cuda,RobertaForQuestionAnswering,64,1.0781,18.3202,0.6721
cuda,Speech2Text2ForCausalLM,64,1.1636,48.5983,0.6647
cuda,T5ForConditionalGeneration,4,1.3251,167.3528,0.7639
cuda,T5Small,1,1.3338,141.7424,0.8187
cuda,TrOCRForCausalLM,8,1.1785,26.8082,0.7038
cuda,XGLMForCausalLM,1,2.4112,156.5082,0.8406
cuda,XLNetLMHeadModel,4,1.4941,316.2193,0.9826
cuda,YituTechConvBert,1,2.8902,148.9602,0.7187
