dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,adv_inception_v3,128,9.167459
cuda,beit_base_patch16_224,64,5.252461
cuda,botnet26t_256,128,2.666521
cuda,cait_m36_384,2,50.534132
cuda,coat_lite_mini,128,3.671891
cuda,convit_base,32,4.506310
cuda,convmixer_768_32,32,7.560352
cuda,convnext_base,32,11.996296
cuda,crossvit_9_240,64,7.983725
cuda,cspdarknet53,64,6.663969
cuda,deit_base_distilled_patch16_224,64,3.660970
cuda,dla102,64,11.522172
cuda,dm_nfnet_f0,128,7.139384
cuda,dpn107,32,14.754859
cuda,eca_botnext26ts_256,64,2.898022
cuda,eca_halonext26ts,64,2.939421
cuda,ese_vovnet19b_dw,128,2.306710
cuda,fbnetc_100,128,5.967545
cuda,fbnetv3_b,128,13.809623
cuda,gernet_l,128,5.370653
cuda,ghostnet_100,128,9.460928
cuda,gluon_inception_v3,128,9.040601
cuda,gluon_xception65,32,15.958165
cuda,gmixer_24_224,64,8.921358
cuda,gmlp_s16_224,64,9.750020
cuda,hrnet_w18,2,103.804890
cuda,inception_v3,128,9.117981
cuda,jx_nest_base,32,10.499974
cuda,lcnet_050,128,2.135476
cuda,mixer_b16_224,64,3.037859
cuda,mixnet_l,64,13.996828
cuda,mnasnet_100,128,4.360973
cuda,mobilenetv2_100,128,4.398453
cuda,mobilenetv3_large_100,128,4.921009
cuda,mobilevit_s,32,6.189883
cuda,nfnet_l0,64,6.567115
cuda,pit_b_224,64,4.122492
cuda,pnasnet5large,16,62.855055
cuda,poolformer_m36,64,13.813196
cuda,regnety_002,128,5.110736
cuda,repvgg_a2,128,5.179021
cuda,res2net101_26w_4s,64,28.290033
cuda,res2net50_14w_8s,2,21.351880
cuda,res2next50,2,8.047864
cuda,resnest101e,32,28.787208
cuda,rexnet_100,128,7.189737
cuda,sebotnet33ts_256,64,4.173444
cuda,selecsls42b,128,2.692565
cuda,spnasnet_100,128,5.869675
cuda,swin_base_patch4_window7_224,64,13.042490
cuda,swsl_resnext101_32x16d,32,11.159017
cuda,tf_efficientnet_b0,128,6.593056
cuda,tf_mixnet_l,64,14.321448
cuda,tinynet_a,128,8.284895
cuda,tnt_s_patch16_224,64,13.321747
cuda,twins_pcpvt_base,32,27.236465
cuda,visformer_small,128,2.861910
cuda,vit_base_patch16_224,64,3.432158
cuda,volo_d1_224,64,7.201952
