dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,AlbertForMaskedLM,2,1.536463
cuda,AlbertForQuestionAnswering,2,1.513470
cuda,AllenaiLongformerBase,1,11.652753
cuda,BartForCausalLM,2,9.817590
cuda,BartForConditionalGeneration,1,25.986471
cuda,BertForMaskedLM,64,5.086046
cuda,BertForQuestionAnswering,64,4.993645
cuda,BigBird,1,11.029650
cuda,BlenderbotSmallForCausalLM,64,4.869780
cuda,BlenderbotSmallForConditionalGeneration,32,12.116608
cuda,CamemBert,1,5.094339
cuda,DebertaForMaskedLM,4,7.054939
cuda,DebertaForQuestionAnswering,4,6.971630
cuda,DistilBertForMaskedLM,16,1.847772
cuda,DistilBertForQuestionAnswering,32,1.796801
cuda,DistillGPT2,1,1.541779
cuda,ElectraForCausalLM,1,5.122619
cuda,ElectraForQuestionAnswering,64,5.089159
cuda,GPT2ForSequenceClassification,4,3.811768
cuda,LayoutLMForMaskedLM,16,5.460007
cuda,LayoutLMForSequenceClassification,16,5.351850
cuda,M2M100ForConditionalGeneration,2,26.054791
cuda,MBartForCausalLM,16,10.131205
cuda,MBartForConditionalGeneration,8,26.859016
cuda,MT5ForConditionalGeneration,2,6.598336
cuda,MegatronBertForCausalLM,2,16.570446
cuda,MegatronBertForQuestionAnswering,8,16.680007
cuda,MobileBertForMaskedLM,16,133.746768
cuda,MobileBertForQuestionAnswering,32,134.438270
cuda,OPTForCausalLM,4,4.813658
cuda,PLBartForCausalLM,16,3.203721
cuda,PLBartForConditionalGeneration,8,7.290134
cuda,PegasusForCausalLM,8,9.838875
cuda,PegasusForConditionalGeneration,4,25.897428
cuda,RobertaForCausalLM,4,5.131165
cuda,RobertaForQuestionAnswering,64,5.159930
cuda,Speech2Text2ForCausalLM,64,3.124967
cuda,T5ForConditionalGeneration,4,3.858058
cuda,T5Small,1,3.863225
cuda,TrOCRForCausalLM,8,9.867586
cuda,XGLMForCausalLM,1,15.102536
cuda,XLNetLMHeadModel,4,17.515257
cuda,YituTechConvBert,1,9.218486
