dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,adv_inception_v3,128,9.452347
cuda,beit_base_patch16_224,64,5.131107
cuda,botnet26t_256,128,2.837883
cuda,cait_m36_384,2,50.054790
cuda,coat_lite_mini,128,3.631801
cuda,convit_base,32,4.462616
cuda,convmixer_768_32,32,7.782680
cuda,convnext_base,32,12.038605
cuda,crossvit_9_240,64,8.016696
cuda,cspdarknet53,64,7.036279
cuda,deit_base_distilled_patch16_224,64,3.442724
cuda,dla102,64,11.866247
cuda,dm_nfnet_f0,128,7.348368
cuda,dpn107,32,15.109941
cuda,eca_botnext26ts_256,64,3.115783
cuda,eca_halonext26ts,64,3.120712
cuda,ese_vovnet19b_dw,128,2.278901
cuda,fbnetc_100,128,6.527649
cuda,fbnetv3_b,128,14.165814
cuda,gernet_l,128,5.649894
cuda,ghostnet_100,128,9.954351
cuda,gluon_inception_v3,128,9.711011
cuda,gluon_xception65,32,16.914372
cuda,gmixer_24_224,64,8.947021
cuda,gmlp_s16_224,64,9.917822
cuda,hrnet_w18,2,104.338223
cuda,inception_v3,128,9.507544
cuda,jx_nest_base,32,10.590842
cuda,lcnet_050,128,2.334136
cuda,mixer_b16_224,64,3.207253
cuda,mixnet_l,64,14.472676
cuda,mnasnet_100,128,4.699371
cuda,mobilenetv2_100,128,4.742802
cuda,mobilenetv3_large_100,128,5.003468
cuda,mobilevit_s,32,6.563660
cuda,nfnet_l0,64,6.584828
cuda,pit_b_224,64,4.289934
cuda,pnasnet5large,16,63.399950
cuda,poolformer_m36,64,14.015665
cuda,regnety_002,128,5.736270
cuda,repvgg_a2,128,5.592352
cuda,res2net101_26w_4s,64,28.796053
cuda,res2net50_14w_8s,2,21.643795
cuda,res2next50,2,8.379849
cuda,resmlp_12_224,128,3.315680
cuda,resnest101e,32,29.074087
cuda,rexnet_100,128,7.331891
cuda,sebotnet33ts_256,64,4.483150
cuda,selecsls42b,128,2.853783
cuda,spnasnet_100,128,6.183206
cuda,swin_base_patch4_window7_224,64,13.245304
cuda,swsl_resnext101_32x16d,32,11.563189
cuda,tf_efficientnet_b0,128,6.560677
cuda,tf_mixnet_l,64,14.519205
cuda,tinynet_a,128,8.368387
cuda,tnt_s_patch16_224,64,12.824950
cuda,twins_pcpvt_base,32,27.198178
cuda,visformer_small,128,2.830892
cuda,vit_base_patch16_224,64,3.514954
cuda,volo_d1_224,64,7.206962
cuda,xcit_large_24_p8_224,5,39.849047
