dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,AlbertForMaskedLM,2,2.254963
cuda,AlbertForQuestionAnswering,2,2.230039
cuda,AllenaiLongformerBase,1,14.120798
cuda,BartForCausalLM,2,10.992367
cuda,BartForConditionalGeneration,1,28.842199
cuda,BertForMaskedLM,64,6.295753
cuda,BertForQuestionAnswering,64,6.204251
cuda,BigBird,1,14.202371
cuda,BlenderbotSmallForCausalLM,64,5.587142
cuda,BlenderbotSmallForConditionalGeneration,32,14.198635
cuda,CamemBert,1,6.260063
cuda,DebertaForMaskedLM,4,8.540105
cuda,DebertaForQuestionAnswering,4,8.483258
cuda,DistilBertForMaskedLM,16,2.379610
cuda,DistilBertForQuestionAnswering,32,2.290977
cuda,DistillGPT2,1,1.922973
cuda,ElectraForCausalLM,1,6.381005
cuda,ElectraForQuestionAnswering,64,6.383328
cuda,GPT2ForSequenceClassification,4,4.406671
cuda,LayoutLMForMaskedLM,16,6.840690
cuda,LayoutLMForSequenceClassification,16,6.579333
cuda,M2M100ForConditionalGeneration,2,28.378410
cuda,MBartForCausalLM,16,11.035924
cuda,MBartForConditionalGeneration,8,30.004260
cuda,MT5ForConditionalGeneration,2,7.684412
cuda,MegatronBertForCausalLM,2,18.548532
cuda,MegatronBertForQuestionAnswering,8,18.633568
cuda,MobileBertForMaskedLM,16,142.037415
cuda,MobileBertForQuestionAnswering,32,140.326434
cuda,OPTForCausalLM,4,5.950764
cuda,PLBartForCausalLM,16,3.727044
cuda,PLBartForConditionalGeneration,8,8.751847
cuda,PegasusForCausalLM,8,10.968905
cuda,PegasusForConditionalGeneration,4,28.873918
cuda,RobertaForCausalLM,4,6.487662
cuda,RobertaForQuestionAnswering,64,6.257232
cuda,Speech2Text2ForCausalLM,64,3.616908
cuda,T5ForConditionalGeneration,4,4.754556
cuda,T5Small,1,4.731233
cuda,TrOCRForCausalLM,8,11.071830
cuda,XGLMForCausalLM,1,17.198604
cuda,XLNetLMHeadModel,4,20.937522
cuda,YituTechConvBert,1,10.762725
